scramble,orientation,Step_DFR,Step_UB_UF_UL_UR,Step_GEN,Step_FL_UFL,Step_BL_UBL,Step_BR_UBR,Step_FR_UFR,total_moves
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,D R',R2 B2 R2 F L' D,R' B2 F L' R2 D2 B2 L U F',U2 B2 L2 B2 L2,U' L2 D' B2 D L2,F2 R' B' R F2 R' B R,B2 D2 F2 L F2 D2 B2 R,45
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,U,U2 L D' B F2 D B2,L2 B U2 L D U2 F' D' B' L2,L2 U' R2 D F2 D' R2 U,U' L' U L U2 L' U' L,B R' U' F2 U R B' U' F2,L' D2 F2 U2 R' F2 D2 B2,51
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,U2,F2 U' L2 B D B2 R2,U' L B2 R F D2 B R' B R2 F',B2 U' B2 L' D' R' B2 R D L,U' L' U L U2 L' U' L,D2 U2 L2 D F2 U' F2 D,D' F2 L2 F2 L2 D,51
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,F' U2,B L U2 F' R2 F' U',D' F' R2 U F R2 F D B' U2,R2 B' L' B R2 B' L B,,U' R2 F2 R2 F2 U,U' R' B' U F U' B U F' R,43
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,L' B',L2 R' B' F2 U F2 R,L' U2 B U' B' L2 U' L',D L2 B2 D2 U2 R2 F2 D,D' L2 F2 L2 F2 D,U2 R U' R' U2 R U R' U2,D' R2 U R2 D B2 U2 B2,48
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,B',L2 D' L B L U' R F2,B' F2 R' B2 L' U2 B2 D2 B L,D' U2 B2 L2 B2 L2 D,U L' U2 L B U L' U' L B',D F2 D2 L D2 F2 D2 L' D,U2 L' D2 F2 U2 R' D2 B2,53
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,F' U2,F D L D2 L F' L2,U L2 B' U' R2 B R' U L2 R',L' U' B F' L2 B' F U' L,,R D' L U2 L' D R',U2 B2 L2 B2 L2,40
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,B',U B F' U' L' B R D,F L F L' B' U F' U2 B,B2 U' B2 L' D' R' B2 R D L,U F2 D R2 D' F2,F2 D' L2 D F2,R' U' R' U2 R U R' U R2 U2,49
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,F' U2,D' U F L R' B F',D L B2 L B' F' U' B' L' F D',F D2 L F' U2 F L' D2 F' U2,F2 R2 F2 R2 U2,F2 D2 U B2 D2 U' F2,U' R' B' U F U' B U F' R,52
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,B U,D' B' F' L' B R2 U R2,R' B' F U' B U R U' F',L' F2 D' R B2 R' D F2 L U2,L2 U' L2 D' U2 B2 D,B' R' U' B R' B' U R B,U' R' B' U F U' B U F' R,55
