scramble,orientation,Step_UF_UR,Step_BL_UBL,Step_FL_UFL,Step_BR_UBR,Step_FR_UFR,Step_FD_RD,Step_BD_DBL_DBR_DFR_LD,total_moves
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,R' D2 B D',U L,U2 L2 F L2,R U2 R',U' B F' L' F U2 B',U2 B L R' U' F U R U L' U' B',L2 F2 L2 F' U B' U2 F U' B U2,43
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,L2 D2 L B,D2 F U' F' D2 L,R' U2 R2 B' R' U' B,L' U2 F2,R' U R U R' U' R,F U2 F' L U2 B' R' F' U2 R B U,U F' D' B D2 F' D B R2 D B2 D F2,52
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,L' U L' D2 B,B U2 L2 B',U' B2 R' U' R U B2,F' U2 L F2,R' U R B U B',F U2 B F' L B' U' L' U L,F2 L2 F' U' F' L2 F2 L2 F U F',47
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,L D2 F' D,U' R' F2 L' R U L,B L2 B' L,U' L2 U2 F,U B' R2 D2 R2 B,B F' D F D' F' L F2 L F' L' B',R2 U F2 R2 B2 L2 U L2 U' L2 D B2,49
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,D B',L2 F U' F' L,B2 U' B' R' U R B2,F D2 R' D2,U2 R' F' U2 F U' R,B F' U' L' U L F U B' U',B R2 F2 R U' F2 D U F2 D' R' F2 R2 B',49
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,R' B,R' F2 U R' F R2,U' L',B F2 L' B' F2,U' B U B',F' U2 B F L2 F L' F L' B' U',U B2 D' B D B2 U2 B' U B' R2 D' R2 B,44
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,L2 D2 B',U' L U2 L' U2 L',B U' B2 U' B,B' L' F' L B,F2 R2 F' R2 F',U R' B F' D F D' B' F R,U2 L' U L R2 D' L2 F2 L R2 U' L B2 U2,48
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,D L D2,B2 L B2 F',U F' L' B' F U B,F' U F,U B U B',U B' R' U R B L F U' F' L',F2 D' B2 D' R2 B' D' F D2 B' D F U',45
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,L F' R' D,U' R' U' F2 R,U' L U' L2,D' B D2 R D',B U' B' U2 R' U2 R,U F U2 F2 L F U2 R' F2 L2 F R,F2 R' F U' R2 B' D B R2 F U F R F2,51
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,F' D L B,R2 F2 R2 U L,F' D F' D' L' F' L F2,R2 F2 R' U' R',R' U B' U2 B R,U2 L U' B' R2 F R2 B U' L' U',B2 D' F2 L2 D' L2 U B2 D B2 U' F2 D B2,53
