scramble,orientation,Step_UB_UF_UL_UR,Step_FR_UFR,Step_BR_UBR,Step_BL_UBL,Step_FL_UFL,Step_GEN,Step_BD_FD_RD,Step_DBL_DBR_DFR_LD,total_moves
L U D B2 D' F R2 U F D2 F L2 F2 U' F2 L' F U' R L' D R' F R',x2,F2 R D2 B R F,F2 D2 U2 B2 D2,R U F U2 F' R',B' U' B L' U' L,U' F' L2 B L' B' F U2 F' L F,,U2,F R' F L2 F' R F L2 F2,44
U B2 R U D' L B' D' F L R B2 D2 U' L' R2 U2 D' B' U2 F,x2,F2 D2 L' D' F' D',B2 U B' U' B2,R U2 R' F' U' F,F U2 F',U F U2 F' U' F U' F' L U' L',,U' L2 U' B F' L2 B' F U' L2,B2 R2 B' L' B R2 B' L B',50
D' L' R D L2 B2 L2 U L B D2 L2 D R' L' B' L B L F R2 B2 R',x2,D' F D' B R D,R' B' R2 B U' R,R U' R D B2 D' R2,U L' B L' B' L U' L,L U' L' B' R' U F' U F R B,,U,U F R' F L2 F' R F L2 F2 U',50
R U R B2 L R' B D2 U R L F L F2 U R' D2 F R2 F' D2 L' R' F' B,x2,L2 B2 R2 F' D',L' U B2 L B2,U R' U R2 U R',L2 U' L2 B' U B L2,L F U2 R U' R' U F' U' L',,U U' L2 U' B F' L2 B' F U' L2,,44
L B' R B2 L' F' D2 R' B F L U' B D2 R L2 F' R2 L D' R' D U2,x2,F2 D F L D,B2 U' B' U B2,R F R2 U' F' R',D2 L' U' L D2,L U B L F' L' B' F U2 L',,U' L2 U' B F' L2 B' F U' L2,F R' F L2 F' R F L2 F2,50
B R' L2 U R' U2 B2 F' D2 R' F D U2 F' U2 L2 D U L B2 D' B',x2,B' F R2 D' L B,R B' R2 U' R2 B R',U2 B2 R B2 U2 R',F L U L' F',U' F U2 F' L2 B L2 B2 U' B,,U' U' L2 U' B F' L2 B' F U' L2 U',,46
F2 L' B' L' R' U2 L' D2 U' R2 U2 R2 L B' L' R2 D U2 B' D U L' F',x2,R B2 R' D' B L2,B2 U B' U' B2,F' L U' F' L' F2,F U2 F' L' U' L,U2 F' L2 U' L' U L2 F U2 B' U2 B,,U' U' L2 U' B F' L2 B' F U' L2 U,U L2 B2 F2 R2 D R2 B2 F2 L2,57
B' L' D2 U2 R' D F' L D' L' R F D2 U F U2 F2 R L2 B U2 R,x2,U R2 F L' B2,F D R' D' F',F' L' U L2 U F' L' F2,L' U2 L F U F',B' U L' B2 L B' U2 B2 U2 B2,,U',F U' B D2 B' U B F' U' F D2 F' U B',49
L2 R2 B2 D' L U2 B' U D F2 D' L2 D U R2 L' D2 U2 F' D2 B,x2,B' R' D B' D B2,R2 U2 B' R2 B U2 R2,U R' U2 R2 U R',F U2 L2 F' L2 F',U F R B2 U' B2 U B2 R' F',,U2,L F R F' L' B F L B' R' B L' B' F',50
U R F2 U D R B2 L D' B2 R2 B R' U F U' R L2 B2 L' B' F' R2 U' B2,x2,R' B L' U B2,U' R D B D' R',D2 B' U2 B D2,L' B' U' B U2 L,U2 L' U2 F' L F U2 L,,U',L F R F' L' B F L B' R' B L' B' F',45
