scramble,orientation,Step_BD_LD,Step_DBL_DBR_DFR,Step_GEN,Step_UBL,Step_BR_UBR,Step_FR_UFR,Step_FL_UFL,Step_UB_UF_UL_UR,Step_FD_RD,total_moves
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,D F L',F2 L2 R' B' F2 L2,R' D2 F' R2 F D U F U',D,U F2 U' B2 D R2,U2 L2 U B2 D' B2 D L2 U,B2 U2 F2 R F2 U2 B2 L,L' D2 L R' B2 R,,48
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,U B L U',F D' B2 F2 D2 F,L U' L F2 D F2 L U B,U' F2 D' F2 U L2,D',D2 F2 R' F2 D2 F2 R' F2,L' D L R2 B2 R D' R' B2 R2 D',L' D' L R' D U' L D' U R,,55
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,L' F,L2 F L2 D' B' F',B2 R' B' U2 L U2 B' F D F',L2 U' F2 D F2 U,L2 U2 R2 U2 L2,L' B2 L B2 F2 R' F2 L,D2 B D B' R2 B D' B D B2 R2 D2,D R2 D B2 R2 B2 D R2 B2 D',,59
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,B2 U L,D2 R2 F' D2 B F,D R B U' L2 U R2 D' B R',L2 U' F2 U L2 D,D' R B' F D2 B F' R D,L F R F' U2 B L' B L B2 U2 L',D2 U2 L D2 U2 R',U2 L2 B2 R2 F2 R' D2 B2 U2 L F2,,63
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,F' U2 L' B' U',R2 F L' U2 F' L,U2 F U' F' R F R2 U',B2 U R2 U' B2 D,B' R' F R F2 U2 B L B' U2 B F,U R2 D U' B2,U2 F' L2 U' F U2 B' U R2 B,L B' F U2 B' F U' B2 F2 D L,R D2 U2 L' U L D2 U2 R' U',73
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,D' F2,L D B' L R2 B2 L2,R2 B' D R B2 D2 B R',D2,B' R2 D' R D2 R' D R2 B D2,D2 R' D2 U2 L U2,L F2 U' B2 F2 D B2 L',L' B2 F2 U' F2 L' U' L U B2 L D,R D2 U2 L' U L D2 U2 R' U',64
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,D' L2,D' B R2 B,D' U2 R U F' L U B2 L B,D,B2 D' F2 D' R2 D F2,B2 D' L B2 L D L D' B2 L' D L',D' R' D B2 D R D R' B2 D' R,L' R2 F2 U L2 B2 L2 U F2 L,U L B2 F2 R' D' R B2 F2 L',67
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,D B2 L2 F,B' L D' R2 D' L' R2,B' R' U R2 F R U' R2,,U2 F2 D F2 U' R2 U',B2 D' L B2 L D L D' B2 L' D L',L' D L B2 R2 U R U' R B2,L' U2 R D2 U2 R' F2 L B2 F2,R D2 U2 L' U L D2 U2 R' U',68
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,D B' L U',D2 F2 L2 F2 L2 R,B2 R B' D L' D L R B2,L2 U' F2 U L2 D,U' R' B F' U2 B' F R' U,L D' F2 U' R' U' R F2 D L' D B2,B2 U' L2 U B2 D B2,B2 D' R2 U2 F2 L' U2 B2 D2 R D' B2 R2,,66
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,B' D L2 U',B R2 F' D2 F D R2,D' B R D U F' D' R' U',D,F2 L D L2 R U2 L U' R U R2,R' B' U' B D2 B' U B' R' B2 D2 R B2,D F2 D' U L2 U',L2 U L R2 U L2 R2 D' L U' L2,,62
