scramble,orientation,Step_GEN,Step_UB_UF_UL_UR,Step_BL_UBL,Step_FL_UFL,Step_BR_UBR,Step_FR_UFR,Step_GEN,Step_DBR,total_moves
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,R' D2 L2 F' L2 D2 R2 B' R',U L2 R' D U' B',U2 F2 L2 F2 L2,B2 U' B2 D' U2 R2 D,R2 B' R D' R2 D R' B,L' D' U B U2 B' D U' L,R' D2 L2 F' L2 D2 R2 B' R',,47
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,B F' U' F U B' F R' F' R,R F' R F2 R' U F' L2 D,R2 D2 B U2 L2 U2 B' D2,U' F L F U2 F' L' F',B' R' D' R2 D B R',U' F R' B' R2 B R F',B F' U' F U B' F R' F' R,U',55
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,R' D2 L2 F' L2 D2 R2 B' R',F D' B' U' L B U' R2 F',U' F2 R F2 U2 F2 R' F2,F' L F U2 F' L' F,D2 B2 L2 B2 L2 D2,U F R' F' U2 F R F',R' D2 L2 F' L2 D2 R2 B' R',U',51
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,B F' U' F U B' F R' F' R,U' L' D L2 R2 U' L',D2 B2 R2 B2 R2 D2,B L' D' B2 D B L,B2 R2 B2 D B2 D' R2,F U2 L2 D2 B R2 D2 L2,B F' U' F U B' F R' F' R,U',51
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,U R' D2 L2 F' L2 D2 R2 B' R',L D' L' D U B D B' D,F2 U F2 U F2 U2 F2,F U L F' L F L2 F',B2 D' U R2 D,,U R' D2 L2 F' L2 D2 R2 B' R',U,43
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,U B F' U' F U B' F R' F' R,R B2 L2 F L2 F2 L' U' B2,U' B' L' B' U2 B L B,B' R U' L' U R' U' L B,U B2 R B2 U2 B2 R' B2,B2 L B2 U2 B2 L' B2,U B F' U' F U B' F R' F' R,,57
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,F R U R' F' L2 R D' B' D L2 R',B L R' D F2 R B F',F2 R F2 U2 F2 R' F2,U L' B D' B2 D B' L B2,B' R D' R2 D R' B R2,U2 F R' B' R2 B R F',F R U R' F' L2 R D' B' D L2 R',U,57
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,F R U R' F' L2 R D' B' D L2 R',R2 D' B2 R D U' B' U2 F2,R' D' U F2 D U' R,B2 R2 B2 R2,B' R D' R2 D R' B R2,U R' U2 F R U R' U' F' R,F R U R' F' L2 R D' B' D L2 R',U,56
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,U B F' U' F U B' F R' F' R,L' B2 F2 D2 F2 U2 L' D L2,D2 B2 R2 B2 R2 D2,B2 D' U R2 D,F D L B' R2 B L' D' F',R U' B' F R2 B F' U' R',U B F' U' F U B' F R' F' R,U2,55
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,U' R' D2 L2 F' L2 D2 R2 B' R',U' B' F' L' R' B F',L' U L D2 R' U' R D2,B L' D' B2 D B L,R2 B R' U R2 U' R B',F2 D R' B' D' R2 D R B D' F2,U' R' D2 L2 F' L2 D2 R2 B' R',U',56
