scramble,orientation,Step_UF,Step_FD_RD,Step_DBL_DBR_DFR,Step_UBL,Step_BR_UBR,Step_UFR,Step_FL_UFL,Step_GEN,total_moves
B2 L R' F2 B' D' U L' R2 F R L' F2 L' B' L' F2 B' U' R' U2,x2,B',F U F U2,U2 R2 B2 L2 B2 L2 U2,,D U2 R D2 U2 L' D,F' L' F2 U' F R F2 U,U B2 U L U' B U B L' U2 L,L' D2 U B' D U' L D L,47
F R D U2 R L' D F2 D' R2 F U' B' L B U2 D2 L' R2 F L2 D U' F' R,x2,L' D',F' U F2 U2,B' F2 D' B L' F,R B D' B' R',R B' F' U2 B F R',B' U' B D B' U B D',U2 B2 R' F' R B2 F U F' U L,F U' R D' U F' D F',51
F' L2 U R' B2 U F2 L' R2 U' L2 U2 L' U2 R U L2 R2 U B2 R F',x2,L B,D B R D',R2 F L2 R2 F L2,B D B',L' U B' U2 R' U' B U2 L2,B2 L2 B' D B L2 B2,L' D' L D' B R' B R B2 D2,U L' D' L D' U B' D2 U' L U',52
U R F2 R2 U F' L D B' R' F B2 U2 B D' U' R2 U B' F',x2,L B,B F L' B' U,R' D2 R2 D' R' D' F,U B' D2 B U',U2 R U R' U F' L F' L' F2,B2 L2 B' D B L2 B2,L U R2 U' L' D B2 D',U B2 L2 B F' D B' F L B2 U',55
L' U B F2 U2 B2 D2 U2 L' F' L D' F B L2 B R F' B D' R2 U2,x2,U2 B2,B' D R2 B R',U' B D2 B' F U,B D' B',L2 F L' F' U' F U L',L2 U2 B' D2 B U2 L2,L' U' L' F2 R' F L F' R F2 U,F R' B2 F2 L' B' F U2 B',51
R2 F' R' L' D R B' R D' L' D B F R' F R' B2 L U' F2,x2,D',F' L' F' U2,L' B2 D F' D' B2,B L B' L' D' B' D,D' U L D U' F',R B2 R2 B2 R',B2 R' U' R U' F U' F' U2 B2 L',B R2 U' F2 R2 B2 D' L2 B,49
D2 U' L' F2 D2 U R F' D2 L2 B' R2 U' R D' L' F2 D2 R' B',x2,D' L B,R F' U2,B' D2 B U' R' U,B D' B',U2 R2 U R' D R D2 F2 D F U,,B' U' F2 U B D' L2 D,U B F L' B F' D B2 U',43
R2 L' B' R U2 F2 L' B2 L' U D2 B2 D L2 R' D2 U L2 U F L2,x2,R' D,R F U',B' F' R U2 R' D B,B D B',D F U B2 D' L' U',R2 U R' U' R2 B2 L' D' L B2 R,D' U B' D U' L,B' F' D' B' F L B2,46
B U2 D2 L2 U L2 U' R2 D L' D' F R F' R L2 D2 R B U2 F2 B L2,x2,U2 B2,R U L U2,L2 B' R F R' B F,L' B2 R F2 R' B2,L U' B2 R' B' D F' L D' L' B' U,U2 R' U2 L,F' D2 B D2 B' U2 B U2,D R F L R' D' L' D',51
F2 B2 L' B2 R' B U' L F2 L' R' U2 D' L' D F B' L2 B2 D2 B2 D',x2,R2 B',F L' U R,F2 R F R F2 R2,R B D' B' R',B D B',D B' U' B D' B' U B,L F' L B D2 B2 L F L' B L,L' U' R' U' R' D B D' U2 L F,50
