scramble,orientation,Step_DBR_FD_RD,Step_FL_UFL,Step_BL_UBL,Step_FR_UFR,Step_BR_UBR,Step_UB_UF_UL_UR,total_moves
B2 L R' F2 B' D' U L' R2 F R L' F2 L' B' L' F2 B' U' R' U2,x2,B U F2 U2 F D' B' L2 U2 B,U' F2 U L2,B2 R2 U2 L2 R2 B2,R2 D B2 U B2 D',U' B2 R U L F2 L' U' R' B2 U,U2 L2 U' R2 B2 L2 D' R2 F2 U2,47
F R D U2 R L' D F2 D' R2 F U' B' L B U2 D2 L' R2 F L2 D U' F' R,x2,L B2 R2 D2 F L F2 U B U,L B F' D2 B' F L,R D2 L' B2 R' U R B2 L D2 R',D' R F2 D2 F2 R' D,U' F2 D U,D' L2 F2 L2 D L2 F2 L2 D2,48
F' L2 U R' B2 U F2 L' R2 U' L2 U2 L' U2 R U L2 R2 U B2 R F',x2,R2 D' F D2 L2 F D U R',B2 U2 F2 R' F2 U2 B2 L,R D2 L' B2 R' U R B2 L D2 R',U B2 U',R' F2 D2 F2 R,B2 L2 U' L2 F2 L2 U2 B2 F2 D R2,47
L' U B F2 U2 B2 D2 U2 L' F' L D' F B L2 B R F' B D' R2 U2,x2,F D F L U2 B' D B2 F R',L2 D',B L' U' B2 R' F2 R B2 U L B',D U2 R2 D' U2,U B2 R F2 D2 B2 L F2 U,D2 L2 F2 R2 U' L2 B2 L2 U L2 R2,48
U R F2 R2 U F' L D B' R' F B2 U2 B D' U' R2 U B' F',x2,D' L R F U B' R' D F L',L2,R D2 L' B2 R' U R B2 L D2 R',U2 R2 U2,B' U R U F2 U' R' U' B,D L2 F2 L2 D' F2 L2 F2 D2,43
B U2 D2 L2 U L2 U' R2 D L' D' F R F' R L2 D2 R B U2 F2 B L2,x2,D2 L F' L2 U F' R2 U2 R B,U L' U2 F2 D2 R' D F2 U,L2 D' B2 L2 B2,B' R F D' F D2 F' D F' R' B,B2 L U2 F2 U2 L' B2,D' B' F D U' F' D' U B F' D2,53
D2 U' L' F2 D2 U R F' D2 L2 B' R2 U' R D' L' F2 D2 R' B',x2,F2 D R2 U L U2 B' D F',L R2 F2 U' L2 R2 D' B2 L,R2 D' L2 D L2 R2,L2 D2,R U B' R F2 R' B U' R F2 R2,D L' R D' U L' D U' L R',47
R2 F' R' L' D R B' R D' L' D B F R' F R' B2 L U' F2,x2,B2 D L B2 L2 F R F',U L F D B L2 B' D' F' L U' L2,L2 D' L2 D,B2 L2 B2,B2 U2 F2 R U2 B2 D2 L,D' F2 D' L2 F2 L2 D' F2 L2 D,45
R2 L' B' R U2 F2 L' B2 L' U D2 B2 D L2 R' D2 U L2 U F L2,x2,R2 F L2 D R2 B' U' B' L',R B2 U2 F2 L D2 F2 U2,D' B2 L B2 D2 B2 L' B2 D,L2 D' R D' L' F2 L D L2 R',R B2 U2 B2 R' D,D' L' U2 R2 D2 R2 U2 L' D,51
F2 B2 L' B2 R' B U' L F2 L' R' U2 D' L' D F B' L2 B2 D2 B2 D',x2,B' F' D' B' R D' B' F2 U' R,R' U2 B2 U2 R,L2 D' B2 L2 B2,U F2 L' D2 F2 U2 R' B2 U,L R D' L2 B2 R2 U' B2 L R',B2 D' R2 F2 L2 U' F2 R2,47
