scramble,orientation,Step_UB_UF_UL_UR,Step_RD,Step_DBL_DBR_DFR_FD,Step_BD_LD,Step_FL_UFL,Step_BL_UBL,Step_FR_UFR,Step_BR_UBR,Step_GEN,total_moves
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,D2 F D' B' F,B' U B,U2 F U2 R' U' R' F' R2,L B' L B F' L' U' F U' B U2,D' B2 D' L U R2 U' L' D2,R2 F2 R F D' F2 D F' R,,B D2 B' R U2 R' B D2 B' R U2 R',,57
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,R' F' U2 B L F',B U B',U2 F' L U' R' F2 L' R F,L2 D F D U' R2 D2 U2 L U' L2,,L2 D R D' L2 D R' D',B' U R B R B' R2 U' B,D2 B' R U2 R' B D2 B' R U2 R' B,,58
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,L D2 L B L' F' D,R U B' R' B,R' D2 U' L2 U2 L' D2 U R,F U' F' U F2 L F L' F,,D F D' B D F' D' B',B2 U' F2 D L2 D' F2 U,D U2 F2 D' R U L2 U' R' U2,,56
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,R B2 R2 F L' D,R U B' R' B,F L' F2 L' R' B D2 B' U2 R,L2 D L F2 L' F' D' F' L2 F L',,B L2 B' L2 F' D' L B L' B' D F,R' U' R' B L2 B' L2 R U R,F' L2 F' L' U' L' F' L U L' F2,,65
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,L F' L2 R' D L,R' F R F',D' R2 U2 B2 F' U2 F R2 B' D,R2 F U' L2 F L2 U F' R2,R D B D2 B' D R' B' D' B2 D B',L2 F' R F L2 F' R' F,,R2 D' U F2 D U',,55
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,F' D L B F' L',L' U2 L,B D2 F' U' F' D2 U B',B' L R' U2 L' R B',,L2 D R D' L2 D R' D',U2 R2 U L2 D' F2 D L2 U,D L B' L' U B D' B R B2 U' B,,53
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,B L U' F2 R' B',U',U2 L' F' U F L B U2 B',F2 L' F' L' D' B' L B D F',L2 B' U' B U2 F' L2 F L2 U' B L2 B',L' D L F' L' D' L' F' L2 F,B2 U' F2 D L2 D' F2 U,B L' F L B' L' F' L,,65
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,L2 U B D2 L' B,R' F R F',R' D F2 D L R U' R2 D2 R2,L U' F' L' U2 L' U2 L2 U F L',L2 B' U' B U2 F' L2 F L2 U' B L2 B',R B' U F U F' U2 B R',R F R' B R F' R' B',D2 B' U' B D2 B' U B,,69
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,U2 L B' R2 U' L2,U2,B' U B R2 F2 R2 F2 L U' L',L' R2 D' U2 B' D U2 L R2,B' L2 B D2 F' D B D2 F D2 B' D L2,L' F' L B L' F L B',D B D2 R D R' D L B L' D' B',D' U R2 U' F' D B2 D' F D,,69
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,D B L D2 L',R B' R' B,F' R' U2 L' B L B' R F,R2 B' L D2 F2 D2 L' B R2,B' U2 F' U' R' F' R F U' B,U F' R2 F U' L2 U F' R2 F U' L2,B2 D' B D2 R2 U F U' R2 D B' D2 B2,F R2 D B2 R F R' B2 F' D' R2 F',,74
