scramble,orientation,Step_RD,Step_BD,Step_DBL_DBR_DFR_LD,Step_FL_UFL,Step_BL,Step_BR_UBR,Step_FR_UFR,Step_UB_UF_UL_UR,total_moves
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,B F2 R D L U' F',F2,R2 F2 R2 D' F2 D F2,B2 D B2 D' B2,L' D' B' F L2 B F' D' L,R' U R' D R' D' R U' R,D2 U' B U2 R U' R2 U R' U2 B' U,R2 F2 L2 D' B2 L2 F2 U',58
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,U L' U R' F2 U B' L' F',D2 F2,D2 L2 D' L2,B2 U2 F2 R F2 U2 B2 L,U' F2 R B2 D2 F2 L B2 U',R' B2 F' D B2 D' B2 F R,L2 D' U B2 U',U R2 B2 D F D' B D2 F' D B U',58
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,D B2 R2 D' R' B' L F',U' R D2 U2 L' U',B2 R B2 D2 B2 L2 R' D B2,B2 D' U R2 U',B2 R D2 B2 U2 L F2 U2,R D R' U R' U' R D' R',D2 U' B U2 R U' R2 U R' U2 B' U,R D2 L R' B2 L',63
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,R F R2 U' L2 U F',U L D2 U2 R U,D2 B2 L2 F2 L2 F2,U2 L2 U2 R2 D2 R2,B2 R D2 B2 U2 L F2 U2,D2,R' D2 B2 L B L' B D2 F' R F R,D L R' B2 L' R D,53
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,F U L' R2 F R D L',D' F2,L2 B2 D' R' B2 D2 B2 L2 R,U' L B' U' R' F2 R U B L U L2,B2 U2 F2 L' U2 B2 D2 R',U R2 D U' B2,,L R D' U R D U' L' R D' R2,55
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,R2 B F2 D U' F' U,R2 U' R2,L U2 F2 U R D2 R' U L',R2 U' L2 U R2,L' B2 L2 D L2 B2 L2 D L',U B2 D2 L' F2 D2 B2 R' U,D',R2 B' R D R' B' R2 D' R2 B R B R D',57
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,L' D L2 B' R' F' U2,,B2 F2 R2 U F2 L2 R2,,U2 F2 L' U2 B2 D2 R' B2,R' U R' D R2 D' R U' R,R D2 R' U R' D R' D R' D2 R U',D B D B' L2 F U' F U R2 U R2 F2 L2,57
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,D2 B' L' F D L2 U F',,L2 D' R B2 U2 B2 R' D2 F2,R' D B2 R D' R' D' B2 D' R D,B2 U2 F2 L' U2 B2 D2 R',U F2 U' B2 D R2,L2 D' U B2 D U',U R' F2 D' L' F2 R U F2 L' U' L2 F2 U',62
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,D2 L2 R2 F D' B R,D F2,D' B2 U L2 F2 L2 F2 U' L2,L' B' D F D' B D F' L D',D L' B F' D2 B' F L' D',L2 U' F2 U L2 D2,B2 U2 F2 L' F2 U2 B2 R',U2 L2 U' F2 U2 L2 U B2 D2 B2 R2 D B2 R2,65
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,D U B R B' L D' R,,D F2 D R2 U L2 R2 B2,B2 D' U R2 D2 U',U F2 D U' R2,D' R B U2 F L2 F' U2 B' R' D2,R U B' R2 U' B U R2 D B R2 U' R',U R D L' D2 R D' L D B2 R2 B2 R2 U',65
