scramble,orientation,Step_UB_UF_UL_UR,Step_DBL_DBR_DFR_FD_RD,Step_BD_LD,Step_FL_UFL,Step_BR_UBR,Step_BL_UBL,Step_FR_UFR,Step_GEN,total_moves
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,L F' L2 R' D L,B U F' L' B' U2 L U' F,B L R' U2 L' R B,D F D' B D F' D' B',R2 B' U F2 U' B D R2 D' R2,L2 U R' U' L2 U R U',,,48
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,R' F' U2 B L F',U' R2 B' R2 B U' B U2 B',B2 L D R2 F' R2 D' L' B2,L' B' L B' U B' D' R' D B U' B2,B D2 B' R U2 R' B D2 B' R U2 R',B2 D2 U B U F2 U' B' D2 U',B2 D' U R2 D U',,64
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,U2 L B' R2 U' L2,B2 R U2 F D2 L B' F L' D2 F',B2 L' U F2 L F2 U' L B2,D' B2 D' L2 U R2 U' L2 D2,B' R2 B R2 B2 R' B D B' D' R B2,D' L U R2 U' L' D B2,B2 R U' F2 U R' B2 R U' F2 U R',,67
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,L2 U B D2 L' B,L2 U F' L' F U' F' L2 U2 F U',F2 L F D F' D' F2 L',B' D U' L' U L B L' B' D' B,R D' L2 D R' U' F2 U,B' R D B' L' B D' R' B2 U B' U',,,56
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,R B2 R2 F L' D,L U2 R' D F D' L2 R U' L,U' F' D2 R2 U2 B' D2 L2 U',B' L2 B D2 F' D B D2 F D2 B' D L2,B R2 B R2 B R U' B' U B R' B,F U L B L' B' L2 U' L2 F' L',D' B2 D R' U' B L2 B' U R,,71
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,B L U' F2 R' B',U L' F' U F L B U2 B',F2 L' F' L' D' B' L B D F',L2 B' U' B U2 F' L2 F L2 U' B L2 B',B L' F L B' L' F' L,L' D L F' L' D' L' F' L2 F,B2 U' F2 D L2 D' F2 U,,64
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,L D2 L B L' F' D,L D' L U' L B' L2 D U L2,U B U B' U' L U' L',R B' U B R' B' U F' U' F U' B,B D2 B' R U2 R' B D2 B' R U2 R',L2 D R D' L2 D R' D',B2 D' L2 U R2 U' L2 D,,65
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,D2 F D' B' F,D2 B' D2 L F L F2 L2 F U,U L U' L' F U L U' F' L' F',L D' B D B' D' U B' D2 U' L2 D' L,R' D R D' B D B2 R' D' R B,D L2 D' F U L' B2 L U' F',,,60
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,D B L D2 L',U2 F R F2 D2 B2 L B D2 F,L2 D2 F' U2 R2 D2 B' U2,L2 B' U' B U2 F' L2 F L2 U' B L2 B',L2 F' L' U L2 U' L F,B' F2 R U R' B F' L2 F' L2 D' L2 D,D L U L' D' L U' L',,65
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,F' D L B F' L',U L2 D F' U2 F' D' L U2 L2,F2 L F L' F U L U' L',B' L2 B D2 F' D B D2 F D2 B' D L2,L' U' R U L' F' L2 F U' R' U,L B L2 B' L B' U' L' U L B2 L B',B2 D' L2 D B2 D' L2 D,,70
