scramble,orientation,Step_UB_UF_UL_UR,Step_FD_RD,Step_GEN,Step_BD_DBL_DBR_DFR_LD,Step_BR_UBR,Step_BL_UBL,Step_FL_UFL,Step_FR_UFR,total_moves
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,R' B2 F' U2 L U' B' F',R U2 R',B2 R B2 D B2 D' R2 U' R,D2 R' B2 U2 B2 R' U B2 U' R2 D2 F2,U R2 U' L2 D B2 D' L2,D' U B2 D U' L2,U2 R2 U L2 U' R2 U L2 U,,55
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,L2 U B D2 L' U2 B,L' U' L2 U2 L',F2 L B2 D' L D B2 F2 L',U' F2 L2 F2 L B F' U2 B' F L U,L2 U R2 D' B2 D R2 U',,U' L2 U' R2 U L2 U' R2 U2,,50
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,L2 B U R' B F' D F',U',F D' L' B2 F2 L B2 F2 D F,U2 L' U2 B' L F2 L' B U2 L U2 F2,U2 F2 U2 F U2 L2 F2 L2 F U2 F2 L2 F L2,U R2 D' B2 D R2 U' L2,,D' L2 U R2 U' L2 D B2,61
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,L' B2 R D F' D' B,L' U2 L U2,B' L2 D U' L2 U F2 D' B L2,L' D' U2 L U B2 U' B2 L' D U2 L,D' U R2 D U' B2,U2 B2 U2 B' U2 L2 B2 L2 F U2 F2 L2 F L2,,,53
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,B2 D L' R B D F D2,U' L' U L,R2 U' L' U L R U R,L D2 F2 D2 U L' D L' D' L U' L',U R2 U' L2 D B2 D' L2,U2 B2 U2 B' U2 L2 B2 L2 F U2 F2 L2 F L2,D' U L2 D U' F2,,60
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,D2 L' F L' D' B' F,R2 U R U' R2,L2 D' F' U L2 U' F D L2 F,B' F' U R' D' B L' B' D R U' B F,B2 D' L2 D B2 U' F2 U,F2 D' F L2 D2 B D2 B' U B U' L2 D F,D' U L2 D U' F2,,63
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,L B' F2 R' B' U F2,U2 R U' R',L' R U' R2 U R B2 L B2,B F' D B2 L F' D2 F L' B2 D' B' F,U R2 U' L2 D B2 D' L2,B' L2 U2 B2 L2 U2 B' U2 B2 L2 B U2 B2 L2,F2 D' U L2 D U',,61
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,U2 F2 R' U B' F L D,L U L',L U R U' L' U R' U',B2 D F2 D2 L D2 F2 D2 L' D R2 B2 R2,L2 D B2 U' F2 U B2 D',D' L' D' B R2 F' U F R2 B2 D B L D,,D' U R2 D U' B2,60
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,R2 D' U2 B L D2 B',U2 F2 R' F2 R,F' L' F L' F' L2 F' L' F2,F2 U' F2 U' R U2 F2 D2 L D2,L2 D B2 U' F2 U B2 D',D' L' D' B R2 F' U F R2 B2 D B L D,,D' U R2 D U' B2,59
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,L U2 R2 D F' L B R',R D B2 D' R',U F' L' B2 L B2 F L' U' L,D2 R' U' R' F2 U R2 D2 L' D L' F2 D',D' L2 U R2 U' L2 D B2,U B2 U F2 D' R2 D F2 U2,D' B D2 L2 B D' L2 D B' L2 D2 B' D B,,67
