scramble,orientation,Step_FD_RD_UF,Step_BD_DBL_DBR_DFR_LD,Step_FR,Step_FL_UFL,Step_BR_UBR,Step_BL_UBL,Step_GEN,total_moves
B' L' D2 U2 R' D F' L D' L' R F D2 U F U2 F2 R L2 B U2 R,x2,R2 D' B F' U L' B2 U2,B F D2 R' D' U' B' L R D,R2 D2 R2 D2 R2,D2 B2 U R2 U' B2 D2,B' L' B U' F2 U B' L B,F D L' R F2 L R' D F',F R U2 B2 D2 L B2 U2 F,57
L U D B2 D' F R2 U F D2 F L2 F2 U' F2 L' F U' R L' D R' F R',x2,B F2 L2 R2 U' R' F',D F2 D L R' D2 F' L2 F L R,B L' R D2 L R' B,B R F' R F R2 B2 L B L2 D2 L,F' L' U L2 U' L F L2,F' D F L2 B2 U B U' B L2,,55
R U R B2 L R' B D2 U R L F L F2 U R' D2 F R2 F' D2 L' R' F' B,x2,D U2 R2 B D F' R',R' B F' D F D2 B L R B2 F2,B L' R D2 L R' B,B2 U2 F2 U' R2 U' B2 D2,D2 F L D B D2 B' L' D' F',B2 U2 L' U2 B2 D2 R' D2,,51
U B2 R U D' L B' D' F L R B2 D2 U' L' R2 U2 D' B' U2 F,x2,R B D L' F' U B',U' F2 L2 R U B2 F2 D' L B2 F2,B' D' L R' B L' R B,L' D L B F D2 R D R' D B' F',F L2 R D' L2 D L2 R' F',F L' R F' L R' D F' D',F R U2 B2 D2 L B2 U2 F,65
D' L' R D L2 B2 L2 U L B D2 L2 D R' L' B' L B L F R2 B2 R',x2,D' B2 L U' R D U2 B,D2 F2 L F' L' U2 R D B' U2,R' B' F D2 B F' R',B L R' B L' R D' B',D2 L2 U' F R F R' U L D2 L D',L2 D' L D U' F' U L2,B F' D' F D B' F L' F' L,63
L2 R2 B2 D' L U2 B' U D F2 D' L2 D U R2 L' D2 U2 F' D2 B,x2,L2 U' L' R2 F' L2 U,U2 L B' D U2 F2 U B U' L' R,R' B' F D2 B F' R',B2 L2 D B2 D' L2 B2 D,F' D L' R F2 L R' D F,U2 F2 L' U2 B2 D2 R' B2,F' U2 B2 L' D2 B2 U2 R' F',59
B R' L2 U R' U2 B2 F' D2 R' F D U2 F' U2 L2 D U L B2 D' B',x2,U2 R' D2 R2 D' R',R2 D R2 F' D' U L' U' L2 R2,U R2 D U' B2 D',B R' D R F' R F R' B',D2 L2 U' F R F R' U L D2 L D',D2 F' L' F' D' F2 D L D F,F R U2 B2 D2 L B2 U2 F,62
L B' R B2 L' F' D2 R' B F L U' B D2 R L2 F' R2 L D' R' D U2,x2,F D' U' R2 D2 U B',B2 U' L2 U' L B2 F2 R D F2,U R2 D U' B2 D',B D2 R2 D F' R2 F D' R2 D2 B',L D2 L' U' L D' R' D' L' R U,D' U L2 D U' F2,F R U2 B2 D2 L B2 U2 F,60
U R F2 U D R B2 L D' B2 R2 B R' U F U' R L2 B2 L' B' F' R2 U' B2,x2,L B D' F U2 R',L2 U' F R2 D' U F2 L' D F2,R2 D2 R2 D2 R2,B' D L R' B2 L' R D B,B D2 U R' D2 R D2 U' B',D' B2 L2 D B2 D' L2 B2,F' U2 B2 L' D2 B2 U2 R' F',56
F2 L' B' L' R' U2 L' D2 U' R2 U2 R2 L B' L' R2 D U2 B' D U L' F',x2,L2 U F L D2 R' B D,L' B2 U L D2 L' D R2 B' U' F2 D,R B2 U2 F2 L F2 U2 B2,D' L' D L B D2 F D' B' D F' D',L2 U' F2 U' R2 U2 L2,D U' L2 D' U B2,F' U2 B2 L' D2 B2 U2 R' F',62
