scramble,orientation,Step_DFR,Step_GEN,Step_FR_UFR,Step_BR_UBR,Step_BL_UBL,Step_FL_UFL,Step_UF,Step_FD_RD,total_moves
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,U2,F' D L2 B U' B F R,F2 U2 B2 U2,B2 R B2 F2 L' F2,L' R2 U L2 R2 D' L',U2 L U' L' U L' U' L U L,R D2 L R' B2 L',B2 D' F2 L2 B2 U' F2 R2,50
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,D R',B F' D2 R B' L D F',L D2 U2 R F2 R2,R' D L2 R2 U' L2 R',F2,U2 R F' D' B2 D F R' U',,U B2 F2 D B2 F2 U2,40
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,F' U2,R' F D2 R D' B L F',U R' U R U2 R' U' R U2,B2 L B2 F2 R U' R2,U2 R U2 F2 U2 R' U2,F2 L2 D',F2 D B2 F2 U' B2,L F2 L' R U2 R',48
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,U,R' U L' B' D F L',R B' D R D2 R' D' B R' U,F2 R' D2 U2 L' B2,B2 U' L2 U2,R' U2 F2 D2 L' B2 D' F2,F2 D B2 F2 U' B2,L F2 L' R U2 R',48
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,L' B',L2 B R D2 U2 F' U2,L2 U' R2 U,D2 B2 R U2 B2 D2 L',B2 D B' R D F2 D' R' B' U2,L' D' L2 R2 U L' R2,R' U2 L' R B2 L,U' F2 U B2 F2 D' B2 U,51
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,B',L B' D' R' F D' B' R2,U' L2 B2 D' B2 D L2,B2 L B2 F2 R',U' L R2 D L D2 L R2 U' L,L2 D2,B2 F2 U B2 F2 D',B F' L2 B' F U2,45
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,F' U2,R B D F2 U' F R' B',R' F U' B L2 B' U F' R,L' B U F2 U' B' L,L2 D2,L U2 F2 D' B2 F2 U' L,R' U2 L' R B2 L,L2 F2 U' L2 F2 L2 U' F2,50
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,F' U2,B' L' D2 B2 D2 L B,R' U' R' U2 R U R' U R2 U2,L2 D' R' D' L2 R2 U R',,L2 D F2 L2,B2 F2 U B2 F2 D',B2 F2 L2 D B2 F2 U' R2,45
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,B U,R2 D' B2 L D' B F',B2 L B2 U2 F2 R',L' D B2 F2 U' R B2,U' B2 D B' R D F2 D' R' B',F2 D2 L2 D,F2 D' B2 F2 U B2,U' F2 L2 B2 D' B2 L2 F2,50
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,B',B R2 B D F2 U' F',L' U R U' L' D' L2 U R',B2 L B2 F2 R',L' F2 D2 F2 L',L U2 F2 D' B2 F2 U' L,L B2 L' R D2 R',,41
