scramble,orientation,Step_DBR_DFR,Step_DFL_UB_UF_UL_UR,Step_GEN,Step_FD_RD,Step_BR_UBR,Step_FL_UFL,Step_BL_UBL,Step_FR_UFR,total_moves
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,B2 D R',D L R B' D' F U B F2,R' F U2 F' R U F' L U2 L' F U',L B D L F2 L' D' B' L' U2,R' B F' U2 B' F R',L2 U' R2 D F2 D' R2 U,L' F2 R F L2 F' R' F L2 F L,R' U' R B2 L' D L' D' L2 B2,70
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,B' U2,U' F2 L2 R2 F2 U' B D B',B' U B' D2 F2 U2 B' F2 U' B D2,B D U' L' U' L D' U B' U,U2 R2 U' L2 U R2 U' L2 U',D' U R2 D U' B2,L' F' D' B' U' L U B D F,F2 U B2 D' L2 D B2 U',65
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,R2 D2 F U',R B D' L' D' U' L2 F' R2,F D2 U2 L2 D F2 U' L2 F2 D F,B2 D2 F2 U2 F2 D2,F2 D L2 U' R2 U L2 D',D' F2 U B2 U' F2 D L2,L' F2 R F L2 F' R' F L2 F L,R' U' R B2 L' D L' D' L2 B2,67
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,D' F R2 F2,B2 D F L' B2 R' B F2 U,R2 D U B L' U' B L B2 D' R2,B2 R2 D2 F2 D F2 U R2 F2 D,F' R F' L2 F R' F' L2 F2,,F2 U2 L U' L F2 L2 U2 R U R' F2,,55
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,B',L R F' R2 B L' B' R D L',U2 L' F2 R' F' D2 R2 F' R2 U2 B' R,U2 F D R D B2 D' R' D' F',F2 U B2 D' L2 D B2 U',L2 B R B' L2 B R' B',L2 D F2 L2 F2 L2 F2 D' L2,B U B' R B' R' B2 U' B' R' U' R,70
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,R2 B L' F2,R2 B' D2 B2 L' F' L' D',R2 F U F2 D R2 B D L' B2 D2 R2,R2 U B2 U2 R B2 U2 B2 R U R2,D' U R2 D U' B2,U' R2 D F2 D' R2 U L2,B2 F2 D F2 U' F2 U F2 D2 L2 D B2,B U B' R B' R' B2 U' B' R' U' R,73
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,U L' F,D U2 F' D' B2 F' R2 D B,D F' U2 L B U F U B' L' D',B2 R2 D2 F2 D F2 U R2 F2 D,U R U' R' U L' U' L U' F2 R' F2 R,B R B' L2 B R' B' L2,U L U2 B2 D2 R D2 B2 U,U B2 D' L2 D B2 U' F2,71
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,R B',R F2 D' R2 U L' B' R D',R F' L F L2 D' B' D U2 L U R',U' F2 L2 D R2 D' F2 L2,U R' B F' U2 B' F R' U',U' B2 D' U R2 D,F2 U' F2 R2 F2 R2 F2 U F2,B2 F' L F L2 B' F' L F L' B L2 B2,68
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,U2 B' F,R' B' U' B2 R2 D' L2 F' R',F2 D' B2 L' U L2 B D F U2 F' L2,L B D L F2 L' D' B' L' U2,U B2 D' L2 D B2 U' F2,D' U R2 D U' B2,D2 L2 B2 R' U R B2 L2 D L D' L' D2,U' B L' R D' B D L R' B',71
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,B U F',U2 L D' F2 R B D B2,L' R U L2 R2 U' F U R F' L',L U B F' L2 B' F U L',F2 D L2 D' F2 U B2 U',F L D' U2 B' U2 B D L2 B L F' L B',D' L2 D' F2 U B2 U' F2 D2,U' L F2 D2 B2 R D2 F2 U',71
