scramble,orientation,Step_FD_RD,Step_BD,Step_LD,Step_DBL_DBR_DFR,Step_BL_UBL,Step_FR_UFR,Step_FL_UFL,Step_BR_UBR,Step_UL_UR,total_moves
B' L' D2 U2 R' D F' L D' L' R F D2 U F U2 F2 R L2 B U2 R,x2,L' D B' R' D R' F R B',U' R D2 U2 L U',L2,B2 U L2 U' R2 F2 R2 B2 D F2,D F2 D' U L2 U',B2 D B2 D' B2,D2 L F2 U R' B2 R U' F2 L',R U R' U' R2 B2 L' D' L B2 R2,F2 D' L' R F2 L R' D' F2,67
L U D B2 D' F R2 U F D2 F L2 F2 U' F2 L' F U' R L' D R' F R',x2,B D L' B' D' R D' U2 B',U L D2 U2 R U,U2 R D2 U2 L',R2 F2 D F2 D' R2 F2,U2 F2 L' U2 B2 D2 R' B2,D' R' B' F D2 B F' R' D,B2 D' U R2 U',B' R' F R F2 U2 B L B' U2 B F,L2 D B' F L2 B F' D L2,70
U B2 R U D' L B' D' F L R B2 D2 U' L' R2 U2 D' B' U2 F,x2,R B L' R F' R' F' U B',U L D2 U2 R' U,U2 R D2 U2 L',B2 L2 F2 U B2 F2 L2 D R2,L' B2 R B2 U2 R2 U2 R' U2 L U2,R' D' B F' R2 B' F D' R,L2 U' F2 U L2,U R2 D R2 D' R2 U',F2 D L' R F2 L R' D F2,70
D' L' R D L2 B2 L2 U L B D2 L2 D R' L' B' L B L F R2 B2 R',x2,B' R D2 U R2 B2 F' L' B',U L D2 U2 R U,U2 R D2 U2 L',B2 F2 L2 B2 F2 L2,L' D' B' F L2 B F' D' L,U2 R' F2 L F2 U2 L2 U2 L' U2 R,D' L2 D' L2 D L2,D2 F2 D' U L2 U',F2 D L' R F2 L R' D F2,67
R U R B2 L R' B D2 U R L F L F2 U R' D2 F R2 F' D2 L' R' F' B,x2,B2 U2 B' D R2 B F D' R',U L D2 U2 R U,L2,U L2 U B2 U2 F2 D F2,B2 R2 B' R2 F D2 B2 L2 B L2 F',,,B2 D2 U2 F2 U2,B2 D F2 L2 D' R2 B2 L2 U' R2 D' B2,52
L2 R2 B2 D' L U2 B' U D F2 D' L2 D U R2 L' D2 U2 F' D2 B,x2,B2 L2 B' U R U' F D B,D2 F2,L D2 U2 R U2,F D' B' D2 F2 D2 B D F,B2 D2 B2 D' B2 D' B2 D,R' D' B F' R2 B' F D' R,U R2 D U' B2,R B' F D2 B F' R,R2 D B F' R2 B' F D R2,63
U R F2 U D R B2 L D' B2 R2 B R' U F U' R L2 B2 L' B' F' R2 U' B2,x2,R2 B2 U' F' L' B' F R' U,,,D L2 F2 L2 F2,L' D B' F L2 B F' D L,R' D' B F' R2 B' F D' R,D2,U2 F2 D F2 U' R2 D2 U',L2 D B' F L2 B F' D L2,50
B R' L2 U R' U2 B2 F' D2 R' F D U2 F' U2 L2 D U L B2 D' B',x2,L2 D' R2 D L2 U2 F L',U L D2 U2 R U,U2 R D2 U2 L,D' B2 U L2 B2 L2 B2 U' B2,B2 D U' L2 U,B2 U2 F2 L' F2 U2 B2 R',U2 F2 D F2 U' R2 U',L2 R' D R F2 L2 U L U' L F2 L2,L2 D B2 U F2 L2 B2 D F2 R2 D' L2,72
L B' R B2 L' F' D2 R' B F L U' B D2 R L2 F' R2 L D' R' D U2,x2,U' B2 U B2 D2 R U B' F',U L D2 U2 R U,L D2 U2 R' U2,L2 R2 B2 L2 R2 B2,R2 D' U F2 U',R D' R' B2 L2 U' L' U L' B2,L' D' R F2 D R' D R D' F2 D' L R',D R B' F D2 B F' R D',R2 D B F' R2 B' F D R2,72
F2 L' B' L' R' U2 L' D2 U' R2 U2 R2 L B' L' R2 D U2 B' D U L' F',x2,D2 R U2 L' B' U R2 D' B',D2 F2,D L2,B2 L2 U B2 L2 D F2 D R2,U B L' B' U R B' D' B' D B2 R' U2,U B2 D' B2 U R2 U2,D',F' R' F L2 F' R F L2,L2 D B' F L2 B F' D L2,60
