scramble,orientation,fb,2x2x3,EOPair,LXS,co,pll,total_moves
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x x y,R2 F2 L2 D R' U B L R2,F2 R D R' F2,B2 D' R' U R D,U' L' B2 L U R' U' R,F U2 F' U' F U' F',U2 F U' R B' R' F' R B R' U' F U2 F' U',50
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x x,R' F2 R2 F D' B U' L F',L2 D R' D' L2,U2 R2,L U L' U B2 R B2,U F' L' B' L F L' B L,U R2 B2 R F R' B2 R F' R U2 U2,44
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x x,L U' B D2 L' F2 U L2 F',L2 D R2 D L2,R U R2 U' R2,U' R U2 R2 U' R U R,B' R2 F R F' R B,U' R F' L2 D' B' D L' F R' F' L' F U' U,49
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x x,L U2 R' D' L R D L2 B' F',L2 D' R2 D' L2,D' L F2 L' D R',U2 R' U2 R U2 R2 U R',U' F' L' B' L F L' B L,U2 F2 U' L R' F2 L' R U' F2 U2 U,50
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x x,R D2 L2 U' L F D2 F2 D B,L2 D' L2,R' U R U' R2,F R2 F2 U' B U F U2 B',L U' R' U L' U' R,B2 D F2 D R2 F D B' D2 F D' B' U' U',48
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x x,F D' F2 U' L B' L2 U' L,U2 L' B2 L,R' U R U R2,U R D' R U R' D U R',L' B' U' B U L,U' L2 B L D2 R L F' L' F2 R' D2 B' U,47
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x x,R' U F2 R2 F' L2 D F,L2 D' L' F2 L',R2 U' R U R2,U' B' D B2 U' B2 D' B,U' F' L' B' L F L' B L,U2 R2 B2 R F R' B2 R F' R U2 U2,47
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x x,B R2 F U' R2 F D' U' L',L2 R' D' L2,U R,U F R2 F2 U' B U F U2 B',B' R' F R' F' R2 B,U U' F U2 F' U' L' B' U2 B U L U',45
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x z x,F2 D2 U F' D' B2 L' B',B2 R2 F2 D' B2 L2,R U R' F2,U2 L' U L U R' F2 R,B' R2 F R F' R B,R B R' U2 L2 U2 L2 U' L2 U' L2 R B' R',47
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x x,U B D U F L' D' B2,L2 D R2 D L2,U2 R' U' R,U' B2 U R2 U' R2 U' B2,B' R' U' R U B,R2 U R U' R2 F D U R2 U' R' D' R' F' R,46
