scramble,orientation,Step_UF_UR,Step_FD_RD,Step_BL_UBL,Step_FL_UFL,Step_BR_UBR,Step_FR_UFR,Step_BD_DBL_DBR_DFR_LD,Step_GEN,total_moves
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,D B',L R' U' F R,F' L,L2 B' D F D' B L2,U' F' U F L F L',U2 B' R2 F D' F' R2 B U2,L2 F2 U' B F2 D F2 D' B' F2 U L2,L' F L B D2 F' D' F' D F2 D2 B' F',57
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,L2 D2 B',B R B2 R' B',B D F' D' B',U2 L U2 L' B' U2 B,D2 B U2 R2 U2 B' D2,B2 U L U' L' B2,L' U' L' R2 D' L D B D' B' R2 U L,L' F L B D2 F' D' F' D F2 D2 B' F',59
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,R' B,B F L2 U B',U' F U2 L' U' L,U' F U L',L F2 U L' U' F2 L' F2,U R U R2 U' R U',B L F2 L' F' U B L B' U' B' F,L' F L B D2 F' D' F' D F2 D2 B' F',57
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,D L D2,D2 R' D2,B2 L B2 F',B D' L2 D L2 B' F L F',F' U L2 U2 F U,B2 L F' L' B2,B2 F2 D2 R D' R' D' B2 F L F,L' F L B D2 F' D' F' D F2 D2 B' F',54
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,R' D2 B D',B L U B',L,L2 B2 L' B2 F L2,L F2 L',L D' U B2 D U' L,R' F' L2 B D2 F' D2 L' F' L B' F2 R,L' F L B D2 F' D' F' D F2 D2 B' F',51
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,L' U L' D2 B,F' L2 U' L U2,R2 F R2,F D' L2 D,R F R' F' U' R' U,F' D U' R2 D' U F',B L2 D' L2 U' F2 U F2 D' L2 D2 L2 B',,44
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,L D2 F' D,L U2 F U',L' U2 B' U' B U' L2,B D F' D' B' D F D',F2 L' F',R2 F L' F R2,F' D B U2 L' R' F' R F L U2 B' D' F,L' F L B D2 F' D' F' D F2 D2 B' F',58
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,F' D L B,F' L2 U2,U L U' L F',U B2 L' B2 L2 U' L',B R U' R' B',R2 U B L2 B' U2 F' U R2,B L2 R' D' L' D L' D' B' L' B D R B',L' F L B D2 F' D' F' D F2 D2 B' F',60
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,L2 D2 L B,B F' U L' B',L U' F' L' F L U,B D B' U' B D' B' U,L' B2 L B2 F2,U2 B R B' R' B' U2,B2 R U2 L' F' R B' R B R2 F L U2 R' B2,L' F L B D2 F' D' F' D F2 D2 B' F',64
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,L F' R' D,F D2 R B D2,L' B2 L' B2,L2 F2 R2 F' R2 F' L2,B R U R' B',B2 D' F D B2 D' F' D,R2 D R2 B' R' F R F' L F L' B R2 D' R2,,48
