scramble,orientation,Step_UF,Step_FD_RD,Step_GEN,Step_BD_LD,Step_DBL_DBR_DFR,Step_BL_UBL,Step_FR_UFR,Step_FL_UFL,Step_BR_UBR,total_moves
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,B',R' U' R',F D2 U' L' R2 D2 L U F',D U2 R D2 U2 L' D F2,F2 D' L2 B2 L2 B2 D2 F2 D' F2,L2 U' F2 U L2,B2 D' L2 U R2 U' L2 D,F' U2 L' F D2 F' L U2 F D2,B2 U2 F2 R U2 B2 D2 L,62
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,R' B',F2 R2 U',F2 L' B D' L' F2 L B',D F2 D' L2,B F R2 D2 R2 D2 B' F' R2,B2 U2 F2 L' U2 B2 D2 R',,D' U L2 D U' F2,B D R' D R B' U2 B D2 B' U2,51
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,L D',L U2 F U',L2 U B' D U R B U2,L' R B2 R B2 F2 R',D' L R' D2 B2 L' R B2 D',D2 B2 U2 L' U2 B2 D2 R',,D U' B2 D' U R2,B' R' F R F2 U2 B L B' U2 B F,56
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,U L' B,F R2 U' R',L2 B R U2 F R' B',L2 D' L2 D F2,B2 F2 R2 B2 D F2 D' R2 F2,B2 U2 F2 L' U2 B2 D2 R',U B2 D' B2 U R2 U2,,U2 B D2 B' U2 B R' D' R D' B',54
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,D',R',L2 R2 D' L2 D L2 R2 F',D F2 D',F2 D' R2 U F2 L2 U' R2 D2,U' F2 U' R2 U F2 U,F' R F R2 B' F' R F R' B R2,L2 U' F2 U L2,B' R' F R F2 U2 B L B' U2 B F,57
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,D L B,F R2 U' R',B' D' R U2 F R' B,D F2 U2 R D2 U2 L D F2,F' U' B D2 B' U F,U2 F2 L' U2 B2 D2 R' B2,B2 U' F2 D L2 D F2 U2 B2 U',L2 U' F2 U L2,B' R' F' U2 B2 L' B' L B' U2 B F,65
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,B,B2 D2 B' U B',L B D' F D2 B L B2 L',L D R F2 R' D' L',L2 U L2 F2 R2 B2 D F2 R2 B2,U2 R2 U' B2 D B2 U',R U2 F2 L F2 L' B L B' U2 F R' F',D' U L2 D U' F2,F2 R U2 B2 D2 L B2 U2,66
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,B',B' F2 R B,L' B D' F2 D' B' F',L' R B2 R B2 F2 R',R2 B' F' D2 L2 U2 L2 B F,B2 R D2 B2 U2 L F2 U2,R U2 F2 L F2 L' B L B' U2 F R' F',,U2 F2 D F2 D' F2 U2,56
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,R' D,B L B' R2,B L F2 D' L' B L B2 F',L B F2 U' F2 U B' F2 L',F2 D' B' F' D2 B F' D' F2,U2 R U' L D L2 U B2 R2 U R U L,R2 D U F2 D' U' R2,D2 B2 U R2 U' B2 D2,R D2 B2 U2 L U2 B2 D2,68
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,D' L B,R,B' D B2 D2 F D' B',U L U2 F2 U2 L' U',U2 B2 L2 B2 L2 U2,D U B2 U' L2 U B2 U',R B D' B' R B D' R' D' R D2 B' R2,D' U L2 D U' F2,R B' F D2 B F' R,58
