scramble,orientation,Step_UR,Step_FR_UFR,Step_BL_UBL,Step_BR_UBR,Step_FL_UFL,Step_FD_RD,Step_LD,Step_BD_DBL_DBR_DFR,total_moves
L U D B2 D' F R2 U F D2 F L2 F2 U' F2 L' F U' R L' D R' F R',x2,F R',D2 B' D2,L' U' L F',U L2 F L' F2 L',B2 R2 F R2 B U2 B L2,F' U' L D U' F2 D' U2 L F,D' B' F L2 B F' D',U' B2 U2 R2 D F2 D2 L2 D' F2 D2 R2 U',53
B' L' D2 U2 R' D F' L D' L' R F D2 U F U2 F2 R L2 B U2 R,x2,B2 D',R' U2 R U R' U' R,U2 L2 B' L2,B U2 F2,B' D' B' D,F U2 L' U2 B2 L' F' U R D2 B' R',D B' F L2 B F' D,L' F2 L R' D2 R,45
R U R B2 L R' B D2 U R L F L F2 U R' D2 F R2 F' D2 L' R' F' B,x2,B2 D',U2 B2,U2 L2 F',U2 F' U L U' F,U' R B R' B' U' B,U B' U2 B U2 R B R' U,B2 R2 F2 R2 B2 L2,L2 F2 L2 U F2 L2 F2 U',43
U B2 R U D' L B' D' F L R B2 D2 U' L' R2 U2 D' B' U2 F,x2,L' D2,B U2 B' U' B U B',B L2,F' L F' L' F2,L2 F L2 B,U2 F' L' B2 D2 R B F U B2 D2 L2 B',L2 B2 R2 D R2 B2 L2 U,B2 U F D B' U2 B D' F' L2 U' B2,53
B R' L2 U R' U2 B2 F' D2 R' F D U2 F' U2 L2 D U L B2 D' B',x2,B' D',B U' F' L2 F U B',L R D L' R',L' B' L U2 F,L F2 U B,L2 U L R' F L' R U2 L2 U',D' B' F L2 B F' D',U L2 B2 R D R' B2 L U' L,50
L B' R B2 L' F' D2 R' B F L U' B D2 R L2 F' R2 L D' R' D U2,x2,F' D,U' B2,B2 U' L2,L F' U2 F2 L',F' L' F L U2 L',U' L F U F' U' R B' L' R D R2,D B' F L2 B F' D,B' U B' L2 B U' B R2 F2 R2,47
F2 L' B' L' R' U2 L' D2 U' R2 U2 R2 L B' L' R2 D U2 B' D U L' F',x2,B2 D',B U B L B2,L B2 R' F2 R B2 L',L2 F2 L' F',D' U2 B' D,L' R2 F L D' R' U B U' B2 D' R' B,D B' F L2 B F' D,U F2 L2 F2 U' L2 F2 L2,50
U R F2 U D R B2 L D' B2 R2 B R' U F U' R L2 B2 L' B' F' R2 U' B2,x2,R',R2 F2 L F2 R U2 R B2,U' L U' L,B2 D2 B D2,R' U R U2 B2,B L' B' L F' R D L D' L2 R' F,L2 B2 R2 D R2 B2 L2 U,R2 F2 R' B' R F2 R' B R',51
L2 R2 B2 D' L U2 B' U D F2 D' L2 D U R2 L' D2 U2 F' D2 B,x2,D2,L2 D2 F' R' F D2 L2,B2 L2 F',B F' L B' U2 F,B L U L',F2 R U2 B L2 U L2 B' U2 R' F2,D B' F L2 B F' D,R2 D' B2 R2 U' R2 D L2 B2 U R2 F2 D,52
D' L' R D L2 B2 L2 U L B D2 L2 D R' L' B' L B L F R2 B2 R',x2,D',L2 D2 F' R' F D2 L2,U2 L' U' L,U F' U F2,F U B,L2 F' L' F U R' D' L' D F' L' R U2,D B' F L2 B F' D,U' F2 D2 L2 U F2 U2 R2 U' B2 D2 R2 U',52
