scramble,orientation,Step_UB_UF_UL_UR,Step_FD_RD,Step_BR_UBR,Step_FR_UFR,Step_FL_UFL,Step_BL_UBL,Step_BD_DBL_DBR_DFR_LD,total_moves
L U D B2 D' F R2 U F D2 F L2 F2 U' F2 L' F U' R L' D R' F R',x2,F2 R D2 B R F,U2 F' D U F2 R' F2 D' F,U' L2 F2 L2 F2 U,U' L2 D' U B2 D,U' R' B D F2 D' B' R U L2,B2 D' B' U B D B2 L' B U' B' L,B2 R2 B' L' B R2 B' L B',58
B' L' D2 U2 R' D F' L D' L' R F D2 U F U2 F2 R L2 B U2 R,x2,U R2 F L' B2,U' L2 D L B U B' L' F' D' L2,F2 D U2 R2 D' U2 F2,D' F2 D' L U2 F2 D2 R' U R2 U B2,D2 F2 L2 F2 L2 D2,U' L2 U' L2 U' L2 U2 L2,F R' F L2 F' R F L2 F2,58
R U R B2 L R' B D2 U R L F L F2 U R' D2 F R2 F' D2 L' R' F' B,x2,L2 B2 R2 F' D',U2 L B L F' U B' L' F U',L2 D F2 D' L2,U2 R2 B2 R2 B2 U2,U2 R D' U' B2 D L2 U2 R' U L2,F2 U' F2 U F2,B2 R2 B' L' B R2 B' L B',51
D' L' R D L2 B2 L2 U L B D2 L2 D R' L' B' L B L F R2 B2 R',x2,D' F D' B R D,R U B L2 D2 B' L2 R' U' F',R2 F2 R2 U' F2 U F2,U B2 D L2 D' B2 U',,U L2 U R' U2 L2 D F2 D' U' R U,U R2 U' B' F R2 B F' U' R2,52
L B' R B2 L' F' D2 R' B F L U' B D2 R L2 F' R2 L D' R' D U2,x2,F2 D F L D,B L' B2 D R2 U R2 D' B L F2,L U2 L' R U2 B2 R' B2,D' B2 D2 L' D2 B2 D2 L D',U' L B' R B2 D L B D' R' B2 L',D' L2 B2 L2 B2 D,U B2 R2 B' L' B R2 B' L B' U',62
B R' L2 U R' U2 B2 F' D2 R' F D U2 F' U2 L2 D U L B2 D' B',x2,B' F R2 D' L B,U L U' B U' L2 U2 L2 B' L',L' F D B2 D' F' L U R2 U',D' F2 D' L U2 F2 D2 R' U R2 U B2,U2 R2 B2 R2 B2 U2,L2 U L2 U' L2,U B2 R2 B' L' B R2 B' L B' U',60
U B2 R U D' L B' D' F L R B2 D2 U' L' R2 U2 D' B' U2 F,x2,F2 D2 L' D' F' D',B' R U' B U F2 R F2 R',R2 F2 R2 U' F2 U F2,U' R2 D' F2 D R2 U,R2 B2 R2 B2,U' L2 U' L2 U' L2 U2 L2,B2 F' D' F L2 B' U B F2 D B2 R2 F2,54
F2 L' B' L' R' U2 L' D2 U' R2 U2 R2 L B' L' R2 D U2 B' D U L' F',x2,R B2 R' D' B L2,F D2 B' D2 U B2 R2 F' R' B2 R',F2 R2 F2 R2,R2 F2 U' F2 U F2 R2,D' R2 F2 R2 F2 D,L' F' D' B' U' L U B D F,L B U B' L B U' L U L U' L' B' L2,58
L2 R2 B2 D' L U2 B' U D F2 D' L2 D U R2 L' D2 U2 F' D2 B,x2,B' R' D B' D B2,R F2 D2 B' D2 R F2 U' R',B2 L U2 L' R U2 B2 R',U' R' F U' B' U F' U' B R U2,L2 R2 D F2 D' L2 R2,F2 D' L2 D L2 F2 L2,F U' B U' F' U2 R' F' L2 F L2 R U' B',62
U R F2 U D R B2 L D' B2 R2 B R' U F U' R L2 B2 L' B' F' R2 U' B2,x2,R' B L' U B2,U2 L U2 F' L' B F U B' U',F2 U' F2 D R2 D' U,D' F2 D' L U2 F2 D2 R' U R2 U B2,U2 R2 B2 R2 B2 U2,D' U B2 D U' L2,U' B' U L' U' B2 D2 F' R' F D2 B' U L,60
