scramble,orientation,Step_UB_UF_UL_UR,Step_FD_RD,Step_BD_DBL_DBR_DFR_LD,Step_BL_UBL,Step_BR_UBR,Step_FL_UFL,Step_FR_UFR,Step_GEN,total_moves
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,U2 L B' R2 U' L2,L2 B L2 U2 B',U' F D R2 B2 U' R D' U2 R2 F',R F L F' R' F L' F',R B2 R B U R U' R' B R',L U L' D L U' L' D',,,48
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,R' F' U2 B L F',U2 B U B',B L2 U' L2 R' D2 R U B' F' L2 F',L2 U F' R2 F U' L2 U F' R2 F U',R F2 R B' R' F2 R B R2,L' B D' B2 D B' L' B2 L2,U B U' B2 R D B' L B D' R' B,,64
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,B L U' F2 R' B',U2 L' U L,F' D L' F2 L' F2 L D' R2 F' R2,D F D' B' D F' D' B,B' U' B D2 B' U B D2,L B L' U' L U B' L' B2 L' B2 L,R U' F2 U R' B2 R U' F2 U R' B2,,61
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,D2 F D' B' F,R' U' R B' U B,L' F2 U L' F2 L' F' L2 F' U' F2,U F' R2 F U' L2 U F' R2 F U' L2,F' L2 U' F2 U F2 U L' U' L' F,L B L' B' U' L U B D' B D B2,D2 L2 D B2 D' L2 D B2 D,,66
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,F' D L B F' L',L' U2 L,L' B D' B2 R' D' R D2 B L,B' D' R2 U F' U' R2 D2 B' D' B2,F U B2 U' F D L2 D' F2,L' F' L B L' F L B',,,47
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,L F' L2 R' D L,B' R B2 U2 B' R',B' R U L' R' B L' B' L2 B,B2 D' B D2 R2 U F U' R2 D B' D2 B2,D B2 D' L U R2 U' L',D' U B2 D U' L2,B2 R U' F2 U R' B2 R U' F2 U R',,61
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,L D2 L B L' F' D,B L' B' L U,R U2 L' D B2 L' B' L D' L R' U2,L' B' L2 B2 U' L2 U B2 L2 B L' B2 L2,D B2 U' F2 U B2 D' L2,B' U' B D' B' U B D,B2 R U' F2 U R' B2 R U' F2 U R',,65
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,L2 U B D2 L' B,U B L' B' U L,F L' D2 U R2 B R2 D2 L U' F2,L' F' L B L' F L B',R B' U B R' B' U F' U' F U' B,L2 B' U' B U2 F' L2 F L2 U' B L2 B',R F R' B R F' R' B',,64
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,R B2 R2 F L' D,L B L2 B' L' U,R B2 L R' B' U2 B F' L' B2 F L2,D2 U B U F2 U' B' D R2 D U',B' R D' R D R' D2 L' U F2 U' L D2 B,R B2 R B U R U' R' B R',R U' F2 U R' B2 R U' F2 U R' B2,,71
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,D B L D2 L',L' B L U2 B',D2 B L' F2 L B' F2 L D2,D' B' U' L U B2 D2 R D R' D B' D,L2 F' L' U L2 U' L F,L2 B' U' B U2 F' L2 F L2 U' B L2 B',D' L U R2 U' L' D B2,,61
