scramble,orientation,Step_FD_RD,Step_UB_UF_UL_UR,Step_DBR_DFR,Step_FL_UFL,Step_BR_UBR,Step_FR_UFR,Step_BL_UBL,Step_GEN,total_moves
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,F2 D L2 U2,L' F D B D' B2 D2 L' B,R U2 R2 U L' U L U R,,U' B U' R U R' B' U,U' F' U B2 U' F U B2,L' U F R' F' L F R F' U',U2 F' U B' U' B F U2 B' U' B,59
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,D L R2 B',L2 B R D2 U' R' B' D' L2,R D2 L D2 U' R2 U R,R B2 R' U' R U B2 R',U2 B R2 B' R' B R' B' U2,U2 R' U B L' B' R B L B' U,F U2 R B' R' B U2 F',U2 F' U B' U' B F U2 B' U' B,68
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,R F2 U',L2 B D' B' F2 L' D L2,U2 L U L' U L U L',D2 F2 U2 L F2 D2 B2 R,R U L' U' L R',R' U2 B' U' R U R' B U R U2,L2 B' L' B2 L B2 L' B',,52
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,F L2 R B',U2 B2 D2 R D U2 F L',F2 L' B2 L' B2 F2 L2,B' R' B' L' B R B L,R B F' U2 B' F R,B L' R D' B' D L R' B' U,R2 D2 U2 L2 D2 U2,,50
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,R' F' R' U',F' R F' R' D F L,B' L2 U L2 U' B' L2 B2,R B2 R' U' R U B2 R',D B D' F2 D B' D' F2,U' R' F U' B' U F' U' B R U2,D2 B2 D2 L U2 F2 U2 L',U2 F' U B' U' B F U2 B' U' B,65
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,U' L' R2 B',D U B2 R2 B' R2 U' F,B2 L2 U L U' L2 B2,U R' U2 L U2 R U' L',R U' L' U L U R',U2 L2 R U R2 U' L2 R U2,L' F' D' B' U' L U B D F,B2 R' U R B' D' R F R F' R2 D B',66
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,F2 R B,D' L2 F D' L D' F L,D R2 B2 R2 B2 D',D2 U2 L2 D2 U2 R2,L F R F L' F' R' F',B L' R D' B' D L R' B' U,L' U2 L U R' U' L' R U2 L,B2 R' U R B' D' R F R F' R2 D B',64
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,B' L2 U,L' F2 R U F D' U' R',F2 L B2 F' L B2 L' F',D' R2 U R U2 R D L' B2 L,L2 D' L D L U' F2 U,R2 U L U' L' R2,U2 R' U2 R' F2 R F2 R,B2 R' U R B' D' R F R F' R2 D B',64
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,B R,L' B R D F2 U' R' D2 B',L B L' U L U' B' L',R' B2 F2 R B2 F2 R,R U' L' U2 L U R',R2 U R U2 R D L' B2 L D',F' L D' L D L2 F2 U' F' U,B2 R' U R B' D' R F R F' R2 D B',66
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,R',L2 D L2 D L D2 L F',D R2 D B2 U B2 D2 F2,R B2 F2 R' B2 F2 R',R B2 U R2 U2 R2 U' B2 R',U' F' U B2 U' F U B2,L B' L' F' L B L' F,B2 R' U R B' D' R F R F' R2 D B',62
