scramble,orientation,Step_BD_DBL_DBR_DFR_LD,Step_UB_UF_UL_UR,Step_BR_UBR,Step_FL_UFL,Step_BL_UBL,Step_FR_UFR,Step_FD_RD,total_moves
L U D B2 D' F R2 U F D2 F L2 F2 U' F2 L' F U' R L' D R' F R',x2,L2 R2 B R2 D' B' L F',L D2 B D2 B' D2 L',U2 F' U' F U2 B' U B,D' B2 D' L2 D B2 D' L2 D2,U B F R' F R B' F2 R' U' R,R' D U R' U' R D' R2 U R' U' R',R B' R' B' R2 F D B D' B' F' R2 B2,68
B' L' D2 U2 R' D F' L D' L' R F D2 U F U2 F2 R L2 B U2 R,x2,F L' F L2 B' U2 L,B' D' L' F L' U2 F' L2,F' R2 F' L F R2 F' L' F2,,U2 L' U L U2 F2 R' F' R F' U',F2 U2 R2 U B' U' R2 U B U F2,R B' R' B' R2 F D B D' B' F' R2 B2,59
D' L' R D L2 B2 L2 U L B D2 L2 D R' L' B' L B L F R2 B2 R',x2,B R B F D' L U' R2,R' D2 L B L' D R,U R' D R2 D' R2 U' R D R' D',B' F' D' R B' R' B D B F,B L' B' U B' U' B L,R U F D B R' B' D' F' U',R B' R' B' R2 F D B D' B' F' R2 B2,67
B R' L2 U R' U2 B2 F' D2 R' F D U2 F' U2 L2 D U L B2 D' B',x2,D2 R2 U' F2 L B2 D' F,B D L B L D2 B L' D2 L2,F' D' B L2 U' L2 B' D F,U' B2 L' B' L B2 U B,R' F L' R U2 L R' F R,U' B L' B L B2 L' U' L U2,,54
R U R B2 L R' B D2 U R L F L F2 U R' D2 F R2 F' D2 L' R' F' B,x2,F2 U' B' U L R2 B,B' U' L2 D' L' D' U' F U2,U F' R' U' B' F' R B F R,B D2 B2 D2 B D2 B D2,U L' U' L U2 R' U L' U' L R U,R' U' F L F' L' U' F' U2 R,R B' R' B' R2 F D B D' B' F' R2 B2,69
F2 L' B' L' R' U2 L' D2 U' R2 U2 R2 L B' L' R2 D U2 B' D U L' F',x2,U2 F U L' F2 U F',R' B2 L' D' U F D2 U' L,F' D' B' L2 U' L2 B D F,F2 R B2 R' B R B R' F2,U B R' F R B' U' R' U F' R U',B' U2 B2 D L U' L U2 L2 D' B' U,R B' R' B' R2 F D B D' B' F' R2 B2,71
U R F2 U D R B2 L D' B2 R2 B R' U F U' R L2 B2 L' B' F' R2 U' B2,x2,L F2 U2 R B' U' F' R',U' R' D2 L B L' D R U,D2 U L' U2 L D2 U' F' U2 F,R2 B2 R B2 R B2 R B2,U F' R2 F U' L2 U F' R2 F U' L2,R2 D' B U L2 U' B' D F2 R2,,57
L2 R2 B2 D' L U2 B' U D F2 D' L2 D U R2 L' D2 U2 F' D2 B,x2,L F D L U2 L2,B' F U L' U B U2 F2 R2 F,B2 D2 U L' D R2 D' L D2 U',B F L2 B' L' B' U2 B2 L B' L F' L,U R2 D' B2 D R2 U' L2,U F2 D2 L B2 D2 F2 R U,R B' R' B' R2 F D B D' B' F' R2 B2,69
U B2 R U D' L B' D' F L R B2 D2 U' L' R2 U2 D' B' U2 F,x2,R U2 B2 D' F R2 B,D B U L' R F2 L R2 U',L R2 B L' B' U' L' U R2,F2 R B R' B R B' R' F2,B U' L' U2 B L' B' L B L B2 U',U F2 D2 F2 R B R' B' F2 D2 F2 R' U' R,R B' R' B' R2 F D B D' B' F' R2 B2,73
L B' R B2 L' F' D2 R' B F L U' B D2 R L2 F' R2 L D' R' D U2,x2,U R2 B F R' B U2 L',U' B' U' F2 D L F U2 B',F2 L B' F U2 B F' L F2,L U L' D2 F R' D R2 B R2 D' R F' D2,D' U F2 D U' R2,,,46
