scramble,orientation,Step_FD_RD,Step_BL_UBL,Step_BR_UBR,Step_FR_UFR,Step_FL_UFL,Step_GEN,Step_UB_UF_UL_UR,Step_DBL_DBR_DFR,Step_BD_LD,total_moves
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,U' L' R2 B',F2 D F,U2 R U2 F D' F',R2 F2 R2 B2 L B2 L,F' D' L' D B D' B' L B D B' F,,F2 L2 B2 U F2 R2 F2 U' B2 F2 D2,F2 R2 B2 D' B' F2 U' B L2 F' D B2 F,,56
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,F2 R B,L' R F R' D',B R2 B' R2,U' L' R D' L R' U,B' R' F2 U' R B L' U L2 U L,,B' F D2 B' F R2 U L2 R2 B2 F2,R2 U B' F R2 B F' U R2 U',,51
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,F2 D L2 U2,L2 U B U' L2,D' F D,B D' R' U R D B',L2 R2 F2 L2 U B2 D' F2 L2 U' F L' F,,L2 D' L2 F2 D L2 F2 L2 D F2 D L2,R2 U R2 B' R F D R' D' B R F' R',,57
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,D L R2 B',F2 L D' L',L2 F' L R' D' L R,F' L F U B2 U',B' U' B2 D F2 D' F' R B2 L' F' U B,,R2 F2 U L2 U' R2 U B2 U' L2,F U' B D2 B' U B F' U' F D2 F' U B',,58
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,B R,L2 D2,F D' F L2 F2,R D2 B D' B' D2 R',B L' U B U2 R U2 F L F' U' B' F',,F2 D L2 F2 L2 D F2 L2,L F' L B2 L' F L B2 L2,,46
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,R F2 U',L U L2 B L' B' U',L2 F2 L' D,B2 D' B2 D B2,B U B U' B D' L B' D2 L' D2 B2 L',,U' L2 B2 R2 D B2 L2 F2 U2,F2 R2 F2 U F U' B U2 F' U' B' F R2 F',,55
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,R',F',U B2 U2 R' U,D' L2 D L2 D,L' R2 D F2 L R' D B' D B R D R2,,D' F2 L2 F2 D F2 L2 F2 D2,L' B L' F2 L B' L' F2 L2,,43
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,R' F' R' U',B2 F' L F L B2,L F2 D',U2 B2 L' R D L R' U2,R' F2 R' D' R U2 R2 B D' L' R' B2 U2,,B F D U' R2 F' D U B' F L2,U2 L' B L' F2 L B' L' F2 L2 U2,,56
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,F L2 R B',B' U L' U' L2 B,L F2 D' L D2,L2 B R' U' R B' L2,D2 R D L' D' F L' D' L2 D R',,U2 B2 R2 U' L2 D R2 U' L2 D B2,L F R F' L' B F L B' R' B L' B' F',,58
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,B' L2 U,L' R D' L' D R',F L D2,U B' U B U' B2 U',B F' U2 F' R D' R' D F U2 B' L' F,,D L2 F2 L2 D F2 L2 F2,B2 F' D' F L2 B' U B F2 D B2 R2 F2,,53
