scramble,orientation,Step_DFL_UB_UF_UL_UR,Step_GEN,Step_FD_RD,Step_BD_DBL_DBR_DFR_LD,Step_BR_UBR,Step_BL_UBL,Step_FL_UFL,Step_FR_UFR,total_moves
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,R2 F L2 U B D2 L',R' F' L2 F R2 B L2 U B' R',B F' U2 B' F,D2 R U' R' D2 B2 R2 B2 R U R,D' U R2 D U' B2,L2 U' L2 U B2 L2 U B2 U' B2,,,49
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,U2 B' D2 B2 L' R',B D U2 L' F' U2 F D' U' B' U2,L' F' U' B L2 B' U F L,U' R U2 B2 U2 R' U' L2 B2 L2 U' B2 U',B2 D B2 U' F2 U B2 D' L2 B2,,D' U L2 D U' F2,,55
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,D B L D2 U' L',U F D R2 B' R U' B D' F',L R U' B2 L2 B2 U L' R',F2 U L2 R2 D U L B2 F2 R D F2,R2 D' U F2 D U',F2 U L2 D' F2 D L2 U' R2 F2,,,53
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,F D' F U' B' R2,B' D2 F2 U F D2 B2 U' B' U',L' F' U' B L2 B' U F L,R' B2 D2 F' L2 F D2 B' U2 B' R,R2 D2 R2 F2 U2 L2 B2 U2 F2,D' L' D' B R2 F' U F R2 B2 D B L D,,L2 D' U B2 D U',65
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,B' R D' U2 L R2 B',D' B' U' B2 U2 L' B' U2 L D,U' F' L D' B U2 B' D L' F,F2 L' D2 B2 D2 L' U F2 U' F2 L2 U',D' B' L' U B2 D' R D B2 U2 L U B D,,R2 U2 L2 F2 U2 R2 B2 D2 B2,R2 D' U F2 D U',68
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,B R2 D2 R2 B R' D,F U F2 L' D' B2 U' B D L F,L2 R F' D' B2 D F L2 R',R' U' R' B2 R2 B2 L U R' U2 L' R U,,L2 D' U B2 D U',D F L U' F2 D R' D' F2 U2 L' U' F' D',,60
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,F D' L' D2 B L2 D',F' L F L' B' U' B,B F' U2 B' F,U2 F' L2 R U R2 D' B2 D' U L' B D2,R2 D2 R2 B2 U2 L2 F2 U2 B2,D' U B2 D U' L2,D F L U' F2 D R' D' F2 U2 L' U' F' D',,61
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,L D2 L B L' F' D,R B' F' L D' F L' B R',L' F' U' B L2 B' U F L,L2 U2 F L2 U L' U2 L D2 U R2 B D2,D' L' F' U L2 D' B D L2 U2 F U L D,F2 D' U L2 D U',D' U R2 D U' B2,,64
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,L2 R2 U B D2 L' B,L' B U B' F' U F U L,B' U2 R' U L' R B' L U2 B,R' D' B2 L D2 R U' R2 D2 F2 U L' B2 D,U2 F2 U2 F U2 L2 F2 L2 F U2 F2 L2 F L2,B R' B L2 B' R B L2 B2,,,63
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,F' D L B F L' F2,U R' F2 R' B' R2 F2 U' B,B2 R U2 B2 U2 R' B2,D R' U' R D' R2 D R' U R D' R2,U2 F2 U2 F U2 L2 F2 L2 F U2 F2 L2 F L2,F2 D' U L2 D U',,D' U R2 D U' B2,61
