scramble,orientation,Step_BR_UBR,Step_BL_UBL,Step_FL_UFL,Step_FR_UFR,Step_DBL,Step_UB_UF_UL_UR,Step_FD_RD,total_moves
B2 L R' F2 B' D' U L' R2 F R L' F2 L' B' L' F2 B' U' R' U2,x2,L2 U' R',U B' U' L2,U B' U2 B2,B R B' U R D' U' R D R2,,F2 R2 U' L2 F2 R2 B2 F2 U' R2,R2 U' B' F R2 B F' U' R2,40
F R D U2 R L' D F2 D' R2 F U' B' L B U2 D2 L' R2 F L2 D U' F' R,x2,L2 D L2 F' U2 F,U F',U B2 R' B2,L2 F U' R2 U2 B' R' U2 R' F' U' B,U2,F U2 B' F R2 B' U B2 F2 D',F2 U L R' F2 L' R U F2,44
F' L2 U R' B2 U F2 L' R2 U' L2 U2 L' U2 R U L2 R2 U B2 R F',x2,B' L2 D' R,U' L' U L2,B2 L2 F' D' F L2,F2 L2 F2 U' F R2 B D2 B' R' F',,U R2 U' L2 R2 D L2 U',B2 D' B' D B' L2 F U' F' L2,43
U R F2 R2 U F' L D B' R' F B2 U2 B D' U' R2 U B' F',x2,U' R F,L' B U2 B U' L,U' B D,B2 R2 U R U B2 U' B' R B2,,F2 R2 F2 L2 D' L2 B2 L2 D' B2,F2 U L R' F2 L' R U F2,41
L' U B F2 U2 B2 D2 U2 L' F' L D' F B L2 B R F' B D' R2 U2,x2,F U' R U2 R2,U' B U' L2 B',F2 L D2,B U2 B' U F R' B F' U' B',U2,D2 F2 D' B2 F2 U B2 D2,U' F2 U L R' F2 L' R U F2 U,43
B U2 D2 L2 U L2 U' R2 D L' D' F R F' R L2 D2 R B U2 F2 B L2,x2,B U F D' F',F,B U B' U B2,B F2 D' R F D' U2 R B L U2 R',U2,F2 L2 U' B' F' D2 B' F' D' R2,U R2 U' B' F R2 B F' U' R2 U',45
R2 F' R' L' D R B' R D' L' D B F R' F R' B2 L U' F2,x2,L R F L',B U2 L,R' B2 U' B,R2 U' L2 F D B' D2 B F2 R F L2,U',B2 D R2 B2 R2 B2 F2 U F2 R2,B2 D' B' D B' L2 F U' F' L2,44
D2 U' L' F2 D2 U R F' D2 L2 B' R2 U' R D' L' F2 D2 R' B',x2,L U' F2 L' R',D' F D',B2 L U' L' B,U2 B2 L F R' B U' F' U2 B' U L',U,L2 B2 R2 B2 F2 D R2 B2 R2 D,U' R2 U' B' F R2 B F' U' R2 U,47
F2 B2 L' B2 R' B U' L F2 L' R' U2 D' L' D F B' L2 B2 D2 B2 D',x2,U R2 U R',F2 U2 L2,U' F' D' B' D F,B' U' B2 R U' L2 F' L2 U R',,F2 L2 U L2 B2 L2 U B2 F2 R2,,33
R2 L' B' R U2 F2 L' B2 L' U D2 B2 D L2 R' D2 U L2 U F L2,x2,F U2 R U R2,L F2 R' D F2 L',L D,L' B L2 F2 L B D2 L2 F U R,U2,F2 L2 R2 U F2 L2 F2 U B2 L2,U2 F2 U L R' F2 L' R U F2 U2,46
