scramble,orientation,Step_UF_UR,Step_FD_RD,Step_DBL_DBR,Step_BL_UBL,Step_BR_UBR,Step_FR_UFR,Step_FL_UFL,total_moves
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,R' D2 B D',B L U B',L R2 F' L R2 U F2 L F2 U' F,D R2 D R2 D' R2 D',R B' F D2 B F' R,B2 R' B' D2 F2 U2 F2 D2 B' R,D L2 D R2 D' L2 D R2 D2,52
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,D B',L R' U' F R,R B2 U' B2 R F2 R D' L2 D' R F',F2 D2 R B2 D2 F2 L U2,B2 L2 R2 D' B2 F2 R2 U',R B2 U' F2 L2 B2 D' F2 R,R' F2 L2 D R2 U R2 D' L F2 R U2,56
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,R' B,B F L2 U B',B2 R2 D' L2 D B2 F2 L' R2 F',L' U' B L' F2 L B' U L,R U' F U2 B' U F' U' B2 L2 B' R',U2 L' R U2 B2 L R' B2,L' B2 R2 D R2 B2 L2 U L',55
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,L2 D2 B',B R B2 R' B',U2 B U' L B' F L' F' U',U' F2 R2 U' R2 B2 D' B2 U2,R' B F2 D F U2 F' D' B' F2 R',L R F2 L' B2 D' L F2 L' D B2 R',L2 U' F2 U L2,54
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,D L D2,D2 R' D2,B2 L B2 L U' F D U F D' F2,D2 L' R D2 F2 L R',L D U' F2 D' U L,R2 D F2 U' B2 D' F2 U,U2 R U' L U2 R2 F2 R U L',49
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,L D2 F' D,L U2 F U',D2 U' F2 R' F2 R' D2 U F L2,D' L' D2 U2 R D' U2,L2 R B R' F2 R B2 F U2 B F' R',U B2 F2 L2 B2 F2 U',L U' L2 B2 R2 D' R2 B2 L,53
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,L2 D2 L B,B F' U L' B',U2 B F D2 F U' B D2 L' B U' B,L2 F' L F L2 B' F' L F L' B,,B2 D U' L2 D' U,B2 D2 R F2 L D' R2 B2 U' L2 U' R,50
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,L F' R' D,F D2 R B D2,L F L2 B2 F' L B2 U' F2 U F,R F2 R F2 R2 B2 D2 L' D2 L' B2,D' R B' F D2 B F' R D,R B2 D' L F2 L' D B2 L F2 L' R',L' D2 U2 R D2 U2,58
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,F' D L B,F' L2 U2,D R' D R2 B D2 R D' B' L D R',L2 D' L2 D L2,L2 U F2 U F2 U F2 U2 L2,D L2 R2 F2 L2 R2 D',R' F2 L2 D R2 U R2 D' L F2 R U2,52
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,L' U L' D2 B,F' L2 U' L U2,L R' U' R F L F2 R U' R',L B U' F D2 F2 D2 F' U B' L,U B2 F2 L2 B2 F2 U',R2 D' L D2 F2 D2 L' D R2,U B' U F R' U' R B U F' U2 L,59
