scramble,orientation,Step_DFL_UB_UF_UL_UR,Step_FR_UFR,Step_BL_UBL,Step_BR_UBR,Step_FL_UFL,Step_GEN,Step_FD_RD,Step_BD_DBL_DBR_DFR_LD,total_moves
L U D B2 D' F R2 U F D2 F L2 F2 U' F2 L' F U' R L' D R' F R',x2,L2 F' L U' R D2 F',D' B U B' D,F2 U F' U' F2,L2 F' L2 U2 L2 F L2,L U2 L' U2 B' R' U' R B,B' U B L' R D' B' D L R',F2 U B2 L2 U' R2 F2 L2 D' R2 U' F2,,55
U B2 R U D' L B' D' F L R B2 D2 U' L' R2 U2 D' B' U2 F,x2,R F2 D F' D L' D2,U' R' U2 R U2 R' U2 R U,F2 R2 B' R2 F2 U2 B,R U' R B' R2 B U,B2 R2 U2 B2 U2 B2 R2,U' B' U F U' B U F',F2 U' L R' F2 L' R U' F2,R B' R F2 R' B R F2 R2,63
D' L' R D L2 B2 L2 U L B D2 L2 D R' L' B' L B L F R2 B2 R',x2,L F L F' D' F,B L U L2 B L B2 U,U L' U' F' L' F L,D B U' B U B2 D' R2,L U R' U' L' R,F U F' L' U' B' U' B L,L2 U B F' L2 B' F U L2,,53
B R' L2 U R' U2 B2 F' D2 R' F D U2 F' U2 L2 D U L B2 D' B',x2,B' F R2 D' L B,B U' B U L U' L' B2,L B2 D' B D B L',F2 L' F2 U2 F2 L F2,U2 L2 F U F' U' L2 U',,U' L2 U B F' L2 B' F U L2 U,F2 D' F' D F' R2 B U' B' R2,57
R U R B2 L R' B D2 U R L F L F2 U R' D2 F R2 F' D2 L' R' F' B,x2,B2 L' R2 F L' D' U,R' U' R U' R' U' R U2,L' B' R B R' U L,B' R U R' B,R B' R2 U2 R2 B R',U B L' B2 L B2 R' U2 R U2 B',U F2 U B2 L2 U' R2 F2 L2 D' R2 U' F2 U',R B' R F2 R' B R F2 R2,68
B' L' D2 U2 R' D F' L D' L' R F D2 U F U2 F2 R L2 B U2 R,x2,L2 B2 D R2 B D2 L,B2 R2 D2 L D2 R2 B2,F U F' U',R D U2 B2 D' U2 R',U' L U' L F' L' F L',B' F R F' U2 F R B' R B2 F' U,U2 F2 U' L R' F2 L' R U' F2 U2,L B U B' L B U' L U L U' L' B' L2,70
L B' R B2 L' F' D2 R' B F L U' B D2 R L2 F' R2 L D' R' D U2,x2,F U' F L B D2 R2,R2 F D' F D F2 R2,L2 U' B' U B L2,R' U' R2 U R',B' R' U' R2 B' R' B2,R' D2 L2 F' L2 D2 R2 B' R',L2 F2 D2 R2 B F D2 L2 B F,L B U B' L B U' L U L U' L' B' L2,65
U R F2 U D R B2 L D' B2 R2 B R' U F U' R L2 B2 L' B' F' R2 U' B2,x2,B R' D L D' L2,B U B',L2 U' B' U B L2,L' D2 B' U B D2 L,U2 L' U' L2 U L' U2,U B' U B L' R D' B' D L R' U',U L2 U B F' L2 B' F U L2 U',R2 F2 R' B' R F2 R' B R',61
F2 L' B' L' R' U2 L' D2 U' R2 U2 R2 L B' L' R2 D U2 B' D U L' F',x2,L' D' U2 L' B U' R2,U' R' B2 R2 B2 U R,D F2 R' F2 R D',R U' B2 R B2 R2 U,B' R B' R' B2 U',U' B' F U' R' U R B U F',,L B U B' L B U' L U L U' L' B' L2,57
L2 R2 B2 D' L U2 B' U D F2 D' L2 D U R2 L' D2 U2 F' D2 B,x2,B' R' F' D B' D B2,B' U2 B R' U' R U',L2 R2 B' R2 B L2,R D B2 U2 B2 D' R',B' R2 D' R U2 R' D R2 B,B' U' B U R B L' B' L R',,L B U B' L B U' L U L U' L' B' L2,60
