scramble,orientation,Step_DBL_DBR_DFR,Step_GEN,Step_FR_UFR,Step_BR_UBR,Step_BL_UBL,Step_FL_UFL,Step_UF,Step_FD_RD,total_moves
F' L2 U R' B2 U F2 L' R2 U' L2 U2 L' U2 R U L2 R2 U B2 R F',x2,U L U2 B' L,F2 L' B F2 R D B',D',U2 B2 D R2 D' B2 U2,L' B2 F2 R B2 F2,B2 R' F2 D2 B2 L' F2 U2,R D2 L R' B2 L',L2 B2 D' F2 R2 F2 D' B2,48
F R D U2 R L' D F2 D' R2 F U' B' L B U2 D2 L' R2 F L2 D U' F' R,x2,B D2 R2 F,D2 L B' R2 B F' D B U2,U2 F2 L' D2 F2 U2 R' B2,U2 L2 R2 B2 F2,R' U R' U F2 U2 R2 D R D' R',L B2 F2 R' B2 F2,R' U2 L' R B2 L,U' B2 F2 D' B2 F2 U2,56
B2 L R' F2 B' D' U L' R2 F R L' F2 L' B' L' F2 B' U' R' U2,x2,L B F2,R' B D' B F L F' R,L2 R' U' L2 R2 D R',U2 L2 R2 B2 F2,L' B2 R2 U2 L' B2 R2 D2 R' D2 L2 F2,B2 F2 R B2 F2 L',R' U2 L' R B2 L,F2 U B2 F2 D' B2,53
B U2 D2 L2 U L2 U' R2 D L' D' F R F' R L2 D2 R B U2 F2 B L2,x2,L B2 U' L2,L B L2 D2 L B,R' U L2 R2 D' L2 R',B2 R B2 F2 L' F2,B2 D U' L2 U,,B2 F2 U B2 F2 D',U' L2 B2 D' F2 R2 F2 D' B2 U,44
L' U B F2 U2 B2 D2 U2 L' F' L D' F B L2 B R F' B D' R2 U2,x2,R U' F,L' R' B' R' U R2,U2 L' B2 L2 U2 R' F2 R2 D2 R' B2 L2,D,L' R2 U' L2 R2 D L',D L2 D' R2 U R2 D',F2 D' B2 F2 U B2,B2 D' F2 L2 B2 U' F2 R2,50
U R F2 R2 U F' L D B' R' F B2 U2 B D' U' R2 U B' F',x2,L2 B' R U F2,U2 L' F R D L B' U2,L F R F' U2 B L' B L B2 U2 L',D2,U L2 U L2 U' B2,B2 D2 F2 U2 F2 D2,,U' B' F R2 B F' U',45
R2 L' B' R U2 F2 L' B2 L' U D2 B2 D L2 R' D2 U L2 U F L2,x2,R2 D F2,U R D2 B R B' R' U',R D' L2 R2 U L2 R,L2 D U' F2 U,B2 L B2 F2 R' F2,D L' D R F2 R' D' L D',R D2 L R' B2 L',U' F2 L2 B2 D' B2 L2 F2,52
D2 U' L' F2 D2 U R F' D2 L2 B' R2 U' R D' L' F2 D2 R' B',x2,F' U' F U',R' F2 D F D U R2 F L2,F2 R B2 F2 L' B2,L2 U L2 U' B2 U' F2 U2 B2 D,F2 U2 B2 R' B2 U2 F2 L',U2 F2 L2 R2 F2,R' U2 L' R B2 L,U' B2 F2 D' B2 F2 U2,55
F2 B2 L' B2 R' B U' L F2 L' R' U2 D' L' D F B' L2 B2 D2 B2 D',x2,D2 R' F2 U',R2 D U B R' B D F' U2 L2,R' U L2 R2 D' L2 R',B2 F2 L' B2 F2 R,U' R2 D' U F2,R D' R' D R' B2 D' R D R B2,R D2 L R' B2 L',U2 B2 F2 L2 D B2 F2 U' R2 U2,59
R2 F' R' L' D R B' R D' L' D B F R' F R' B2 L U' F2,x2,L' F2 U2 L2 U',F L F' D L' D' L,L2 R' U L2 R2 D' R',R' D2 U2 L D U2,U' R' U F2 R U' R' U' F2 U' R U2,L R2 U' L2 R2 D L,,U L2 B2 D' F2 R2 F2 D' B2 U',54
