scramble,orientation,Step_FD,Step_RD,Step_DBL_DBR_DFR,Step_BD_LD,Step_FL_UFL,Step_FR_UFR,Step_BR_UBR,Step_BL_UBL,Step_UB_UF_UL_UR,total_moves
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,U' L' B',R2 F' D' B R2 U B' R2,R2 U F2 U2 B2 U R2,D U' L' F2 L R' U2 L U',D2,U R2 U F2 U' R2 U',R' D R F2 L2 U L U' L F2,L' D' B' F L2 B F' D' L,L2 D B' F L2 B F' D L2,63
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,D L B',D' R2 B2 U' B2 D F' R2,L2 F2 D' L2,B' F L2 B F',U R2 D B2 D' B2 U R2 U2 B2,R B2 U2 F2 L F2 U2 B2,D',L' B F' D2 B' F L',,46
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,R U',F2 L' F2 D B' U B R2,F2 D R2 D B2 U B2,U' L F2 L R' U2 L R2 U',F2 D' U L2 U',R F R' B2 R F' R' B2,L' D2 B2 U2 R' F2 U2 B2,U R2 U F2 U' R2 U',F2 D L' R F2 L R' D F2,63
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,R B,L' B' U2 L2 B D' F',D' R2 B2 U2 R2 B2,L2 D R2 U L2 U' R2,U2 F2 L' F2 U2 B2 R' B2,L F R F' U2 B L' B L B2 U2 L',L2 U' F2 U L2,L2 D' L2 D L2 D,B2 D L R' B2 L' R D B2,62
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,D B2,R2 B' R F' R' U' B,D2 R2 F2 U' B2 U R2,D B2 L2 B2 D R2 F2 R2,D',,R B' F D2 B F' R,B2 R2 B' R2 F D2 B2 L2 B L2 F',B2 D L R' B2 L' R D B2,52
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,D2 B2,U2 B' U F R2 U R,B2 U' B2 L2 D' R2,U L D2 U2 L' F2 L R' U,,B2 U2 F2 L' F2 U2 B2 R',F' L D F' L2 F D' L' F,R2 D2 U2 L2 U2,B2 D' L R' B2 L' R D' B2,55
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,B,L R2 B R' D2 B' F' D R',B2 F2 L2 B2 D' F2,U' R D2 U2 L' U',D L B F' D2 B' F L D',R B2 U2 F2 L F2 U2 B2,D',R' F2 D2 R D B' D F2 D' B D R,,52
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,D2 B2,B' F2 D' L D2 U F' U2 B,D2 B2 R2 B2 F2 R2,L U L' D2 U2 R D2 U L',D,U' F2 U' R2 U F2 U,R U R' U' R2 B2 L' D' L B2 R2,U B L' B' U R B' D' B' D B2 R' U2,F2 D L' R F2 L R' D F2,67
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,,F' R' U2 F R2 B2 U2 B',R2 B2 R2 B2 D' F2,R B2 U B2 F2 D' F2 R',U2 L2 F2 R' D R F2 L2 U L U' L' U2,U F2 D U' R2,R D B F' R2 B' F D R',B2 D B2 U' L2 U,,55
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,L2 U,R2 F L2 B D U2 R U B',D' R2 B2 U2 R2 B2,R2 B2 U B2 R2 F2 D F2,L' D' R F2 D R' D R D' F2 D' L R',R' D B F' R2 B' F D R,F' L D F' L' F D' L' F,D' B2 D U' L2 U,R2 B2 U2 L2 B' F' U2 R2 B' F',72
