scramble,orientation,Step_BD_LD,Step_UB_UF_UL_UR,Step_BR_UBR,Step_BL_UBL,Step_FL_UFL,Step_FR_UFR,Step_DBL_DBR_DFR,Step_FD_RD,total_moves
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,L' F,R' F' D2 R' B' F,B2 R2 B2 R2,U' L' B L' B' L2 U,R B' R2 U R U' B,R' F' R B' R' F R2 B R',L F R' F' L' F R F',,43
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,D B' L U',D2 B L R D L' D,U' L F2 L' F2 U,L B2 D' B D B L',B2 F R B2 R' F',B' R2 F R' B R F' R2,F' U2 B' U' B2 D L2 D' L2 F' L2 B' F2,,51
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,B2 U L,R' B' D B2 R B D',F' R' U' R U F,D' B' U' B D U,U' B' U B U' B' U B,B R B R' B',L2 F' U F2 U' L2 U L2 F' L2 F' U' F,,48
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,U B L U',R2 D2 R B2 D,U B' R U R' U' B U',D2 B' R B R' D2,B2 D' B U' B' D B2 U,U2 F R2 F' R2 U2,U2 B2 D L2 U' F' L2 U' L2 U F L2 D' B2,,51
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,D F L',B' F D F' D',R' F2 R F2,F2 R B2 R' B2 F2,U' B' U2 R B R' B' U' B,B2 R F2 R' B R B F2 R',B' R2 F2 D' L D' L' D F' D F' R2 B,R B' R' B' R2 F D B D' B' F' R2 B2,62
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,F' U2 L' B' U',B' L R D' L' R2 D,U2 R F U F' U' R' U2,U' B D L2 D' B2 U B,R D B' D' R',B2 F' L' D2 L B2 F R,B2 R' B R' U2 R' U2 R F' U2 F R' B,R B' R' B' R2 F D B D' B' F' R2 B2,67
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,D' L2,L' F D' U' L F' R2,U2 B D2 F D2 B' U2,U' L' B L' B' L2 U,F U' B' U F' R B' R' B2,B R' F2 R B' F2,B2 L' U L2 U' B2 U B2 L' B2 L' U' L,,51
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,D' F2,B D2 B' R',R2 B' R B D B' D' R,B2 L2 B2 L2,R' B2 D' R' D B2 R,R B' R' B,R2 F2 R2 U B U' F' U' F2 U2 B' U' F,R B' R' B' R2 F D B D' B' F' R2 B2,55
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,D B2 L2 F,R U F2 R' U' B D2,R2 D' L D R2 D' L' D,L F2 L U' B' U B L' F2 L',F U B' U' B U' F',F R2 D R' D' R' F',F R B' R' F' R2 D2 F D F' D R2 B,,56
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,B' D L2 U',B L D B D2 L',U2 L2 F2 L2 F2 U2,L' D' L' B' L D L,B U' B2 L' B' L B U,R' U' R B' R B R' U,F U' B U2 F2 L2 U' L2 U B F L2 B2,,52
