scramble,orientation,Step_DBR,Step_UF,Step_FL_UFL,Step_BR_UBR,Step_BL_UBL,Step_FR_UFR,Step_GEN,total_moves
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,L2 F,B',F' D F D',B' R' D B U,B L' F U F' L2 B',F R' F' U2 B U B',F' U' F U F R' F' R,34
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,L' F2,L D',F2 D B D' F2,B' U R' B R2 U',L' B' D2 B,R' U' R2 U2 R' U2 R',D' B2 D' B' F L B2 L B F',36
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,B R',,L' B' D B L,R2 D U F R' F' D' R2,U' L F' U,F2 R' U2 R F2,U2 F U B' U' R U B U' F',34
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,L' F,B',L D2 B' D2,U' L F' L' F' U' F U2,U2 F2 U2,B' R' B R,B F U2 F' L' U2 R' F' R U2 B',33
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,F' U',D2 L B,D' B2 L D,U2 F2 U2,U B' R' F R B U2,F2 R' F2,U' B2 F2 R' B' D' B D R B2 F2,33
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,,D' L B,D2 B' D2,U' B' D R D' B U,F U B' U' B U' F' L2,B' D B,B L F L' B' L F' L',32
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,U' F,R F R' D,B U2 B2 U' B2 U' B' U',U2 F R F' R' U2,B' D B' L' B2,L2 R2 F' L2 R2,D' L2 D B F' R' D2 R B' F,40
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,U2 F,D',L' B' U' L' U L B,F' L2 U' L2 F,B L2 B',D' B U B' D U',R B F' U' L' U F U B' U' R',35
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,F',L D',D B' D' L',U' F2 U' F U2,F2 U B' R B U2 F2,F R F' R2 U',U B' F' R B2 D L D' L' F D' B',36
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,R,D L B,F L' B' F U2 B2 F2 D' B',R' D B D' U,D F' R2 D' F,R2 B2 R2 B2 R2,L F2 L F L2 B' U2 R' B,37
