scramble,orientation,Step_UB_UF_UL_UR,Step_FL_UFL,Step_FR_UFR,Step_BR_UBR,Step_BL_UBL,Step_RD,Step_FD,Step_DBL_DBR_DFR,total_moves
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,R' F' U2 B L F',L U' L',B U B',U2 L F2 L' F2,F U2 F' U' F U F',B' R' U' R U B,R' U2 R2 U R2 U R2 U2 R',R2 F2 R' B' R F2 R' B R',48
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,R B2 R2 F L' D,B' L' B2 U L B,R2 U' F' U F R2,U2 R2 B' R' B U2 R',L D F D' L',U,F R2 F2 U B U' B' F2 R2 F',U2 R2 F2 R' B' R F2 R' B R' U2,52
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,B L U' F2 R' B',B' R' U2 R B,B R B' R' B',R2 B2 R2 B2,U' L U L2 U2 L,L' U' B' U B L,U2 F R2 F2 U B U' B' F2 R2 F' U,R B' R F2 R' B R F2 R2,53
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,L F' L2 R' D L,L U L',B L U2 L' B',L U' F2 L' F2,F2 R2 B' R' B R' F2,B' R' U' R U B,L' U' B L' B' L B' U B L,R B' R F2 R' B R F2 R2,51
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,L D2 L B L' F' D,U' B' U2 R' U2 R B,F R2 F' R2,U' F' U' F,L U L2 U2 L,U,B' U' B2 L U L' U' B2 U2 B U',U R2 U' B' F R2 B F' U' R2,49
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,D B L D2 L',L U2 L' U B' U' B,B U2 B',U2 F2 U' F' U F2,R' F U2 F' R,F R U R' U' F',F' L' B L2 D L D2 B D B2 L2 F,U R2 U' B' F R2 B F' U' R2,54
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,D2 F D' B' F,U' B2 L' B2 L,B L U2 L' B',R F R' F' R',F U R' F R F2,B' R' U' R U B,L' B2 R B R' B L U2,B2 F' D' F L2 B' U B F2 D B2 R2 F2,53
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,L2 U B D2 L' B,U L U B U2 B' L',R' U2 F' U' F U' R,B2 L' R2 B2 L R2,U2 R' F2 R F2,U' B' R' U' R U B,B U L2 D L' U' L D' L2 B',R2 U R2 B' R F D R' D' B R F' R',61
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,U2 L B' R2 U' L2,R B2 R' B2,U' B L' B L B' U B',L U' F2 L' F2,L' U F' L F L,B' R' U' R U B,B' R U R2 U R2 U2 R' U B U',U' B' U L' U' B2 D2 F' R' F D2 B' U L,60
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,F' D L B F' L',B U' B2 L' B' L B,U R2 U2 R U R' U R2,U2 L2 F2 L' F2 L',D' L2 D F' U' F2,U',U' F U R' U2 R2 U R2 U R F',U' B' U L' U' B2 D2 F' R' F D2 B' U L,59
