scramble,orientation,Step_UB_UL,Step_FR_UFR,Step_BR_UBR,Step_BL_UBL,Step_FL_UFL,Step_GEN,Step_FD_RD,Step_DBL_DBR_DFR_LD,total_moves
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,R B2 L' D,B D' U2 R D,U' B2 R' B R2 B,L' U L2 F' L' F,R B R',L' B' D L U2 L' D' B L,U' B' F R2 B F' U',F2 D B' F L2 B F' D F2,49
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,F' L R2 F,U2 L2 D2 B' D B D2 L2,L' B L U2 R2,U L' U B2 U2 L,B U' B,B' F R U' B U R B R' F',U' B' F R2 B F' U',R' U L D2 L R D L2 R' U' R F2,55
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,L D' B D,R2 U2 B2,B' U' R2 B,B2 L2 B' L2 B' L2 B' L2,L' U' L B' U B,F D' B' R F' R2 B U' F D F',,U' R2 B2 U R2 B2 R2 U B2,45
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,D' L' D,D' F' D,F U2 R' F' R2 U R',L' B L' B' L2,R2 U' B,B L U L' U' B',R2 B F' U2 B' F,R2 U' F2 D L2 U' B2 F2 L2 U F2 L2,45
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,B' R F D',D B2 L D',F U F2 U2 F,L F' L' F,U' B' U' B,U B' U' L' D' B D B L,U' B' F R2 B F',L F' L B2 L' F L B2 L2,45
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,L2 D F',F U' R2 F',F U' F2 U' F,F U' R U2 R' U F',D L2 B' D',L' U' L B' F R B U F',U' B' F R2 B F',U L F' L B2 L' F L B2 L2 U',49
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,D' B' F' L',L' U' B2 L,R' F U F' R',B2 L2 B' L2 B' L2 B' L2,B2 U' R2 B',B D' U2 R' U R D U B',R2 B2 R2 U R2 B2 R2,U R2 B2 R2 U B2 R2 B2 U2,50
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,L2 B L' F',B' L2 B L2,R' B2 U R2,F2 U2 L F2 L' U2 F2,U2 F' L2 F L2,L' U2 B U2 B' U2 B' U2 L,U2,F U' F R2 B' D B F2 U B2 L2 B2,46
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,U' L F',L' B U' B U B2 L,U R2 U R',L F' L' F,B' U2 B' L U' L',R U R B' R' B U' R',U,U' R2 B2 U R2 D' R2 D R2 B2 U R2 B2,46
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,F D' F,B U B',L2 F' L' U' F L',F L U' L' F',B L2 F2 D F2 L2 B',B' U' F2 D B D' F' R' F' U B,B2 R2 B2 U B2 R2 B2,B L2 F' D' L2 B' U B2 U' B2 L2 D' F L2,56
