scramble,orientation,Step_UF_UR,Step_FD_RD,Step_DBL_DBR,Step_BR_UBR,Step_FL_UFL,Step_FR_UFR,Step_BL_UBL,Step_GEN,total_moves
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,R' D2 B D',B L U B',U' R2 F2 R2 F2 U,F L2 F',R2 F2 D F' D' F2 R2,R2 F' L F L' F R2,B F' D F2 U' F' D' F2 U B' F2,L' F' D' U L2 D U' F' L,51
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,L2 D2 B',B R B2 R' B',L B2 R2 B2 F R2,U' L2 B' U' F' U B L2 U,L B D2 L2 D' L' D' L' D2 B',B2 F L' B2 F',U2 L' F L F' U2,L' F D' U L2 D U' F L,53
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,L F' R' D,F D2 R B D2,L B2 L2 D F2 D' B2,U' B F R' D' R B' U,D F D' B D F' D' B',L' R2 F2 U' F U R2,F2 L D U' F2 D' U L F2,L F' D' U L2 D U' F' L',57
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,L2 D2 L B,B F' U L' B',L' F D F2 D',U F2 L' B U B' U' L F2 U',B2 R' B U' B2 U B' R,B2 L D L F U L' U' F' D' B2,L' F L U L U' F',L' F D' U L2 D U' F L,59
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,L D2 F' D,L U2 F U',D F' D' L2,D2 U2 B R2 D2 U2 F',B L D L' D' B' L',B' L B2 R' U2 R B' L',L D L B R2 F2 R' D' F' R' D B',L' F D' U L2 D U' F L,55
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,D L D2,D2 R' D2,F2 L' D F D',U B2 R2 B R2 B U' L,L2 D' R2 F' L F R2 D,R2 F U L' U' R2,U' B F' D F R F R' D' B' U,U' L F' D' U L2 D U' F' L' U,55
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,D B',L R' U' F R,L2 D F2 D' F2,D B L2 U2 L2 B' D2 R2 D,F R' U2 L2 U2 R F',D2 L2 D R2 D' L2 D R2 D,L' B U' F2 U B' L,B F' D F U' F2 D' L' F' L F2 U B',57
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,F' D L B,F' L2 U2,F' L' F2,F2 L F L' B F U' R U' R' U2 B',B' L F' L' R U R' B,L2 R2 F' L2 R2,D' B' U' L2 U B D,,42
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,L' U L' D2 B,F' L2 U' L U2,R' D U2 R2 D' U2 R',U2 R U R' U2 L U' L',B2 L B2 L R2 F' L F' L R2,F2 R2 U' F' U F R2 F2,L' U' F U,B F U' F' D F2 U L F L' F2 D' B',60
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,R' B,B F L2 U B',B2 L2 B2 D F D',B U2 F D F' D' U2 B',R B D B' R',R2 F' D L F L' D' R2,L2 B' U B F L' F U F2 U' L2,R' F L2 B R' D' R B' L2 F2 U' F U R,59
