scramble,orientation,Step_UB_UR,Step_BR,Step_FL_UFL,Step_BL_UBL,Step_FR_UFR,Step_FD_RD,Step_BD_DBL_DBR_DFR_LD,total_moves
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,D F2,D' R' D,D' U B' D,U L' B' U2 L,U L' B' U' B2 U L,L R U' L' U B R' F' L' F U',U' L2 D' L2 B2 U' B2 U2 L2 U' L2 D,44
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,R2 B D',F' U F,R2 B' L' B L R2,U L' U L2,U2 R' U' R,R B' F D R2 F' U' B2 U B R U2,R2 F2 L2 D L2 F2 D' R2 D F2 D' F2,44
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,L B F' L' D,F' U F,B' U B L',U F2 L2 R' D2 L2 R F2,B' L B,L' U R2 D2 B' L2 D2 B R2 F' U' L,R2 F2 U L2 R2 F2 R2 D' F2 D2 B2 U',47
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,L2 B D2,D F' D',U' L2 U L',U F U' F',U' L' B,R U2 B U' B' U' L' B L R' U,B L B' R2 B L' B' R2,36
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,U2 R2,D2 F' D2,U2 L' U B2,D2 F U' R F' D2,U2 L' B2 L R' U R,L' R B2 U' L U B L B' R' U2,R2 U' L2 F2 U' L2 U2 R2 D B2 L2 D L2,46
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,R2 F R,R2 B' R2,B U' L',L' U2 L' B L2,L' B L B U B',U' F' R B' L2 D L2 D' L2 B R' F U2,B2 R2 U L2 D' L2 D F2 R2 B2 L2 D,45
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,U' F' L D,F2 L2 F2,D U L D',L B L U' L2,U' F2 L' B2 L F2,U' R B2 R' B2 R B R' B,B2 R2 U' B2 U' B2 U2 R2 F2 D B2 F2,43
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,L2 B D L' D,R B2 U R',B F L B' L' F',L' U2 L2,U B2,U2 L D' B L F2 D' F2 L' B' D L',L2 U' R2 U B F R2 B F' U B2 L2 R2,45
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,B L D2,F' U F,B U' B2,L' U' L U' F U F',L' U2 B' L,U' R U L' B' R B2 R' B' L U' R',U2 R2 D' L2 F2 L2 R2 B2 D F2 D' F2 U2,45
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,L' D2 B D',F2 L F2,B U2 B2,U' L' U B2 U2 L,B2 U' F2 U B2 U' F2,L2 U' L' R B R' F U F' U' L',U R2 U F2 L2 F2 R2 U2 F2 D' B2 D' F2 U,48
