scramble,orientation,Step_DBR_DFR_FD_RD,Step_BR_UBR,Step_BL_UBL,Step_FR_UFR,Step_FL_UFL,Step_GEN,Step_UB_UF_UL_UR,total_moves
L U D B2 D' F R2 U F D2 F L2 F2 U' F2 L' F U' R L' D R' F R',x2,L' F' D B' U2 B',U' F U L D2,D L' D' B D' B' D,L' B' D B2 D2 B2 D' B L,U B' U B' L' R D2 L B' R' U2,,B2 D R2 F2 L2 U F2 R2,46
U B2 R U D' L B' D' F L R B2 D2 U' L' R2 U2 D' B' U2 F,x2,L' F U' R2 B' R' F,U2 R F D' F' U2,L' B D B' L',U2 B' D U' L U' L' D',D L B2 R' U R B2 R F L' R' D2,,D2 L2 F2 D' F2 L2 F2 D' F2 D2,48
D' L' R D L2 B2 L2 U L B D2 L2 D R' L' B' L B L F R2 B2 R',x2,U B2 F2 L' B' F2 R,U2 R F D' F' U2,U' F2 D U,B2 D B' U B D' U' B2,F D2 R' B' D2 B2 R2 F' R U2 B' R2,,D F2 L2 D' F2 L2 F2 D' L2 D',47
L B' R B2 L' F' D2 R' B F L U' B D2 R L2 F' R2 L D' R' D U2,x2,B2 D2 B L F,U' B R' B' U,L' B' L2 B,L' R B D B' L R',L D' F L D F' D' F' L D L',,F2 L2 D L2 F2 L2 D L2,40
F2 L' B' L' R' U2 L' D2 U' R2 U2 R2 L B' L' R2 D U2 B' D U L' F',x2,R2 D2 B' D' R B',L F' U' F2 U2 L' U',L' B D B' D,U2 R' U' B' U',L' F' D F L R D2 B D B' D R',,R2 D B2 L2 B F D2 B F R2 D' R2,47
L2 R2 B2 D' L U2 B' U D F2 D' L2 D U R2 L' D2 U2 F' D2 B,x2,B' D2 U' L' R2 U,F2 R' D L2 D' R F2,D L' B' L2 B,L' R2 F L R' D' R',U' R' F2 R' F D2 F' R2 U2 B L' U',,U B F' D2 B' F' R2 D L2 B2 R2,48
U R F2 U D R B2 L D' B2 R2 B R' U F U' R L2 B2 L' B' F' R2 U' B2,x2,B2 D L' B' R' F2,L' D L U2 R' U2,L2 D2 L D2,B2 D B2 D' B' D B' D',U R2 U R U2 R' U R U B' R U',,F2 L2 D L2 B F D2 B' F D L2,47
R U R B2 L R' B D2 U R L F L F2 U R' D2 F R2 F' D2 L' R' F' B,x2,R2 D' B2 U' B' D2 R',U L' U' F,L2 F L B F' D' B' L2,U2 R' D' U2,D2 F L' B D R' D2 R D' F' D' B' D2,,U2 F2 L2 B2 D' B2 L2 F2 U,45
B' L' D2 U2 R' D F' L D' L' R F D2 U F U2 F2 R L2 B U2 R,x2,F D2 U L2 U R,F L2 F' U' F U,B R D' R' B' L',D' L' B2 D B D' B2 L D,D L2 D2 F' L' D2 R U' F U' L2 U2 R' F,,B2 R2 U' R2 B' F' D2 B' F D' L2,52
B R' L2 U R' U2 B2 F' D2 R' F D U2 F' U2 L2 D U L B2 D' B',x2,U2 R' D2 B U2 R B',B R' F R' F' R B',R' F2 R F2 R,U R' B' U' B U R B2 U',L F2 L F' L B' L B L2 F2 L D L,,B2 D' L2 B2 L2 R2 F2 R2 D B2,51
