scramble,orientation,Step_FD_RD,Step_BL_UBL,Step_FL_UFL,Step_FR_UFR,Step_BR_UBR,Step_GEN,Step_DBL_DBR_DFR_LD,Step_UB_UF_UL_UR,total_moves
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,U' L' R2 B',F2 D F,B U2 R2 U2 B',L2 F D' L2 U2 B U2,L U F' L F L' F U' L',,B U' B' F2 D B2 R2 B' F2 U B' L2,R2 D' B F' R2 B' F D' R2,49
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,R F2 U',B2 L2 F' L B2,D L D2,L2 R D' L2 R',F2 R' U L B L U' L' R F L' F,,B F' D U' F D' U B' F,F2 R2 D' L R' D2 L' R' F2 D' R2,48
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,F2 D L2 U2,F2 D F,B F2 D' B' D' F2,U L' B' L' D2 L2 U',F' L2 F' L' B' F2 R U R U R2 B,,U B' R B' L2 B R' B U' B2 L2 B2,D' L' R F2 L R' D',51
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,R' F' R' U',F U2 R2 U2 F2,D',B' D' R' D R B,U' R2 D' R2 U L F' L2 F L,,B2 L2 F2 D F D' B D2 F' D B F2,D L2 F2 L2 D' L2 F2 L2 D2,47
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,R',F',L F L F L2,R' B2 U' R B2,F' U2 B2 D2 B' L' F L B' F' U2 F',,L2 D F2 D' B2 D B2 U' F2 L2 U,L2 D' F2 L' R' D2 L' R D' L2 F2,46
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,F L2 R B',U2 R' U2 B2 L' B2,F2 L2 F D',B' D2 F D' B,B F R D2 R D F' R2 D' R2 D B',,U L R D2 L D R' B2 L U' L,B2 D L2 R2 U' L' R U2 L' R,52
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,B R,L2 D2,L U' F' U L',F' L2 F U2 B R U2,D' L B' D R2 B2 R2 D' B L' D,,R B' R F2 R' B U' R F2 R' U R',B2 D L R' B2 L' R D B2,48
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,D L R2 B',U2 F L' U' L F' U2,F L2 D,F U2 R U2,L' R F' R' F L2 D B D B' D2 F' L',,L' B L' F2 L B' L F2 L2 F2,B2 L2 U' L2 B F D2 B F' D' R2,52
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,B' L2 U,D L' D,U' R U' B U2,B2 F' L' B2 F,F' U L2 F U B' R B R U B R' U,,B U' F D2 F' U B' F2 L2 F2,L2 D B' F L2 B F' D L2,48
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,F2 R B,F' L R F' R' D L',L2 D F' D2,L U2 B U2 L',L' D2 U2 R' F' D R2 U2 F2 L2 U2 F' R' U2,,U B2 F' D' F L2 B' U B' L2 B2 L2 U2,D2 B2 R2 U' F2 R2 B2 D' L2 D2,56
