scramble,orientation,Step_FD_RD_UF,Step_DBL_DBR_DFR,Step_UBL,Step_BR_UBR,Step_FR_UFR,Step_FL_UFL,Step_GEN,total_moves
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,B R' D U' R2,L2 B' F2 D B,L' B D' B' L2,D B F2 D2 B' L2 F D,B2 U2 F2 L' F2 U2 B2 R',D L2 D R U' F U F R' D2 L,L2 F' L' B F' D B' F2 L2,51
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,U' L' B' R2,R' F2 U F2 L' U' R,,D' U2 F D R F R' F' U2,U2 R' U2 R' F U' F R F2 R' U R2,R F2 L F2 R',U2 B' F' R B' F D' B2 U2,46
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,F' D' R2 B,D' B D2 R2 B' F2 R2 D',U B' D B U',F' U' F' D' F2 U F D F',U F2 R' B' R B F2 U2 F R' F' U,B D2 B',U B L' B F' D B2 F U',50
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,U2 L' U2 B',B' D' B' L' F2 L2 B2,U B' D2 B U',L2 D U' F2 D' U,U B R' F2 D' L D L F2 R B' U2,U' L2 B' U2 R2 D F' R2 U' B,L2 F L' B F' D B' L2,52
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,R' D',B' F D' F2 D B,B D' B',L' U' F' L' F' L U L2,F D U' R' D' U,F' D F2 L F' D L D' L2 D' L',F' U2 B2 L' D2 B2 U2 R' F',45
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,D' L B R,D R' B U' B' D' R,U2 R U2 R F2 R',U R' F R2 B' R F D2 F2 R B U',U R2 F' U F R2 U R2 U2,D' F L' F' D,F' U' R2 B2 L2 D' B2 R2 F',52
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,R F2 L2 B U',U' L2 F L2 U F',U2 R' U2 L,L2 F' D U2 B D' U2 L2,L' F' U' B' R D B F U R',L' D' L D L' B2 U2 B' D' B U2 B2,F' U' R2 B2 L2 D' B2 R2 F',54
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,B' L D' L U,D F2 D' B' D2 B L' F2,L' B D' B' L2,U2 L' D' L F L' D L F' U2,L2 D' F D2 B' D B' L' B2 D2 F' L2,B U B R' B' U' B',B' D' B' L B D B R F' R',57
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,F D L2 U2 R B',U' R U B' D2 B F',L' U' F U,B D B' L2 U' F2 U L2,R B2 R B2 R',L2 F' U' F' U L2 B L' F L B',F U F2 R2 B2 D B2 R2 F,50
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,D U' B' R B' R2,B R F2 U R2 D2 R B',L' B D' B' L2,U' R D' F2 D2 R2 D' F' U F2,R2 U' R F2 R' F' U F' R U2 R U2,U L' D U' F D',F' U2 B2 L' D2 B2 U2 R' F',56
