scramble,orientation,Step_UB_UF_UL_UR,Step_BD_DBL_DBR_DFR_LD,Step_FD_RD,Step_BR_UBR,Step_BL_UBL,Step_FL_UFL,Step_FR_UFR,Step_GEN,total_moves
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,U2 L B' R2 U' L2,F R' U' B' F' U2 R B R U2,B F2 D2 U F' D2 U' B' F2,B L' F L B' L' F' L,D L2 D B2 D' L2 D B2 D2,B D L B' L' D' R D' R' D2 B' D',,,54
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,D B L D2 L',L' F R2 F' L B2 R2 B2,R2 D2 U' L' D' U B D' R2,D B2 D' F' D B2 D' F,,D' F' D B D' F D B',F2 R2 F' R' D R2 D' R F',,47
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,F' D L B F' L',F U F2 L2 F L2 U,B' R U F2 R' F2 U' R' B,L' F2 L' F2 L' F' U L U' L' F L',D2 U' F2 U R D' L2 D R' D2,,U' F2 D L2 D' F2 U B2,,52
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,R B2 R2 F L' D,F2 L2 B L2 F2 U' B' R' U2 R,B2 U' B D' U R' D B2,L F' L U L' U' F L F2 L F2 L,U R2 F D' B2 D F' R2 U' L2,B' L2 B D2 F' D B D2 F D2 B' D L2,F' D B D' F D B' D',,67
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,B L U' F2 R' B',R2 B2 D L' B D' R2 B U2,B U F U2 B' U' F' U2,R2 B2 R' B' D B2 D' B R',B2 D' B D2 R2 U F U' R2 D B' D2 B2,F U L' B2 L U' F' D L2 D',B2 R U' F2 U R' B2 R U' F2 U R',,67
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,L2 U B D2 L' B,B' U F' U2 F2 U2 F' U2 B U',B' U2 L' D2 F2 U2 R' D2 B',R B' U F2 R' F' R F' U' B R',B' L' U' L2 U L' B L D L2 D' L,L2 B' U' B U2 F' L2 F L2 U' B L2 B',D B' U' F2 U B D' L2,,69
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,R' F' U2 B L F',U R U' R D U B' U2 B2 D',L2 B U' R2 B R2 U B' L2,,B2 D' B D2 R2 U F U' R2 D B' D2 B2,U' L2 U L B U B' U2 L U L2,B2 R U' F2 U R' B2 R U' F2 U R',,61
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,D2 F D' B' F,R' B2 L' F2 R' B' D2 B' F2,R U F R2 F R2 F2 R' U',D2 B' U B2 R' B' D B' U' L B L' D,D' U F2 D U' R2,B' L2 B D2 F' D B D2 F D2 B' D L2,R B U' B2 U B' R' B2,,63
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,L D2 L B L' F' D,U' F R2 U' F' U2 R' U' R2,F2 R' U B2 R' B2 U' R F2,R U2 R' B D2 B' R U2 R' B D2 B',D' L D' B D' B' D2 L2 U' F' U L D,B' U' F2 U B D' L2 D,U' F2 U B2 D' L2 D B2,,66
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,L F' L2 R' D L,B2 L2 R B R B L2 R' U' R',L F' U' B F' L B' F2 L',B2 U' B D2 B' U B D2 B,B' D L2 D' L B' U B' U' B2 L B' L' B2,U2 F2 D' R2 D F2 U' B2 U',,,57
