scramble,orientation,Step_FD_RD,Step_UF,Step_DBL_DBR_DFR,Step_GEN,Step_BR_UBR,Step_FL_UFL,Step_FR_UFR,Step_BL_UBL,total_moves
B' L' D2 U2 R' D F' L D' L' R F D2 U F U2 F2 R L2 B U2 R,x2,F R2 U' R',F2 D2,B F R F2 U R' B' F,L B D2 L B2 D' B2 D2 L' B',D' B2 U R2 U' B2,D' F2 U B2 U' F2 D,L U' R2 B' D F2 D' B R2 U L,U F2 L U2 B2 D2 R B2 U,57
U B2 R U D' L B' D' F L R B2 D2 U' L' R2 U2 D' B' U2 F,x2,L' U' B' R',U2 B U2,B' D' R F2 R' D2 B,U' R B D' F D B' R' U,R D2 B2 U2 L U2 B2 D2,B2 R' F2 D2 B2 L' F2 U2,L' R F2 L R',B2 U2 F2 L' U2 B2 D2 R',52
D' L' R D L2 B2 L2 U L B D2 L2 D R' L' B' L B L F R2 B2 R',x2,L' U L' U2 B',F L D',L2 B' D2 F2 D B L',L' F' L D' F2 L' F2 D,,L' B2 U2 F2 R' F2 U2 B2,,F2 D F2 L2 U L2 B2 U',39
L U D B2 D' F R2 U F D2 F L2 F2 U' F2 L' F U' R L' D R' F R',x2,L2 D B2 R',F' D2,R' B' U B L2 R F,L F' U B' D2 B L U R' U2,D2 F' L B' U F2 L2 F2 U' B L' F,L2 F' U2 B' R U F' R U2 B U' L,L2 B2 U' F2 U B2 L2,L2 U' F2 U L2,59
L B' R B2 L' F' D2 R' B F L U' B D2 R L2 F' R2 L D' R' D U2,x2,B',F2 D2,L R2 B U2 B' F2 R2,U B U F2 L B' F2 L' U2 R,L D2 L' U' L D' R' D' L' R U,U2 F2 U L2 U' F2 U2,B2 U2 F2 L' F2 U2 B2 R',D2 L' F2 L F2 L2 D2 L F2 L,56
B R' L2 U R' U2 B2 F' D2 R' F D U2 F' U2 L2 D U L B2 D' B',x2,U2,F2 L D',R2 B F' U B L2 R2 B2,R U' F U2 F L2 F' U' R',D U2 R D2 U2 L' D,L' U B' U2 R' F U' R' B U2 F L2,R D' R' B2 L2 U' L' U L' B2,L2 R2 D' B2 U' B2 D R2,58
F2 L' B' L' R' U2 L' D2 U' R2 U2 R2 L B' L' R2 D U2 B' D U L' F',x2,F2 U2 R',B' L' B,L F' L B' F2 D B,L B' U' F U B2 D B' L,B' R' F R F2 U2 B L B' U2 B F,D2 L2 D2 L2 D L2 D L2 D',F' R F R2 B' F' R F R' B R2,L2 U2 R2 U F2 U L2,61
U R F2 U D R B2 L D' B2 R2 B R' U F U' R L2 B2 L' B' F' R2 U' B2,x2,B L' R' B',L2 D',L2 B' D B F' L',U' R' U' R B2 R' B D' B U2 F,F D2 L' D L2 D' L D2 F',D2 L D2 U2 R' U2,B2 R F2 R' D2 L2 D2 B2 R F2 R',U F2 L U2 B2 D2 R B2 U,58
R U R B2 L R' B D2 U R L F L F2 U R' D2 F R2 F' D2 L' R' F' B,x2,D R2 B R',L2 D',R F D R' F2 D',F D' U L' D' B' D2 U' L,U2 R' D2 U2 L D2,B2 R' U R B2 L2 D L D' L,L' B U' L' F' D2 F2 U2 B' R U F' U2,D U' L2 D' U B2,56
L2 R2 B2 D' L U2 B' U D F2 D' L2 D U R2 L' D2 U2 F' D2 B,x2,U' L' U,,B2 L B2 F L,L2 B2 R D' L2 F D F2 R' B2,L2 U2 B2 D' B2 U R2 U L2,D2 L' D' L' B2 L2 D' L' D L' B2 L2 D2,L' D' U B2 D U' L',F2 D U' R2 D' U,53
