scramble,orientation,Step_UB_UF_UL_UR,Step_BL_UBL,Step_FL_UFL,Step_BR_UBR,Step_FR_UFR,Step_GEN,Step_FD_RD,Step_BD_DBL_DBR_DFR_LD,total_moves
B2 L R' F2 B' D' U L' R2 F R L' F2 L' B' L' F2 B' U' R' U2,x2,B R' D2 B2 R',R' U' F2 R F2,B' R U2 R' B,R' B' R2 B R,U' R' U2 F' U' F U' R,F R' F2 L F2 R F2 L' F,L2 U' B F' L2 B' F U' L2,,46
F' L2 U R' B2 U F2 L' R2 U' L2 U2 L' U2 R U L2 R2 U B2 R F',x2,F' D' L2 B R D,F U2 F' L' U' L,B' L' B L U B,R B U B' U R',B L U2 L' B',B' R2 U' F U R U' F' R U B,,U' R2 B2 R F R' B2 R F' R U,51
L' U B F2 U2 B2 D2 U2 L' F' L D' F B L2 B R F' B D' R2 U2,x2,F' D F2 L B F D2,L2 U' L' U L2,F' L U L' F,F' U2 F U' R U R',D R' U R D',B U2 B2 U' B2 U' B2 U2 B,L2 U' B F' L2 B' F U' L2 U',U' B2 U L' R B2 L R' U B2,58
R2 F' R' L' D R B' R D' L' D B F R' F R' B2 L U' F2,x2,D L2 R' B' D2,L' U2 L U' F U F',U' R B2 R' B2,R' U2 R F' U' F,R' U2 R U R' U' R,F' L' F R' F' L2 F' L' F2 R,,U' R2 B2 R F R' B2 R F' R U,51
F R D U2 R L' D F2 D' R2 F U' B' L B U2 D2 L' R2 F L2 D U' F' R,x2,L' D2 B L2 D,U2 F U' F',U2 L F' U2 F L',F' U2 F' L2 B L B' L F2,U2 B U B',R U B U' B L' B' L B' R',U2 L2 U' B F' L2 B' F U' L2,U' L2 D' B U' B U B' D L2 F U' F',61
R2 L' B' R U2 F2 L' B2 L' U D2 B2 D L2 R' D2 U L2 U F L2,x2,R F' L2 D L' R2 D,L2 U' B' U B L2,B' U2 B' R2 F R F' R B2,U R U R',U2 R' U' R,L' B' L R' U' R U L' B L,U2 L2 U' B F' L2 B' F U' L2,F2 D' F' D F' R2 B U' B' R2,60
F2 B2 L' B2 R' B U' L F2 L' R' U2 D' L' D F B' L2 B2 D2 B2 D',x2,L B' R2 D B' R2,U' F R' U R F',,D B U B' D',B U2 B' U' B U B',B' R2 U' F U R U' F' R U B,L2 U' B F' L2 B' F U' L2 U',U' L2 D' B U' B U B' D L2 F U' F',58
B U2 D2 L2 U L2 U' R2 D L' D' F R F' R L2 D2 R B U2 F2 B L2,x2,R' F R2 D L' B' F',L' U L F U2 F',U' F' L2 F L2,R U2 F R' F' R',B L' B L B2,U2 B' R2 U' F U R U' F' R U B,U,R2 U R2 B' R F D R' D' B R F' R',55
U R F2 R2 U F' L D B' R' F B2 U2 B D' U' R2 U B' F',x2,U L R B F' L',U' L' U' L,L2 F2 R' F' R F' L2,R' U' R2 U2 R',U2 B U B',F U' B' U F' U' B,U L2 U' B F' L2 B' F U' L2 U,L F R F' L' B F L B' R' B L' B' F',58
D2 U' L' F2 D2 U R F' D2 L2 B' R2 U' R D' L' F2 D2 R' B',x2,F' U2 R' F D L2,F2 L2 U2 L' U2 F2 L2,B' U B,U F' L F' L' F2,U B U B',B L B' U2 B L2 F' L2 F L' B',U,F U' B D2 B' U B F' U' F D2 F' U B',52
