scramble,orientation,Step_UB_UF_UL_UR,Step_GEN,Step_BD_DBL_DBR_DFR_LD,Step_FD_RD,Step_BL_UBL,Step_FR_UFR,Step_BR_UBR,Step_FL_UFL,total_moves
B' L' D2 U2 R' D F' L D' L' R F D2 U F U2 F2 R L2 B U2 R,x2,U R2 F L' B2,B R F U R F' U2 R' B2,L' D2 L' R D L2 R2 U' B2 R F2 U',U L' B2 F2 R D' R' B2 F2 L,,B2 D' U R2 D U',F' D2 F D B2 D' F' D B2 D F,,53
U B2 R U D' L B' D' F L R B2 D2 U' L' R2 U2 D' B' U2 F,x2,F2 D2 L' D' F' D',B' R B U R' B' U2 B,U B D2 F2 U2 F2 D2 B',R B' D' F' U' R' U F D B,B' L2 U2 B2 L2 U2 B' U2 B2 L2 B U2 B2 L2,,U R2 U' L2 D B2 D' L2,F2 D' U L2 D U',60
L U D B2 D' F R2 U F D2 F L2 F2 U' F2 L' F U' R L' D R' F R',x2,F2 R D2 B R F,F2 L F2 L F' L2 U' F,B L F' U L' U' B' L F L' U2,B2 D2 R U2 F2 D2 L U2,F2 D' F L2 D2 B D2 B' U B U' L2 D F,,D' U F2 D U' R2,,53
B R' L2 U R' U2 B2 F' D2 R' F D U2 F' U2 L2 D U L B2 D' B',x2,B' F R2 D' L B,B R U R' B' R' U' R,L' F2 D2 F' D B2 D' F D2 F2 L U',B2 D' R D2 U2 L' D' U2 B2,D' U B2 D U' L2,B2 R F R' B2 R F' R',B' L' B2 L' F L B2 L' F' L2 B,,60
D' L' R D L2 B2 L2 U L B D2 L2 D R' L' B' L B L F R2 B2 R',x2,D' F D' B R D,R2 D F' U2 F2 U B2 F' D',F' D2 B U F2 L F2 L' U B' D2 F',L B' F U2 B F' L,U R2 U' L2 U R2 U' L2,,U2 F2 U2 F U2 L2 F2 L2 F U2 F2 L2 F L2,,56
R U R B2 L R' B D2 U R L F L F2 U R' D2 F R2 F' D2 L' R' F' B,x2,L2 B2 R2 F' D',U2 L B L F' U B' L' F,L F2 D' B2 L2 B2 D F2 L',L' B2 F2 R D R' B2 F2 L U',D L2 D B2 D' L2 D B2 D2,,L B' L F2 L' B L F2 L2,D' B D2 L2 B D' L2 D B' L2 D2 B' D B,65
L2 R2 B2 D' L U2 B' U D F2 D' L2 D U R2 L' D2 U2 F' D2 B,x2,B' R' D B' D B2,F L2 F D2 R B D2 L2,F2 U2 L' R2 D2 B2 D2 L D B2 D' R2,B2 D U2 L' D2 U2 R D B2,B2 L2 B' R' B L2 B' R B',,U R2 D' B2 D R2 U' L2,,52
L B' R B2 L' F' D2 R' B F L U' B D2 R L2 F' R2 L D' R' D U2,x2,F2 D F L D,L2 B L2 F2 U B2 U' B F2,R2 F2 D' L' D2 U2 R' D' U2 R2 F2,U B2 D2 R U2 F2 D2 L U2 U',U B2 U F2 U' B2 U F2 U2,,U R2 D' B2 D R2 U' L2,D F L U' F2 D R' D' F2 U2 L' U' F' D',66
F2 L' B' L' R' U2 L' D2 U' R2 U2 R2 L B' L' R2 D U2 B' D U L' F',x2,R B2 R' D' B L2,U L2 D B' F' U' B F2 D',U2 L D2 U2 R' U' R' D2 U2 L',U' B D U' L' U L D' U B',D B2 D' L2 U R2 U' L2,B2 U' F2 D L2 D' F2 U,U2 F2 U2 F U2 L2 F2 L2 F U2 F2 L2 F L2,,65
U R F2 U D R B2 L D' B2 R2 B R' U F U' R L2 B2 L' B' F' R2 U' B2,x2,R' B L' U B2,L' B2 L B2 F U' F',U' L2 U' L R' U2 L R U' L2,R U' B2 U2 B F R2 B' F' U' R',U2 B2 U2 B' U2 L2 B2 L2 F U2 F2 L2 F L2,,B2 R F R' B2 R F' R',D L2 D B2 D' L2 D B2 D2,64
