scramble,orientation,Step_GEN,Step_UB_UF_UL_UR,Step_FL_UFL,Step_FR_UFR,Step_BR_UBR,Step_BL_UBL,Step_GEN,Step_DBR,total_moves
B2 L R' F2 B' D' U L' R2 F R L' F2 L' B' L' F2 B' U' R' U2,x2,U' R' D2 L2 F' L2 D2 R2 B' R',R' F L R' U' F' U' R2,L F2 U2 F2 L' U2 F2,U F2 U2 R' F2 U2 F2 R,L F' D F2 D' F L' F2,,U' R' D2 L2 F' L2 D2 R2 B' R',,45
F' L2 U R' B2 U F2 L' R2 U' L2 U2 L' U2 R U L2 R2 U B2 R F',x2,B' U B L' R D' B' D L R',L D B F' L' B U L2 R2,R' F' R B2 R' F R B2,B' L' B L R' U' R B,R U B' U2 B U' R',L B' F U2 B F' L,B' U B L' R D' B' D L R',U,55
L' U B F2 U2 B2 D2 U2 L' F' L D' F B L2 B R F' B D' R2 U2,x2,U B' U B L' R D' B' D L R',L2 B D' U R' F2,U' F2 D2 L' D2 F2 U2 R',U' B2 L U' L' U2 L U L' B2,D' L2 U R2 U' L2 D B2,D2 L2 B2 L2 B2 D2,U B' U B L' R D' B' D L R',,54
U R F2 R2 U F' L D B' R' F B2 U2 B D' U' R2 U B' F',x2,U R' D2 L2 F' L2 D2 R2 B' R',L U L' R B' R D2 R2,R2 U2 R2 B' R2 U2 R2 B,B L' U R U' L U R' B',D2 L2 F2 L2 F2 D2,B' D2 R' U F2 U' R D2 B,U R' D2 L2 F' L2 D2 R2 B' R',U,56
B U2 D2 L2 U L2 U' R2 D L' D' F R F' R L2 D2 R B U2 F2 B L2,x2,U2 R' D2 L2 F' L2 D2 R2 B' R',D B D L' R B' R D2,U B2 U' B2 U B2,L' D' U B U2 B' D U' L,D' B2 L2 B2 L2 D,B2 L2 B2 L2,U2 R' D2 L2 F' L2 D2 R2 B' R',U',48
F R D U2 R L' D F2 D' R2 F U' B' L B U2 D2 L' R2 F L2 D U' F' R,x2,F R U R' F' L2 R D' B' D L2 R',L2 U2 R2 D' R2,U' F D2 L F' U2 F L' D2 F',U F D2 L2 U2 B D2 R2,R2 B2 R2 B2,F' L F L' U F U2 F',F R U R' F' L2 R D' B' D L2 R',U,53
D2 U' L' F2 D2 U R F' D2 L2 B' R2 U' R D' L' F2 D2 R' B',x2,,L2 B D2 U2 F' D L2 F2,B2 R' B U' B2 U B' R,B L' U R U' L U R' B',R2 U R2 U' R2,L2 D' B2 D L2,,U2,40
R2 L' B' R U2 F2 L' B2 L' U D2 B2 D L2 R' D2 U L2 U F L2,x2,B' U B L' R D' B' D L R',D2 R' D U2 L' R F R',D' R2 D' F2 D R2 D,F' D2 R' F U2 F' R D2 F,U' B2 R2 B2 R2,L' U' B U2 B' U L,B' U B L' R D' B' D L R',,51
F2 B2 L' B2 R' B U' L F2 L' R' U2 D' L' D F B' L2 B2 D2 B2 D',x2,F R U R' F' L2 R D' B' D L2 R',D F' L R' B' F R' D2,F D2 L F' U2 F L' D2 F',U B2 R2 B2 R2,F' U F D2 B' U' B D2,F U' L U2 L' U F',F R U R' F' L2 R D' B' D L2 R',,52
R2 F' R' L' D R B' R D' L' D B F R' F R' B2 L U' F2,x2,U R' D2 L2 F' L2 D2 R2 B' R',B U' R' D' L D B D2 R,L B D L2 D' L' B' U L2 U2 L2,R2 D' U F2 D,B' D2 L2 U2 F' D2 R2,B' L' U' L U2 L' U L B,U R' D2 L2 F' L2 D2 R2 B' R',U,56
