scramble,orientation,Step_FD_RD,Step_UF,Step_FR_UFR,Step_BL_UBL,Step_BR_UBR,Step_FL_UFL,Step_LD,Step_BD,Step_DBL_DBR_DFR,Step_GEN,total_moves
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,U' L' R2 B',F D2,U2 R2 U2,B' U' F' U B,L F2 L',B2 D F' D' B2 D F D',L F' L' U' F' U F,F' R U2 B2 D2 L B2 U2 F',F2 R' U' R2 F2 D' F2 D R' F2 R' U R,,54
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,D L R2 B',D B' L B,L R2 B F U F U' B' L' R2,U2 F2 R F2 U2,L2 U' R2 U F2,L' R2 F L2 R2,B F' D2 B' F L2,,L2 F2 D2 L B2 F2 R' D2 U2 R D2 B2 L2,B F' D' F D B' F L' F' L,62
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,F2 D L2 U2,F' D2,F2 R F' R F R2 F2,L D' F D,D' L F2 L' D,B' U2 F U2 B L2,F' U' F U L F L',D' L' R F2 L R' D',B D' L2 D' B' U2 F2 L2 F' L2 U F2 U,F R U2 B2 D2 L B2 U2 F,64
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,F2 R B,B R' B' R,R2 B2 L F L' B2 R2,U2 B' R2 B R' U2 F,U2 R U2,R2 U L2 U' R2,L U L' U' F' L' F,F U2 B2 D2 B2 U2 F,F' U2 F R' U2 R' B R U2 R' B' R2 U2,F R U2 B2 D2 L B2 U2 F,65
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,F L2 R B',L' D',B' U2 B2 U2 B L' B2 L,L2 D' L D,L2 R' B' D B L2 R,L2 D F2 D' L2,U' R' F2 R U2 B L B' U',D' L' R F2 L R' D',B D' L2 D' B' U2 F2 L2 F' L2 U F2 U,B F' D' F D B' F L' F' L,69
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,R F2 U',F' D2,R2 F2 R F2 D R' D' F2 R,U' F R2 U' R' U2 F',L2 U2 R' U2 F2,L U L' U',L F' L' U' F' U F,B F' D F' D' L' F' L B' F2,L2 R B2 U R2 D R U' B2 D' R' B2 L2,F R U2 B2 D2 L B2 U2 F,69
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,B R,F L D',L2 B2 L B2 L B2 L B2,L B D' B',B U' F' U' F U2 B',D U2 B' D' U2,B F' D2 B' F L2,F L' U2 B2 D2 R' B2 U2 F,L' B L2 F' L F L B' L B' U2 B U2,F' U2 B2 L' D2 B2 U2 R' F',66
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,R',D',B R U' R' B',F',D2 B' R2 U2 R2 B D2,U' B2 R2 F R F' R B2 U,F' L2 B D2 B' L' F L',F L' U2 B2 D2 R' B2 U2 F,R2 B2 R2 U' F' U B U B2 U2 F U B',F' U2 B2 L' D2 B2 U2 R' F',63
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,R' F' R' U',L D',R' D L F2 R2 F2 L' D' R,B2 F' L F L B2,D F2 D',F2 L2 F L F' L F2,,,B2 L R' D R D L' D2 L' F2 L B2 F2,B F' D' F D B' F L' F' L,54
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,B' L2 U,L' D',U2 R B2 D2 B2 R' U2,L' U2 B2 R B2 U2 L F2,F' D F2 D',U L' U' L2,,D' L' R F2 L R' D',F R B2 D' F L D' F2 D B D' R B U2,B F' D' F D B' F L' F' L,59
