scramble,orientation,Step_UR,Step_BR_UBR,Step_BL_UBL,Step_FL_UFL,Step_FR_UFR,Step_FD_RD,Step_DBR_DFR,total_moves
L U D B2 D' F R2 U F D2 F L2 F2 U' F2 L' F U' R L' D R' F R',x2,F D2 F U R' B F' R',F2 D2 U' B2 D2,U' L' B2 U2 B2 L,U2 L U' R' F2 R U L',U2 F L' U' B2 U L F',L2 F2 L2 U2 F2 L2 F2 U,B F' D U' F D' U B' F,52
B' L' D2 U2 R' D F' L D' L' R F D2 U F U2 F2 R L2 B U2 R,x2,L F D B2 U2 F2 D' B',F2 U R F2 U2 F2 R',D' B2 R D2 U2 L F2 D',F2 U' L2,R' F U' B' U F' U' B R,R2 F2 L2 D R2 B2 L2 U2,L' B L' F2 L B' L' F2 L2,52
U B2 R U D' L B' D' F L R B2 D2 U' L' R2 U2 D' B' U2 F,x2,R U2 B' R2 F' D B' R,D' L U2 B2 U2 L' R2 D,,U B2,R B' D R D2 R' D' B R',L2 R2 D L2 R2 U',U' L2 F2 L2 U F2 L2 F2,41
D' L' R D L2 B2 L2 U L B D2 L2 D R' L' B' L B L F R2 B2 R',x2,R' F L' R' F2 D' B',B2 L2 U' F2,L' U' R' F2 R U L,L' R2 D' L2 R2 U L',R' U' L2 R2 D R',L2 R2 D L2 R2 U2,B' R B' L2 B R' U B' L2 B U' B,49
R U R B2 L R' B D2 U R L F L F2 U R' D2 F R2 F' D2 L' R' F' B,x2,B U B D' U' B U' F',R U' L2 R2 D L2 R,U L2,F2 D' B2 D' R' B2 D2 F2 L',U' B2,B2 R2 F2 D2 L2 F2 R2,U' L' B L' F2 L B' L' F2 L2 U,46
L B' R B2 L' F' D2 R' B F L U' B D2 R L2 F' R2 L D' R' D U2,x2,R2 F2 L' U' F U' B' D F',U2 L B U F2 U' B' L',U R F2 U2 F2 R' F2,,F' L F U' B2 U F' L' F,D2 L R' B2 L' R,U B2 D L2 U' B2 D B2 D' L2 B2,50
B R' L2 U R' U2 B2 F' D2 R' F D U2 F' U2 L2 D U L B2 D' B',x2,L B' U R D2 B2 D B',D2 U' B2 D2,U' L' B' F U2 B F' L,L F' U B U' F U B' L',B2 U' B2,U',U B2 D L2 U' B2 D B2 D' L2 B2,44
F2 L' B' L' R' U2 L' D2 U' R2 U2 R2 L B' L' R2 D U2 B' D U L' F',x2,U2 L2 U' F' D' R2 U B',D' R2 D' B2 D2,U' L B2 U2 B2 L,U L U' R' F2 R U L',U' F L' U' B2 U L F',R2 F2 L2 D L2 F2 R2,B F' D U' F D' U B' F,51
L2 R2 B2 D' L U2 B' U D F2 D' L2 D U R2 L' D2 U2 F' D2 B,x2,R B F2 R F' D B' D,F2 D2 R' U2 B2 D2 L',U2 F2,B2 R D R D2 R' D' R' B2,R D L B2 L' D' R',B2 R2 F2 D2 L2 F2 R2,R2 B2 R F R' B2 R F' R,49
U R F2 U D R B2 L D' B2 R2 B R' U F U' R L2 B2 L' B' F' R2 U' B2,x2,U R F' R2 B' L' U' F',F2 U F2,L' U R2 U B2 D' B2 U' L' R2,D2 U' F2 D2,L2 R' U L2 R2 D' R',U' L2 R2 D L2 R2,U R2 B2 R F R' B2 R F' R U',49
