scramble,orientation,Step_FD_UB_UF_UL_UR,Step_BR_UBR,Step_BL_UBL,Step_FL_UFL,Step_FR_UFR,Step_RD,Step_BD_DBL_DBR_DFR_LD,total_moves
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,U2 L' F' D' B' F R2,F2 U F' U' F2,B' U' F U B F',L U R' U2 L' R U',R2 D' U' F' U F D R2,R' U2 R U F R' F' U F R F',U' B2 U L' R B2 L R' U B2,54
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,D2 F U' L' D' B' F,F' U' R' F' U R F,U' B L2 B' L2 U,R B2 R2 U' R U B2,U' L U L' U B2 R B2 R',R U B U' B2 R' B U B U' B' U,F U F' L2 D' B U' B' U B' D L2 U,61
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,R' B L' D B2 L2 R,L' B' R U R' B L,D2 B U' B' D2,U2 L B U B' U' L' U2,B U2 B L U L' U' B2,L' B' U' B2 U B' L B U' B',B2 F' D' F L2 B' U B F2 D B2 R2 F2,58
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,D' R' B2 D2 B' R' D',U2 F D2 B D2 F' U2,F' L F' D F D' F L',F' L' F L' F' L F,B F U' F' U' B',F R B R' F2 R U B' U' R' F U,F U' B U' F' U2 R' F' L2 F L2 R U' B',61
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,F' R2 D L B F' L',U2 F' L' B' U B L F U,D F2 D' B' U B L2,L U2 B U' B' U' L',U' R' F R' F' R2 U,R' U2 R B' R B R2 U2 R,L' B L' F2 L B' L' F2 L2,55
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,F' R2 B L F R',R B' U2 B R',U2 R2 F2 R F2 U2 R,B' L' U2 L U B,U F U' B U F' U2 B',B F' U' L' U L F U B',F U' B U' F' U2 R' F' L2 F L2 R U' B',55
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,D L2 D2 L D B R,R B U2 B' R',U2 B2 L2 B2 L2 U2,B' U B,R' U' R U' B U B' U,L2 B2 L' U F U' F' L B2 L2,U' B' U L' U' B2 D2 F' R' F D2 B' U L,53
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,D' B F2 D2 B' R',U2 F' U2 F R U2 R',B2 L2 B2 L2,U L U' L',L2 B' D F' D' B L2,F R F' L F R' F' L',L B U B' L B U' L U L U' L' B' L2,50
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,L D2 L B U L' F' D,B U F' U' B' F,L F' L' F,U' L U2 L' U,B U2 B' U' B U2 B' U',B' R B U B' R' B R U' R' U,L F R F' L' B F L B' R' B L' B' F',56
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,L2 D2 U L' B L' U F',F2 U' F' U F2,L' B' U2 B L,D F2 L F2 L' D',D2 U2 L' U' L D2 U',U2 F U2 F' U' L' B' U2 B U L,L B U B' L B U' L U L U' L' B' L2,56
