scramble,orientation,Step_UB_UR,Step_GEN,Step_GEN,Step_DBR,Step_BL_UBL,Step_FL_UFL,Step_BR_UBR,Step_FR_UFR,total_moves
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,R2 B D',,,,B2 D' B2 D2 L2 D',U B2 U' B2,R B D B U2 B' D' B' R',U2 R F2 D L' B2 L D' F2 R',40
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,R2 F R,,,L2 U',D' B2 D B2 L2,B2 D2 F2 L F2 D2 B2 R B2,L2 U2 F2 L2 F2,D' R' U' R' F2 U' F2 R' D R',42
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,D F2,,,B2 U2,L U L U2 L' U' L,D2 F2 U L' U2 F2 D2 R',D' U R2 D U',D' R F2 U' L D2 L' U F2 R' D,44
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,U2 R2,,,,U2 L B2 D R' F2 R D' B2 L',U' L2 U L2,U R2 F2 R2 F2 U,L2 D' B2 D L2,36
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,L' D2 B D',,,U',D2 U2 F2 D2 U2,D2 L F2 U2 F2 L' D2,R' B2 D' L F2 L' D B2 R,R' U' B2 F2 D B2 F2 R,41
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,L2 B D L' D,,,B2 U2,L' U2 B2 D2 R D2 B2 U2,U2 L U R B2 R' U' L U' L2,D' U L D2 F2 D2 L' D U',U2 F2 L2 B2 F2,47
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,L B F' L' D,,,U,U' F2 R' D' R' D2 R D R F2,D' B2 D,U2 F2 R2 F2 R2 U2,D F2 L D2 U2 R B2 D,42
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,B L D2,,,B2 U2,D F2 D2 R2 D,D' B2 D,R2 D' R2 U L2 D' L2 D,R' B' U F U' B U F' R,38
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,L2 B D2,,,U2,D' B2 D,B2 U B2 U',F R F' U R' U' F R' F',F' L F U' B2 U F' L' F,37
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,U' F' L D,,,B2 U2,L B2 D R' F2 R D' B2 L' U2,D' U B2 D U',U R U' L' B2 L U R' U',R' U' B2 F2 D B2 F2 R,46
