scramble,orientation,Step_UF,Step_DBL_DBR_DFR,Step_FD_RD,Step_FL_UFL,Step_FR_UFR,Step_BR_UBR,Step_BL_UBL,Step_GEN,total_moves
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,B',U F2 U,U2 F2 R' U' F R' F',U' F L' F' L U,R D B R' B' R' D',L2 F D' L' F' L' F L D L2,L2 B' R' F U' F' U' R B2 L' B',F R U2 B2 D2 L B2 U2 F,54
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,R' D,L' U' R' F2 U',F' L' U2 R F2 R2 F',L D L D' L' D B D' B' D',U' R' F R' B F2 U2 L2 F U B' U2,B D' B',,R' B' F D L2 D' B F' R D2,49
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,B,U2 F2 L U' R,B' D' F' R' B R2 F,F L F L U L' U' F2,B L U' F U L' U B' R U',L F2 L' D F2 U' L D2 L' U F2 D',B D2 B' L' U2 R U2,D L2 D' L' R F L' R' D',59
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,B',U2 B L2 B' U,U' B' D2 U2 F2 U' R' B,R B2 U R2 U' B2 L' D L R',U2 B F2 L U' L U L2 F2 U' B' U',F' D2 U2 B D2 U2,B' L2 B2 F' D' B' D' F L',U2 B2 D' B F' R B F U2,60
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,R' B',F U2 R' U F2,U2 R' U2 B' R' D B U,B L' F' L B' L2 U' F U F L2,U L' B2 L B2 L U',D R B2 R2 B2 R' D',U' L2 U L U' L U L2,D' L2 D B F' R' D2 R B' F,58
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,D L B,B' D' U2 R B,D2 R' D2 U2 F2 L U2,L' R F' L R',B2 F' L B F' D' B F2,U' L' U2 R2 U2 L U,U' R2 F' R U F R F2 R' F2,D L2 D' L' R F L' R' D',54
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,D',B' R2 B L,F' L' U2 R F2 R2 F',D' B D2 R D R' D' B' D',R' U2 L F' L' U2 R2 B' R' B,U2 R' D R D' U2,F' D2 L2 F L2 U2 B U2,D L2 D' L' R F L' R' D',54
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,D' L B,B' D B2 L' B',B L D U' B' R F',D U' F' D' F U,L2 R D R' D' B' D' B L2,B' R' F R B2 D2 B R F' R2 B2,R2 U F U' R2 B' D2 B,D L2 D' L' R F L' R' D',58
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,U L' B,U2 L U2 F' L2,B2 D2 F' R' F D' B2,B U2 F' D2 F U2 B',U2 R' F' R2 F R U2,F2 L F U B' U' F U2 R' U' B U',B2 R F2 R' B2 U' F U,U R' B' F D L2 D' B F' R D2 U',61
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,L D',R B' R2 B U',F2 L U R' F' L' R F2,L' F L F L2 D' F L2 F2 D,F U' F U2 B U B R U2 F2 L D2 L,D U' R D' U F',F' L' F L U L U' L',F U2 B2 R' D2 B2 U2 L' F,61
