scramble,orientation,Step_DBL,Step_BR_UBR,Step_GEN,Step_FL_UFL,Step_BL_UBL,Step_FD_RD,Step_LD_UB_UF_UL_UR,Step_GEN,total_moves
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,D F,L2 D2 B' F2 D2,,D' F2 R B2 F2 L' D,B L' B' F U F',B F L' B' F' D R2 D' R2,U' L2 B R2 D2 L2 F' L2 D F2 R2 B2,,44
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,D' L2,F2 U2 F R' F,,D R' B',U F2 U R2 U' F2,U2 B' F' L B F' D' F2 U2,F' L D2 U2 R' B' U R2 F2 R2 U F2 L2,,43
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,L2,U2 L' R' U L R' F,L' B R' B' R2 D2 L' F' L D2 L R',B' U' L2 U,U R2 U' B2 D B2 R2,B F' L' D2 B' F L2 U,D2 B' L2 D F2 L2 F2 D L2 B F2 D2,L' B R' B' R2 D2 L' F' L D2 L R',54
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,D' L2,D R B2 D2 B2 R,L' B R' B' R2 D2 L' F' L D2 L R',B D R B2 R' D' B,U B' U2 L2 U2 B' U',R2 B2 F2 L' D' B2 F2 U R',B' D' R F L' R' F D F' D' L2 B F',L' B R' B' R2 D2 L' F' L D2 L R',59
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,D' F,R F' U' F,L' B R' B' R2 D2 L' F' L D2 L R',B' U' L2 U,U2 R2 U' F2,L' R' F L R D' B2 D B2,R2 F D B D2 U2 L2 F' D' B F2 L2 U,L' B R' B' R2 D2 L' F' L D2 L R',52
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,D2 L',F U' R' D' U,,F L B F' D' B',R2 F R2 B U2,L R B' U2 L' R B2 D R2,D2 L' R2 F L R' D' L F L R' D' L2 D2,,46
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,L' F,R B R2,L' B R' B' R2 D2 L' F' L D2 L R',B L2 R2 F L2 R2,L F2 D2 F2 L U L2,R2 B2 F2 L' D' B2 F2 U R',L F' U' L R' B R F' U B' F L' U L',L' B R' B' R2 D2 L' F' L D2 L R',57
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,D2 F,D B' D' B2 R2,L' B R' B' R2 D2 L' F' L D2 L R',B2 R B' R',F2 R2 U2,B U' B' U2 B U B' U',F2 U B F D2 B2 D2 L' B' F' U R2 U2 F2,L' B R' B' R2 D2 L' F' L D2 L R',55
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,L,D R2 D',,D B',B' L B2 F2 R2 B' F D F,R2 F' U' B' F R B R2,R B R F R' U R U L F2 L' B L2 U B2,,42
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,U2,D2 B' R D2,L' B R' B' R2 D2 L' F' L D2 L R',R' D2 B2 D2 R,F U R' F' U2 B U L' B',F2 U' B' F R' B' F D2 B2,F' U2 B' D' B R2 U' L' D2 L D B2 U' L' F,L' B R' B' R2 D2 L' F' L D2 L R',60
