scramble,orientation,Step_UB_UF_UL_UR,Step_BR_UBR,Step_FL_UFL,Step_FR_UFR,Step_BL_UBL,Step_RD,Step_BD_DBL_DBR_DFR_LD,total_moves
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,U2 L B' R2 U' L2,L U' F2 L' F2,B' U2 L2 B2 L2 B,B2 D L2 D' B2,L D F' D R2 F D2 L2 B L,,F R' F L2 F' R F L2 F2,41
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,L2 U B D2 L' B,U R B' U B R',D' L B L' B' U' L' D,D B' U' B D',U L' U B2 R B2 L B' R' B,U,U L2 B2 F2 R2 D R2 B2 F2 L2,46
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,D B L D2 L',U2 F2 U' F' U F2,F U2 F' L U2 L',F U2 B F' U2 B',U F R U' R2 F' L' F R F' L,U',B2 U B2 D' B2 D L2 U' L2 B2,45
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,L F' L2 R' D L,L U' F2 L' F2,L U L',B L U2 L' B',F U2 L U2 L' U2 L' B L B' F',,B' D' F D2 B' D F L2 D F2 D B2,42
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,F' D L B F' L',R D2 B U B' D2 R',U F U2 F' L U L',F U2 R' F' U2 R,F U2 F' U' L' U2 B' U B L,,L U' R U2 L' U R' B' F' U2 B F,48
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,R B2 R2 F L' D,U2 R2 B' R' B U2 R',B' L' B2 U L B,L' U L B L' B L B2,U' F U R U R' U' F',U,,36
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,D2 F D' B' F,R F R' F' R',U' B2 L' B2 L,B L U2 L' B',U L' U2 B' U R' U R B U2 L,U2,R B' L U2 R' F L2 R' D2 L2 F' L' R,45
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,R' F' U2 B L F',U2 L F2 L' F2,L U' L',B U B',U' B' U' R' U R B L' U' L,U',L F' R U2 L' B L' R2 D2 R2 B' L R',41
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,B L U' F2 R' B',R2 B2 R2 B2,L U B L B' L',B R B' R' B',F U B' D' U' R U R' D B F',U,F' U F D B U2 B D' F D B2 R2 D' F',47
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,L D2 L B L' F' D,R2 F U2 R F' U2 R2,L F U F' U L',F2 R2 D R' D' R' F2,B U B' L' B L' U' B2 U B L2,U,U' B' U L' U' B2 D2 F' R' F D2 B' U L,53
