scramble,orientation,Step_UF,Step_FD_RD,Step_DBL_DBR_DFR,Step_BD_LD,Step_BR_UBR,Step_FR,Step_BL_UBL,Step_FL_UFL,Step_GEN,total_moves
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,B',L' R' F' R U2 F2 L',U' F2 U,L' R F' L R',,,U B2 U F2 U' B2 U F2 U2,B' D L R' B2 L' R D B,F R U2 B2 D2 L B2 U2 F,43
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,B,F2 U2 B U F D B',B2 L2 F2 U' R2 U B2,L D' F' D U' R U L',D2 B2 U R2 U' B2 D2,U R2 D U' B2 D',,B D2 F L D L' D2 B' D F' D',F' U2 B2 L' D2 B2 U2 R' F',56
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,B',F U2 L R' U' R',D R' D' B U2 B' R F,F D U' R' F D2 U2 B' D U',L D2 L' U' L D' R' D' L' R U,B L U' F U L' U B' R U',D F2 D' U L2 U',D2 B' R2 U' F L2 F' U R2 B,B F' D' F D B' F L' F' L,72
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,R' B',F' L' U' F' R2 U',F2 U' F2 L2 F2 L2 U F2,L' R F' L R',L U' R' F2 R2 U2 L' U R' U2,R' F' R' B' F D B R,D' U L2 D U' F2,D' B' L' D' L2 D B2 D' B' L' D2,F R U2 B2 D2 L B2 U2 F,65
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,D' L B,R2 D R' F2 D' L',B2 R2 D R2 D' B2 F2 R2,F' U2 R D2 U2 L' D2 F,R' B' R' D2 R D B D R2 D',F R2 U2 B2 D2 L2 B2 U2 F,F L' R F L R' D' F' D,U2 F' U B L2 B2 U2 F U' B,B F' D' F D B' F L' F' L,73
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,D',F R' B' D' B F',F2 U' R2 U,D' L' R F2 L R' D',R2 D R' D' U F U' R2,B2 U2 F2 L' F2 U2 B2 R',B2 U' F2 U B2 U2 R2 U F2 U,D F2 D' U L2 U',B F' D' F D B' F L' F' L,60
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,L D',R' B L' U2 B' F' L U,R2 D B2 L2 R2 U B2,F L' D2 U2 R D2 U2 F',B L' B U' F' U B' L B',,F2 D2 L' D R' D' L D2 R F D F,D' F L' B' L2 B L F' D,B F' D' F D B' F L' F' L,65
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,U L' B,B2 D R B' R' F R B',L2 B2 L2 U' R2 U B2,U B' F L2 F' D2 U2 F U,D U' B2 D' U R2,F2 U' B R U R2 U' B' R' U F2 D2,B2 D B2 U' L2 U,U2 F2 L' F2 U2 B2 R' B2,,59
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,D L B,F U2 L2 U' R2 U' R',U' L2 R2 B2 L2 B2 U,R B F' D2 B2 F2 U B L R',F' L' U L2 U' L F L2,,F D L' R F2 L R' D F',B2 U2 R' F2 R' B U2 L2 B D2 F L',,56
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,R' D,F U' B L B' L' R2,U' L2 B2 F2 D' B2 R2,D2 F L D2 U2 R' B' U2,R' F' R B' F D' B R,B2 U2 F2 L' F2 U2 B2 R',B2 F2 R U2 R F2 R2 B2 D2 L' F2 L' F2,U2 F2 U L2 U' F2 U2,B F' D' F D B' F L' F' L,70
