scramble,orientation,Step_UB_UF_UL_UR,Step_DBL_DBR_DFR,Step_FL_UFL,Step_BR_UBR,Step_BL_UBL,Step_FR_UFR,Step_GEN,Step_FD_RD,total_moves
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,D2 F D' B' F,L U2 F' U L' U F,D L2 F2 D' B2 U B2 L2,F2 R D' B L' B' D R' F2,R' U' F U' F' L' U' L U2 R,R U R U' R2 U R U2 F R F',F R U R' F' L2 R D' B' D L2 R',F2 U' L R' F2 L' R U' F2,71
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,U2 L B' R2 U' L2,R' D' F' D B' U R2 B R,F R B' F2 U' B F2 R' F',L R U' R' U L' U F' U F U2,L' U2 R U L U2 R' U',R' U' R2 F2 R' B' R F2 R' B,U2 L' D2 R2 F' U2 R2 D2 B' L' U2,U F2 U' L R' F2 L' R U' F2 U',75
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,R B2 R2 F L' D,U2 L U L',L U R' U' L' U R U',R' F' D B2 D L' D2 U F,L' B' U' B F' L F L,U2 B L' B L B' U2 B' R' U' R,F R U R' F' L2 R D' B' D L2 R',F2 U B2 L2 U' R2 F2 L2 D' R2 U' F2,70
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,R' F' U2 B L F',F U' R U2 R2 F' R,U2 L2 F2 L2 R2 F2 R2,R B' R B R2 U2 F' U' F U',U' R2 D' U F2 D,U2 B U' B' R' U2 R' F R F' R,L' D2 R2 F' U2 R2 D2 B' L',F2 U B2 L2 U' R2 F2 L2 D' R2 U' F2,68
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,L F' L2 R' D L,B U2 B2 R U2 B U' R',B2 R B R' B U2 B' U B U2,R2 B' F U B U' F' R2,B' U B' D2 B U' B' D2 B2,U' R2 D' U F2 D,F R U R' F' L2 R D' B' D L2 R',U' F2 U' L R' F2 L' R U' F2 U,70
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,B L U' F2 R' B',B2 R B' U2 B R' B2,R' B' F U B U' F' R,U2 L2 B2 L2 R2 B2 R2,F U' F' U B' U L' U L U2 B,F L2 D2 R2 D2 L2 U2 F',L' D2 R2 F' U2 R2 D2 B' L',F2 U' L R' F2 L' R U' F2,65
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,D B L D2 L',B' D2 F' D2 B U2,B2 R' U R B2 L2 D L D' L,L B U2 B' L' F' U2 F,F2 R U B' U' B R' F2,U' R' F R' F' R2 U2 B U B' U2,L' D2 R2 F' U2 R2 D2 B' L',U2 F2 U' L R' F2 L' R U' F2 U2,68
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,L2 U B D2 L' B,F' U2 F2 U F' U2,B D B D' B R2 F' U F R2 B,U2 R U R' U2 L U' L',L' B L2 D L D' L2 B',F L2 F' R F L2 F' R',U L' D2 R2 F' U2 R2 D2 B' L' U',L2 F2 D2 R2 B F D2 L2 B F,68
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,L D2 L B L' F' D,U2 F U R' F' R,B2 D2 F2 U2 F2 D2,L B U2 B' L' F' U2 F,F L U' L' B' U B U F',B U2 L U R' U L' U' R B' U,B F' U' F U B' F R' F' R,,57
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,F' D L B F' L',U' F' U2 B' F U' B,R' B' U' R B U2 R U2,U' F' U' L2 D' R B R' D L2 U2 F,L2 B' L' F U' F' L B L2,R' U' R' U' F' L' U L F R2,,,52
