scramble,orientation,Step_UB_UF_UL_UR,Step_GEN,Step_FL_UFL,Step_FR_UFR,Step_BR_UBR,Step_BL_UBL,Step_FD_RD,Step_BD_DBL_DBR_DFR_LD,total_moves
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,D2 F D' B' F,D' F' R' F' R B' F U B D,F2 L2 F2 L2,U F2 R2 F2 R2,R2 U' L2 U R2 U' L2,U L' U L U2 L' U' L,U',B2 R2 B' L' B R2 B' L B',49
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,R' F' U2 B L F',U2 F' L' D' U L' B' D F L2,U2 R2 B2 R2 B2,B2 U' F2 D L2 D B2 D2 F2,R U' R' U2 R U R',D' L2 F2 L2 F2 D,U',U2 B2 R2 B' L' B R2 B' L B' U2,55
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,B L U' F2 R' B',B L2 F' L U2 L U' F U B',B2 U R' B2 D2 F2 L' U' F2 D2,U2 L R' U2 L' R,R2 B2 R2 B2,L2 U L2 U' L2,R2 U B' F R2 B F' U R2 U2,U L2 B2 F2 R2 D R2 B2 F2 L2,61
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,L F' L2 R' D L,U2 F D U R2 D B' D2 U' F',B2 U R' B2 D2 F2 L' U' F2 D2,U F2 D2 L B2 D2 F2 R,U2 L2 F2 L2 F2,U' B2 L2 B2 L2,U2 R2 U B' F R2 B F' U R2 U,F R' F L2 F' R F L2 F2,64
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,L D2 L B L' F' D,R B' F' L D' F L' B R',L F' U B U' F U B' L',R2 U L2 D' F2 D L2,U' R2 D B2 D' R2,U2 F2 U2 F2 L' F2 U2 F2 L,,U' B2 R2 B' L' B R2 B' L B' U,58
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,D B L D2 L',B' U2 R2 F2 R2 B2 F2 U B',L F' U B U' F U B' L',U B2 L U' L' U2 L U L' B2,U2 B2 R2 B2 R2,L2 B2 L2 B2,U R2 U B' F R2 B F' U R2 U,U' B2 U L' R B2 L R' U B2,63
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,L2 U B D2 L' B,L B F' U L' B' U L' F,L' U B F' L2 B' F U L,R2 U2 B2 D' R2 D B2 U2 R2,U2 R2 D B2 D' R2,F2 R F2 U2 F2 R' F2,R2 U B' F R2 B F' U R2 U,F R' F L2 F' R F L2 F2,65
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,F' D L B F' L',U' L' R U2 R' B U L B',L U' L' U2 L U L',B2 L2 B2 L2,U' R2 D B2 D' R2,U' L B2 D R' F2 R D' B2 L',U2 R2 U B' F R2 B F' U R2 U,F R' F L2 F' R F L2 F2,62
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,R B2 R2 F L' D,F L B F L' U' B' F' U L',B2 U B2 U' L2 B2 L2,U' F2 R2 F2 R2,R' D' B' L F2 L' B D R,L' U' L' U2 L U L' U L2,U2,R2 U R2 B' R F D R' D' B R F' R',60
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,U2 L B' R2 U' L2,L' U2 L' F' L2 F2 U2 F',B2 U' B2 U B2,U' B2 L U' L' U2 L U L' B2,R U' R' U2 R U R',F2 L2 F2 L2,R2 U B' F R2 B F' U R2,F U' B U' F' U2 R' F' L2 F L2 R U' B',63
