scramble,orientation,Step_DBL,Step_GEN,Step_UR,Step_BL_UBL,Step_FL_UFL,Step_FR_UFR,Step_BR_UBR,total_moves
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,D' L2,F' D B U L' U' F L',L' B2 D2 B2 L',L2 U2 L2,D' R2 D L2 F2 L2,R' U L2 R2 D' L2 R',B2 L' B U F2 U' B' L B2,40
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,D2 L',U2 F D' B L2 U' F,U2 R B2 F2 L,D B2 R D2 U2 L F2 D U2,D U2 L2 D' U2,L2 R D' L2 R2 U R,B2 U2 F2 U2,39
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,L' F,U R' F U L U2 B',R2,D2 R' U2 F2 U2 R D2,L' R2 D' L2 R2 U L',L' D' U B2 D U' L',D' L2 D2 F2 D',36
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,L,L2 D L2 B' R' F',,U' L' U R B2 R' U' L U,,L2 R' U' L2 R2 D R',U2 R F2 U2 F2 R' U2,30
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,D F,U2 F' D B L B' U L,L2 U L2 D2,L2 U2 L2,L F2 D2 B2 R B2 D2 F2,U2 B2 L' D2 B2 D2 L,L F2 D2 B2 R' U' B2 D2 L2,41
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,D' F,U2 B L' R' F U' B' U',D,B2 U F2 U',L B U' F' U B' U' F L',R D R D2 R' D' R',U2 B2 L U2 F2 U2 L',38
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,D' L2,U F' U2 B2 U R' D' B',L' B2 D2 B2 L',D U' L' F2 U2 F2 L D' U,U' L2 U,U' R' U L F2 L' U' R,D2 L2 D2 L2 F2 D2,41
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,L2,U B R' B2 L R' F' R',L' B2 D2 B2 L',D L' B2 D2 B2 L' D',L B U' F' U B' U' F L',L2 B2 U2,D R2 D',36
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,U2,L2 R2 B D' F L',,R2 D L D L2 R2 U' L,L' R2 D' L2 R2 U L',L' D' U B2 D U' L',F2 D L2 D' F2,34
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,D2 F,B L D' F' L' F R B',L2 D2 F2,R' U2 F2 U2 R F2 U' F2,L D2 B2 D2 L B2,L2 R D R D2 L2 R U' R U,L2 R' D' L2 R U2 R U R',46
