scramble,orientation,Step_FD_RD,Step_BL_UBL,Step_BR_UBR,Step_FL_UFL,Step_FR_UFR,Step_GEN,Step_UB_UF_UL_UR,Step_DBL,total_moves
B' L' D2 U2 R' D F' L D' L' R F D2 U F U2 F2 R L2 B U2 R,x2,F R2 U' R',F2 D F,F' L2 U L U' F,D B F2 D B' F2 D',F' L R' D R B' D F D' B L',,D2 B2 R2 F2 U F2 R2 B2 D',F R' F L2 F' R F L2 F2,49
D' L' R D L2 B2 L2 U L B D2 L2 D R' L' B' L B L F R2 B2 R',x2,L' U L' U2 B',D L' B D' B' D',F' L2 D F',L' D' L R F D2 F' R',U' R' F' L D2 B R2 B' L' F2 U,,U2 B2 R2 D R2 B2 R2 D R2 U2,,44
L U D B2 D' F R2 U F D2 F L2 F2 U' F2 L' F U' R L' D R' F R',x2,L2 D B2 R',F' L F' D2 F2 L',R2 D R D' R2 F',D2 L D',R B' R' F2 D' F2 R U F' L' U' B F,,U2 F2 L2 B2 L2 F2 R2 U2,F R' F L2 F' R F L2 F2,49
B R' L2 U R' U2 B2 F' D2 R' F D U2 F' U2 L2 D U L B2 D' B',x2,U2,L D' L2 D2,L' D L' F2 L2,F2 D' F D L D' F,L2 B2 R2 F' R F2 L2 F U R2 B2 R',,L2 B F' D' U' F D' U B' F,,39
F2 L' B' L' R' U2 L' D2 U' R2 U2 R2 L B' L' R2 D U2 B' D U L' F',x2,F2 U2 R',D L' B D' B' D',B' F' D2 B,U B' U' F2 D2 F2,U L' B' L2 R' B' L' R D U',,L2 D L' R D' U L' D U' L' R',F R' F L2 F' R F L2 F2,49
U B2 R U D' L B' D' F L R B2 D2 U' L' R2 U2 D' B' U2 F,x2,L' U' B' R',R2 B D F' D' B' R2,D' F2 D2,L2 U L2 B U',F2 D' B' L F' D2 F' R' F R B F' R,,R2 B2 D' R2 B F D2 B' F U' F2,,43
L2 R2 B2 D' L U2 B' U D F2 D' L2 D U R2 L' D2 U2 F' D2 B,x2,U' L' U,F' D,B F2 D2 B' L F2,U B U' F2 D2 F2,U' L' R D' R' B' D' B D L U,,B2 D' B2 L2 B2 L2 R2 U' F2 R2,,38
U R F2 U D R B2 L D' B2 R2 B R' U F U' R L2 B2 L' B' F' R2 U' B2,x2,B L' R' B',U B' L2 B' L2 U',D2,U' R2 B2 R' B2 R2 U,U2 R F' L2 D2 R2 B' D2 L' F2 L',,B2 F2 D' B' F L2 B F' D B2 F2,,40
R U R B2 L R' B D2 U R L F L F2 U R' D2 F R2 F' D2 L' R' F' B,x2,D R2 B R',R2 F R2 D2,L2 U' R' U L2,R2 B' U2 B' U B2 R2,R' B' D F' D' B2 D F' D' U' B' F2 R,,D' L' R F2 D' U L' D U' L R',L' B L' F2 L B' L' F2 L2,53
L B' R B2 L' F' D2 R' B F L U' B D2 R L2 F' R2 L D' R' D U2,x2,B',B' D B F,U L' B' L U2 R2 U,D,L2 D U' R' U R F' R' B' L B F L2,,F2 D' B' F L2 B F' D' F2,L' B L' F2 L B' L' F2 L2,44
