scramble,orientation,Step_UR,Step_FR_UFR,Step_BL_UBL,Step_FL_UFL,Step_BR_FD_RD_UBR,Step_GEN,Step_DBL_DBR_DFR,total_moves
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,D,B U B',L' F2 D F D',U' F2 L F2,F L U2 R' F2 D L2 R U2 F',F' U' F U L F L',F2 R2 F2 U F U' F R2 B' D B F2,42
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,B D',F' R' U' R F,U L' U' L2,U2 R2 B' R2,L U F U' L' B L F2 L' B',L' F' L2 U2 R2 B' R2 U2 L',F2 R2 F2 U F U' F R2 B' D B F2,46
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,R',R' B' R B R,U' L2 F',B L U' L',F R2 B' R D R2 B R' F',L' R2 B' L2 B D2 B D2 B' L' R2,R U' R F2 R' U R F2 R2,42
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,L2 D2,D B U B' D',D2 R2 F' D2,U' B2 D' R' D,D' B R' B' F D F' D U',B F' D' L' B L D B L' B2 F,R2 F2 R' B' R F2 R' B R',45
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,U B' R,D L D',B F U' F' U B',F' L' F U2 R B' R' U2,B2 U' F2 U,U' R' F2 R U2 B L B' U',B' R B' L2 B R' U B' L2 B U' B,45
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,L2 D2,L R2 F' L R' D L2 R',U2 L2 U' L,L' R' D' L R,B L U2 F2 L' B' U2,U' L2 R B2 R2 F L2 F R2 B2 R' U,R2 D2 B2 U R2 U2 F2 U' L2 D2 F2 U2,50
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,U B' R,U' B2,U F2 U2 F L,R2 B' R2,B F2 L2 B' F2 L' R2 B2 L R2 U,F' L' U' B D2 F2 D2 B' U L F,B F' D U' F' D' U B' F,44
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,L D2,U B2 U B',B2 L F',R B L2 R' F' L2,R U L' R B2 D B2 D' B L R2,R' F' L' R2 U B2 U' L R2 F R,U' R2 F2 R' B' R F2 R' B R' U,48
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,F' D,B U2 B' L' B2 L,R U R' F',D L F D',F2 R2 B' R' B' L2 B' U' B' U2 R',F' L U2 B U2 F' L' B2 L' B2 F2,R B' R F2 R' B R F2 R2,47
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,L2 D2,B F' L' F U2 B',F2 L B' L',R' U B2 R' B2 R,L' D2 U R U' B' R' D2 L,B U' F' U B' U' F U,B' U B U R2 D2 F D F' D R2 U2 B,48
