scramble,orientation,Step_DFL_UB_UF_UL_UR,Step_BL_UBL,Step_FL_UFL,Step_FR_UFR,Step_BR,Step_GEN,Step_FD_RD,Step_DBL,total_moves
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,U2 B' D2 B2 L' R',L' U2 F' U F L,R' U2 B2 R' B2 R U2,R2 F R2 D R' D' F',F' L2 R D' B' D L2 R' F U,,U R2 U2 R2 D' F2 U' F2 D,D R2 D L2 D' R2 D L2 D2,54
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,F D' F U' B' R2,D' L' U' L D,L2 F L2 U2 L2 F' L2,B2 R2 U B U' R2 B2,F R' F' R U R U R' U',,L2 U B F' L2 B' F U L2,R2 U R2 U R2 U2 R2 U,51
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,B R2 D2 R2 B R' D,L' U' R U2 L R',B' R U' R' B,U2 L B2 L B2 L' U2,L U L' U' F' L' U' B L B' F,,R2 U' B' F R2 B F' U' R2,,45
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,B' R D' U2 L R2 B',F' U F2 L F L' F' U',B' R U R' B,D2 L D2 R2 D2 L' D2,U' F' U' F2 U R' U' F' U R,,L2 U B F' L2 B' F U L2,D R2 D L2 D' R2 D L2 D2,55
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,R2 F L2 U B D2 L',F U2 L2 F2 L2 F',R2 D B2 D' R2 U',B2 U2 R B R' U2 B2,D U2 B D2 F R' F' R D2 B' D',,L2 F2 D2 R2 B F D2 L2 B F,R2 U R2 U R2 U2 R2 U,55
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,L D2 L B L' F' D,L D2 U R2 D2 U' L',L2 D L' U L D' L2,D' U F' U' F D,U2 R U2 B U2 B' R' U',,L2 U B F' L2 B' F U L2,R2 U R2 U R2 U2 R2 U,52
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,L2 R2 U B D2 L' B,B' U' B2 L' B' U' L,L B2 D2 F2 R F2 D2 B2,B2 F' U' F U B2,U2 B' U' R' U R U2 B,,U F2 U2 F2 U F2 U F2,,44
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,D B L D2 U' L',F U' B U' B' U2 F',U R' B' U R2 U2 B R,B2 F2 D' L' D B2 F2,U' F' U2 F U2 R U2 R' U',,L2 U B F' L2 B' F U L2,U' R2 U2 R2 U' R2 U' R2,54
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,F D' L' D2 B L2 D',L' R U' R' U L,R U B2 R' B2 U',B U B',L' R' D2 L' F' L D2 R2 B' L R',,L2 U B F' L2 B' F U L2,R2 U R2 U R2 U2 R2 U,50
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,F' D L B F L' F2,U2 F U L' F L F' L,B' R U' R' B,D' R U B' R' B D,B F' U L2 U' L U L2 U' B' F,,U2 R2 U' B' F R2 B F' U' R2 U2,U' R2 U2 R2 U' R2 U' R2,57
