scramble,orientation,Step_UB_UL,Step_GEN,Step_DBL_DBR_DFR,Step_BL_UBL,Step_FL_UFL,Step_BR_UBR,Step_FR_UFR,Step_FD_RD,Step_LD,total_moves
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,L D' B D,B F R F2 U2 B' U F,L2 D' B2 D L2,D2 L D2 U2 R' U2,R2 U' R2 U B2 U',U F2 D2 B2 D' L2 D' F2 U B2,,U R2 B2 R2 U R2 B2 R2,F2 D B' F L2 B F' D F2,56
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,R B2 L' D,B2 L' B U B L R2 B R',L D2 F2 D2 L' U,U R2 U' L2 D B2 D' L2,R2 D' F2 D B2 U',F2 U2 F2 R' F2 U2 F2 R',L' U B2 U L U L' B2 U' L U',R2 F2 L2 D L2 F2 R2 U,F2 D B' F L2 B F' D F2,69
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,F D' F,D B' U L D' R2 B',B2 R2 U B2,D2 U L D2 U2 R' U,D L2 F2 R U L R2 D2 R D' L,B2 D' R' F2 U2 F2 R' D B2,R2 F2 L D2 L2 B2 L F2 R2 U2 R' U2,U L' R B2 L R' U,F2 D B' F L2 B F' D F2,69
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,F' L R2 F,B U B2 U2 F2 R' B F2 R',L2 R2 D' B2 D L2,L D2 L' F2 L2 D2 L' F2 L' F2,,L2 D B2 D' L2 U R2 U',R2 F2 L D2 L2 B2 L F2 R2 U2 R' U2,R2 F2 L2 D L2 F2 R2 U,F2 D B' F L2 B F' D F2,66
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,B' R F D',B D F2 L U F' D' B' L2,D2 F2 D F2 D,L F D' B R2 B' D F' L',,D R B' F D2 B F' R D',L' U B2 U L U L' B2 U' L U',U F2 L2 B2 D B2 L2 F2,U2 F2 L2 B2 L2 F2 R2 U2,63
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,D' L' D,B F U' R U2 F' U R',F2 R2 U' B2 U F2,R D' U F2 D U' R,D2 L' D2 U2 R U2,R' D R' B2 R2 F2 U L U' L F2,R F R' B2 R F' R' B2,U2 U R2 B2 R2 U R2 B2 R2 U2,F2 D B' F L2 B F' D F2,68
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,U' L F',B U2 R' F R' B' U F',D' R2 U' F2 D,F2 R' U R' U' R F2 L D L D' L2,L' B' F U2 B F' L',U2 R2 D' R2 D R2 U2,U B2 F2 R2 D R2 D' F2,R2 B2 U R2 B2 R2 U B2,F2 D' B' F L2 B F' D' F2,67
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,L2 D F',U2 B2 L' R U' R2 B' L,U' F2 R2 F2 R2 B2,R' D' U F2 D U' R',R' F U B2 U' F' R,R U R' B2 L2 R' D' R D L2 B2,U B2 R U R U2 R' U' R,U R2 F2 L2 D L2 F2 R2 U U',F2 D B' F L2 B F' D F2,70
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,D' B' F' L',B' R B' U L2 F' D L2 F,B2 R2 B2,R' F' D' B U' L2 U B' D F R,B2 R U R U' B2 R' U R' U' R,R' D2 U2 L D2 U2,R U B' F R2 B F' U R',R2 B2 U' R2 B2 R2 U' B2,,61
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,L2 B L' F',U2 R B U' B U R',F2 L2 U L2 B2 D,L F2 L2 U2 L' B2 R2 D2 R B2 L2 U2,L' F2 D B2 F2 U' B2 L,F2 L' U L' B2 L2 F2 D R D' R,U2 R D2 U2 L' D2,U2 U R2 B2 R2 U R2 B2 R2 U2,F2 D B' F L2 B F' D F2,73
