scramble,orientation,Step_BD_DBL_DBR_DFR_LD,Step_FD_RD,Step_UB_UF_UL_UR,Step_GEN,Step_FL_UFL,Step_BL_UBL,Step_BR_UBR,Step_FR_UFR,total_moves
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,D' R2 B' U F2 U L F',U R' F U L' U2,D2 L' B' D' L' D B L,R' D2 R D2 B D2 R' D2 R B',D' U L2 D U' F2,U R2 U' L2 D B2 D' L2,B2 R F R' B2 R F' R',,54
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,B D2 L' U' B2 R2 F' R2,R' B R2 U' B' L U,L U' F' D' L F2 U2 B' R U',F R2 D B2 U' R' U B2 D' R2 F',,U2 F2 U' B2 U F2 U' B2 U',L2 D B2 U' F2 U B2 D',B2 D' U R2 D U',59
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,R U2 L D2 U' F' L',B L2 F' R2 F L2,B' U' L2 U B L' D2 L D2,F' L' D L F L D L2 D L2 D2 L',,U2 F2 U' B2 U F2 U' B2 U',,L2 D' U B2 D U',49
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,L' F D2 B2 U L B,B' D F' R F D' B,F L B2 L' B F' D B,U2 F D' F L D F' U' R2 F' U' R,D' U R2 D U' B2,F2 D' U L2 D U',R F R' B2 R F' R' B2,,54
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,D2 F2 R' F D F2 R2,B F' R2 B' F,F' L' D2 L R F R' F D F',B2 D2 R B R' D2 R D2 B' D2 R' B2,U' L2 U' R2 U L2 U' R2 U2,U B2 U F2 D' R2 D F2 U2,U' F2 D L2 D' F2 U B2,,60
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,L B F2 U' F' U' L',U' B' D' U R,F D L' F2 L2 D L2 F2 L F',F' L2 U L2 D' B2 D L U' L' F,U' L2 U' R2 U L2 U' R2 U2,D2 B2 D' L2 D B2 D' L2 D',U R2 U' L2 D B2 D' L2,,59
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,D' R' F' U' F L2,R' D' U R2 F U',R' U2 L U2 B R2 D2 R' B' D',R D2 B D R2 D' F D' F' R2 B' D R',D2 B2 D' L2 D B2 D' L2 D',D2 F' D2 B D2 F D2 F' D2 B' D2 F,U' F2 U B2 D' L2 D B2,,64
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,F' R U2 F L' D' F,L2 F' R2 F L2 B',L' F2 D' U' L' F2 L R U L,L U' L2 R2 B U B' L2 R2 U' R2 U2 L',D' B D2 L2 B D' L2 D B' L2 D2 B' D B,U B2 U F2 D' R2 D F2 U2,U' F2 D L2 D' F2 U B2,,67
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,B' R U' R B' U B' U2,R D' U F' U',L U2 R U' B' U' L',D B' R2 D' B' D R2 B2 D' B',D' B D2 L2 B D' L2 D B' L2 D2 B' D B,D2 B2 D' L2 D B2 D' L2 D',R2 D' U F2 D U',,59
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,U' B2 U2 B' L F' R' F2,B F' R B' F,D L' D F' D2 F L D',R B D R2 U F' D F U' R2 D' B' R',F' U B U' F R2 U2 B D' R2 D B' U2 R2,D' U F2 D U' R2,B2 U' F2 D L2 D' F2 U,,62
