scramble,orientation,Step_UF_UL,Step_BR_UBR,Step_BL_UBL,Step_FR_UFR,Step_FL_UFL,Step_FD_RD,Step_BD_DBL_DBR_DFR_LD,total_moves
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,F D' B',R' F2 U F2,R' F2 D2 B' D2 R,L U2 F2 R' F2 L',U' B' U' R B' R' B2,B' R2 B U2 B L2 F L2 B' U2,U2 B L' B R2 B' L B' U2 L2 F2 L2,48
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,D' B' L',L F' L',U' F U F2,R2 U R2,U2 B2 U' R' U R B2,U2 L2 D R' F' R D' L' F U F' L' U2,U' F2 L2 B D B' L2 F U' F U2,44
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,D' L D B,U2 R F' U F,R2 U2 F',U2 B U B' F R F',D B' D',B' F2 D2 B' L B D2 F2 R B U2,R U' R B2 L' D L' F2 L2 B2 U,44
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,B2 R' D,R' U F,L F' L' F,U' R' U' R,B' U' B,L2 D R' F' R D' L' F U F' L',D B2 F2 U' B F' U2 B F' R2 D' L2 R2,41
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,L' F' L D',R D U2 B2 D',F2 U R2 F,B' L2 F2 D F2 L2 B,L U2 R' U' R U' L',U' R B R' F R B' R' F',B2 D' F2 D' F2 D' F2 D' F2 D' B2,47
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,D2 L B,B2 R D' R D B2,U' L U2 L2 U' L,U F R',L2 U F U' F' L2,U R B L' B2 R2 D R' D B' L B2 R2,U2 F' U F' L2 B D' B R2 B2 L2 U,49
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,L R F D',D2 B' D' U2 R D',B2 R2 B2 F,B' U2 B2 U' B',U2 B' U F R2 F' U' B,R B L' B L B' U B' U' R' U,R' F R B' F' R F D R D' F' R' B,51
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,U2 B L',F2 U' F' U2 F2,L' U2 B' U2 B U' L,F' U2 R,B' R2 U' B,U B' U' R' U R F' R B F' U' F2,B2 L2 R2 U F2 U' B2 U L2 U' B2 L2 B2 R2,48
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,D L B L',R2 D R D',U2 R2 F R2,L F2 R' F2 L',B L2 F' D F L2 B',B' D B U F R B' R2 F' D' B,F2 R2 U R2 F2 D B2 L2 U L2 D' B2 U',48
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,D' B' D2 B,U2 R F' U' F,F',R' U R U' B U B',D B' D',R2 U R' B2 L F' L2 D2 L B R' B U,L B U B' L B U' L U L U' L' B' L2,47
