scramble,orientation,Step_FD_RD_UF,Step_DBR,Step_BR_UBR,Step_BL_UBL,Step_FL_UFL,Step_FR,total_moves
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,U' L' B' R2,L' F,U2 R2 D R D' U2,L2 R2 U L' U' L2 R2,R2 F' L D F D' F R2,B2 R2 F R' B' D2 B' R2 F' R,37
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,B R' D U' R2,L2 F2,U L' U' F,D2 B2 L' B2 D2,R2 F' L B' F U B R2,F2 R2 F' R' D' F D F R' F2,34
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,U2 L' U2 B',B' D2 B F',F2 D2 L2 D2 F2,R B D' B' R',F' D' U L2 D U' F',B2 L' B' L U' L U L' B',34
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,F' D' R2 B,L2 F2,B' D2 B,B' F' D' B F,D' L' D L' R F' R' D' L2 D,,24
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,D' L B R,B' D' B F',U2 F D R D' R' F' U2,D' L2 D,B R' F2 D' F2 R B',L2 B2 R2 F L' F R2 B2,34
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,R F2 L2 B U',F' L' F,U' R D F R2 F' D' R' U,B' D' B' L' B2,R B2 R2 B2 R',B U' L F2 L' U B',34
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,B' L D' L U,F2 L' F,L' U2 R' U2,R B D2 B' L' R',B D' R2 U R2 B' F L F',R U' R2 F R F' R2 U R',36
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,R' D',F2 L' F,B' U' F' U' F2 U2 B L2,,L R2 D' L2 D R U L' U' R,D' L2 R D' L2 R' D,30
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,D U' B' R B' R2,L' D F2 D',B R U R' B' L F' L',R F' L F' R',L' B D2 B' L,F D U' R2 D' U F,35
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,F D L2 U2 R B',F2 L' F,U2 R' B' F D' B F' U2,L B' D2 B,B2 R' B U' B R,R2 F' L' B' U' B L F R2,36
