method,total_solves,avg_total_moves,num_steps,avg_moves_per_step,num_algs,score
rand_f1e9f382,10,47.2,5,9.44,0,0.021186
rand_ecc7e00c,10,46.6,5,9.32,0,0.021459
rand_72b73cbe,10,48.8,5,9.76,0,0.020492
rand_d2576395,10,49.0,5,9.8,0,0.020408
rand_9a8a4a2f,10,49.4,5,9.88,0,0.020243
rand_d934a7a1,10,48.7,5,9.74,0,0.020534
rand_e7a91f95,10,52.3,5,10.46,0,0.01912
rand_aef2a793,10,47.4,5,9.48,0,0.021097
rand_9b860ea5,10,47.0,5,9.4,0,0.021277
rand_671b0532,10,49.6,5,9.92,0,0.020161
rand_2f2cd777,10,48.8,5,9.76,0,0.020492
rand_df108888,10,48.0,5,9.6,0,0.020833
rand_af7e7564,10,50.1,5,10.02,0,0.01996
rand_94e378ed,10,46.9,5,9.38,0,0.021322
rand_205b748a,10,48.1,5,9.62,0,0.02079
rand_6575f0ce,10,49.2,5,9.84,0,0.020325
rand_1abd2f5c,10,50.4,5,10.08,0,0.019841
rand_4e8d65f6,10,47.9,5,9.58,0,0.020877
rand_3f33a3b4,10,49.7,5,9.94,0,0.020121
rand_b235f18b,10,49.4,5,9.88,0,0.020243
rand_bbb36e64,10,49.2,5,9.84,0,0.020325
rand_29c5fd5c,10,53.3,5,10.66,0,0.018762
rand_e1b79fcb,10,48.0,5,9.6,0,0.020833
rand_ca1c7048,10,49.6,5,9.92,0,0.020161
rand_04d0c642,10,48.9,5,9.78,0,0.02045
rand_a5579ade,10,47.1,5,9.42,0,0.021231
rand_c1e447c0,10,50.8,5,10.16,0,0.019685
rand_ff2f20b7,10,47.6,5,9.52,0,0.021008
rand_36ca0645,10,49.4,5,9.88,0,0.020243
rand_bc3678ed,10,48.6,5,9.72,0,0.020576
rand_8abf0f3b,10,47.1,5,9.42,0,0.021231
rand_b72b564d,10,49.0,5,9.8,0,0.020408
rand_1d13d969,10,47.3,5,9.46,0,0.021142
rand_0e959211,10,51.2,5,10.24,0,0.019531
rand_ee252ced,10,49.6,5,9.92,0,0.020161
rand_6cc93939,10,49.1,5,9.82,0,0.020367
rand_25f08e92,10,45.5,5,9.1,0,0.021978
rand_d3adb14d,10,46.3,5,9.26,0,0.021598
rand_f973e906,10,50.5,5,10.1,0,0.019802
rand_100e0181,10,47.5,5,9.5,0,0.021053
rand_b11bfc54,10,45.6,5,9.12,0,0.02193
rand_cb1da481,10,48.9,5,9.78,0,0.02045
rand_18824a4a,10,49.9,5,9.98,0,0.02004
rand_8688cb0b,10,50.7,5,10.14,0,0.019724
rand_969355f5,10,49.4,5,9.88,0,0.020243
rand_a1c62661,10,50.2,5,10.04,0,0.01992
rand_6c8be711,10,45.6,5,9.12,0,0.02193
rand_94e8556b,10,50.8,5,10.16,0,0.019685
rand_3a1ac3dc,10,43.8,5,8.76,0,0.022831
rand_d2362bc8,10,45.8,5,9.16,0,0.021834
rand_c3d33ea1,10,48.7,5,9.74,0,0.020534
