method,total_solves,avg_total_moves,num_steps,avg_moves_per_step,num_algs,score
rand_071866c8,10,49.1,5,9.82,0,0.020367
rand_d35c5503,10,46.9,5,9.38,0,0.021322
rand_84c6d287,10,46.9,5,9.38,0,0.021322
rand_25e44ea4,10,45.5,5,9.1,0,0.021978
rand_c739a4a7,10,46.5,5,9.3,0,0.021505
rand_57d0f5e7,10,48.7,5,9.74,0,0.020534
rand_292104a7,10,48.7,5,9.74,0,0.020534
rand_9584e9e4,10,47.6,5,9.52,0,0.021008
rand_d919befd,10,46.7,5,9.34,0,0.021413
rand_e6ed2be0,10,47.4,5,9.48,0,0.021097
rand_1f52f859,10,50.0,5,10.0,0,0.02
rand_6d275094,10,50.0,5,10.0,0,0.02
rand_da045bc1,10,48.2,5,9.64,0,0.020747
rand_b1d3e455,10,46.4,5,9.28,0,0.021552
rand_dbb79c39,10,45.5,5,9.1,0,0.021978
rand_2abc2400,10,48.2,5,9.64,0,0.020747
rand_0a785c78,10,47.6,5,9.52,0,0.021008
rand_1c3af307,10,48.0,5,9.6,0,0.020833
rand_aef2a465,10,49.8,5,9.96,0,0.02008
rand_037ca168,10,47.6,5,9.52,0,0.021008
rand_01e8c64c,10,51.5,5,10.3,0,0.019417
rand_d9081bf5,10,50.1,5,10.02,0,0.01996
rand_38dcaa54,10,47.5,5,9.5,0,0.021053
rand_5d20df66,10,45.9,5,9.18,0,0.021786
rand_1ab10541,10,51.3,5,10.26,0,0.019493
rand_5a52230e,10,49.4,5,9.88,0,0.020243
rand_8039ecdf,10,51.3,5,10.26,0,0.019493
rand_8b314f7e,10,49.0,5,9.8,0,0.020408
rand_e9369bcd,10,47.9,5,9.58,0,0.020877
rand_ef3ac836,10,46.8,5,9.36,0,0.021368
rand_08eb1ca1,10,48.1,5,9.62,0,0.02079
rand_2a5f1b61,10,48.3,5,9.66,0,0.020704
rand_3b9d85eb,10,50.7,5,10.14,0,0.019724
rand_01b1042a,10,50.4,5,10.08,0,0.019841
rand_d3e2ddd6,10,51.3,5,10.26,0,0.019493
rand_db1821ec,10,49.0,5,9.8,0,0.020408
rand_427e51a9,10,50.2,5,10.04,0,0.01992
rand_c987f5e3,10,47.9,5,9.58,0,0.020877
rand_f437e2b9,10,47.2,5,9.44,0,0.021186
rand_d7526739,10,43.7,5,8.74,0,0.022883
rand_db45bd3c,10,44.4,5,8.88,0,0.022523
rand_03a6dee9,10,50.6,5,10.12,0,0.019763
rand_ae4f67ae,10,43.4,5,8.68,0,0.023041
rand_59bf5da6,10,47.8,5,9.56,0,0.020921
rand_2576c7bf,10,47.1,5,9.42,0,0.021231
rand_d0656787,10,50.4,5,10.08,0,0.019841
rand_c4af2fc4,10,51.0,5,10.2,0,0.019608
rand_f4e78c08,10,49.8,5,9.96,0,0.02008
rand_e2793e5a,10,49.1,5,9.82,0,0.020367
rand_07837735,10,50.9,5,10.18,0,0.019646
rand_6cc30a6a,10,49.3,5,9.86,0,0.020284
rand_d4beb521,10,51.0,5,10.2,0,0.019608
rand_40f8730c,10,50.4,5,10.08,0,0.019841
rand_6eb34ffb,10,50.6,5,10.12,0,0.019763
rand_16854341,10,47.7,5,9.54,0,0.020964
rand_2db5f4db,10,46.2,5,9.24,0,0.021645
rand_7bb117f5,10,46.8,5,9.36,0,0.021368
rand_f64bfe0f,10,52.2,5,10.44,0,0.019157
rand_b43876ff,10,47.1,5,9.42,0,0.021231
rand_e163cc92,10,48.2,5,9.64,0,0.020747
rand_ef1622ae,10,51.0,5,10.2,0,0.019608
rand_5cca1165,10,48.4,5,9.68,0,0.020661
rand_f6f3bf2e,10,50.9,5,10.18,0,0.019646
rand_3df90b1d,10,47.8,5,9.56,0,0.020921
rand_d3d637a7,10,48.0,5,9.6,0,0.020833
rand_4322baef,10,46.4,5,9.28,0,0.021552
rand_d4daa98b,10,48.8,5,9.76,0,0.020492
rand_29e1fd09,10,45.3,5,9.06,0,0.022075
rand_0011b1b0,10,52.6,5,10.52,0,0.019011
rand_3594d002,10,51.8,5,10.36,0,0.019305
rand_44752cbc,10,48.4,5,9.68,0,0.020661
rand_fa6d1ff0,10,47.5,5,9.5,0,0.021053
rand_5be3c0fe,10,51.6,5,10.32,0,0.01938
rand_ce338f41,10,47.3,5,9.46,0,0.021142
rand_fb395995,10,47.9,5,9.58,0,0.020877
rand_a1bafb75,10,45.8,5,9.16,0,0.021834
rand_91558b1b,10,48.4,5,9.68,0,0.020661
rand_f49f0678,10,51.7,5,10.34,0,0.019342
rand_d91f9de6,10,50.7,5,10.14,0,0.019724
rand_ce481923,10,48.4,5,9.68,0,0.020661
rand_33407b97,10,49.6,5,9.92,0,0.020161
rand_238d8eff,10,47.0,5,9.4,0,0.021277
rand_bdff555c,10,50.5,5,10.1,0,0.019802
rand_cb1c113b,10,48.3,5,9.66,0,0.020704
rand_2d5c84e2,10,43.8,5,8.76,0,0.022831
rand_58d290b0,10,48.1,5,9.62,0,0.02079
rand_cfc8327b,10,46.3,5,9.26,0,0.021598
rand_c188a44c,10,50.5,5,10.1,0,0.019802
rand_67bc0f6f,10,47.3,5,9.46,0,0.021142
rand_3f6b9f99,10,46.7,5,9.34,0,0.021413
rand_917afa83,10,48.0,5,9.6,0,0.020833
rand_81efcfad,10,46.6,5,9.32,0,0.021459
rand_7f53d985,10,47.3,5,9.46,0,0.021142
rand_72a66d72,10,49.3,5,9.86,0,0.020284
rand_b646fb19,10,48.1,5,9.62,0,0.02079
rand_e11c29bc,10,48.0,5,9.6,0,0.020833
rand_1aeed5e9,10,50.8,5,10.16,0,0.019685
rand_7a055d77,10,46.8,5,9.36,0,0.021368
rand_041de31f,10,49.4,5,9.88,0,0.020243
rand_d32fcc58,10,51.2,5,10.24,0,0.019531
rand_bc2a4152,10,47.1,5,9.42,0,0.021231
rand_349265d7,10,48.5,5,9.7,0,0.020619
rand_b5ecc0ca,10,46.3,5,9.26,0,0.021598
rand_308ec34a,10,48.3,5,9.66,0,0.020704
rand_af196379,10,52.2,5,10.44,0,0.019157
rand_36919734,10,45.2,5,9.04,0,0.022124
rand_ec821346,10,47.8,5,9.56,0,0.020921
rand_59bb3e40,10,48.5,5,9.7,0,0.020619
rand_10b8ceed,10,48.0,5,9.6,0,0.020833
rand_85f2120c,10,46.9,5,9.38,0,0.021322
rand_38597956,10,47.2,5,9.44,0,0.021186
rand_e2e3a91a,10,48.8,5,9.76,0,0.020492
rand_0bf7559b,10,51.0,5,10.2,0,0.019608
rand_1b7d689f,10,47.5,5,9.5,0,0.021053
rand_793f5bf1,10,49.0,5,9.8,0,0.020408
rand_892b667b,10,49.2,5,9.84,0,0.020325
rand_74b61c5f,10,48.6,5,9.72,0,0.020576
rand_fef44147,10,46.8,5,9.36,0,0.021368
rand_0f301736,10,51.6,5,10.32,0,0.01938
rand_1b3f357a,10,46.8,5,9.36,0,0.021368
rand_aa74936c,10,50.0,5,10.0,0,0.02
rand_f142f328,10,48.7,5,9.74,0,0.020534
rand_9c27f4a5,10,46.9,5,9.38,0,0.021322
rand_2567792a,10,48.5,5,9.7,0,0.020619
rand_9fd3ab58,10,50.4,5,10.08,0,0.019841
rand_61f49236,10,47.0,5,9.4,0,0.021277
rand_952a6f63,10,45.8,5,9.16,0,0.021834
rand_a7dfaa8e,10,49.8,5,9.96,0,0.02008
rand_206d02bd,10,47.6,5,9.52,0,0.021008
rand_82f7f865,10,52.5,5,10.5,0,0.019048
rand_54c24588,10,48.8,5,9.76,0,0.020492
rand_4301a1ca,10,49.5,5,9.9,0,0.020202
rand_002f7310,10,48.5,5,9.7,0,0.020619
rand_2754d379,10,49.0,5,9.8,0,0.020408
rand_188081c0,10,46.7,5,9.34,0,0.021413
rand_0e35b609,10,49.2,5,9.84,0,0.020325
rand_c7ce4929,10,49.1,5,9.82,0,0.020367
rand_5f8b7aa2,10,49.0,5,9.8,0,0.020408
rand_455aa7fb,10,50.0,5,10.0,0,0.02
rand_16aaf84a,10,46.4,5,9.28,0,0.021552
rand_14db3938,10,47.3,5,9.46,0,0.021142
rand_1086bf8c,10,50.8,5,10.16,0,0.019685
rand_73f65990,10,51.4,5,10.28,0,0.019455
rand_7b76dab2,10,47.2,5,9.44,0,0.021186
rand_9bbbdcd6,10,47.7,5,9.54,0,0.020964
rand_b32e5733,10,48.2,5,9.64,0,0.020747
rand_9ed23f5d,10,45.7,5,9.14,0,0.021882
rand_398e5ea2,10,46.8,5,9.36,0,0.021368
rand_1db8b3bb,10,46.8,5,9.36,0,0.021368
rand_6e829533,10,48.8,5,9.76,0,0.020492
rand_4850de47,10,48.9,5,9.78,0,0.02045
rand_a05c5910,10,48.3,5,9.66,0,0.020704
rand_6c51cd32,10,50.9,5,10.18,0,0.019646
rand_c5a24237,10,45.7,5,9.14,0,0.021882
rand_f4883e6d,10,46.3,5,9.26,0,0.021598
rand_9fc59f96,10,50.0,5,10.0,0,0.02
rand_a2d5ec25,10,48.9,5,9.78,0,0.02045
rand_1384bdcf,10,48.8,5,9.76,0,0.020492
rand_0616128f,10,50.9,5,10.18,0,0.019646
rand_26b07ae4,10,47.7,5,9.54,0,0.020964
rand_fba8907f,10,47.5,5,9.5,0,0.021053
rand_ea7a220e,10,46.8,5,9.36,0,0.021368
rand_3bd5e983,10,51.2,5,10.24,0,0.019531
rand_a37d3850,10,51.5,5,10.3,0,0.019417
rand_ac4b4fda,10,48.6,5,9.72,0,0.020576
rand_18827459,10,52.5,5,10.5,0,0.019048
rand_98dce12f,10,47.4,5,9.48,0,0.021097
rand_dfee4a58,10,47.0,5,9.4,0,0.021277
rand_23bfd3d5,10,45.6,5,9.12,0,0.02193
rand_93dbbfa9,10,50.4,5,10.08,0,0.019841
rand_44baed9d,10,48.8,5,9.76,0,0.020492
rand_f8d05893,10,48.8,5,9.76,0,0.020492
rand_d7375c11,10,47.7,5,9.54,0,0.020964
rand_cb42ecb0,10,49.2,5,9.84,0,0.020325
rand_82592579,10,46.1,5,9.22,0,0.021692
rand_7e323bb3,10,49.0,5,9.8,0,0.020408
rand_40c9bbbb,10,46.2,5,9.24,0,0.021645
rand_f31894d8,10,49.5,5,9.9,0,0.020202
rand_f1d4d03d,10,47.5,5,9.5,0,0.021053
rand_159e8afd,10,50.7,5,10.14,0,0.019724
rand_07b5ccf6,10,50.3,5,10.06,0,0.019881
rand_92c8aa20,10,47.7,5,9.54,0,0.020964
rand_65fc70d7,10,46.2,5,9.24,0,0.021645
rand_5cb610e6,10,50.9,5,10.18,0,0.019646
rand_63f330f4,10,48.3,5,9.66,0,0.020704
rand_9c2086a4,10,53.2,5,10.64,0,0.018797
rand_b79d8870,10,45.5,5,9.1,0,0.021978
rand_df62d30a,10,48.8,5,9.76,0,0.020492
rand_4e9e84a0,10,48.8,5,9.76,0,0.020492
rand_1a0c0d4e,10,50.3,5,10.06,0,0.019881
rand_094275e7,10,49.9,5,9.98,0,0.02004
rand_2e56403d,10,48.8,5,9.76,0,0.020492
rand_c781a6e4,10,47.9,5,9.58,0,0.020877
rand_514efccb,10,50.1,5,10.02,0,0.01996
rand_acaf9f7d,10,49.7,5,9.94,0,0.020121
rand_75feb698,10,50.0,5,10.0,0,0.02
rand_96bc5d3c,10,50.4,5,10.08,0,0.019841
rand_6f9049ca,10,45.3,5,9.06,0,0.022075
rand_a98fbc1c,10,49.5,5,9.9,0,0.020202
rand_d19adb77,10,50.8,5,10.16,0,0.019685
rand_f2694097,10,50.5,5,10.1,0,0.019802
rand_8d49c863,10,46.2,5,9.24,0,0.021645
rand_d639b4f6,10,46.9,5,9.38,0,0.021322
rand_9bb06418,10,49.7,5,9.94,0,0.020121
rand_038d7419,10,50.3,5,10.06,0,0.019881
rand_feeb3c2a,10,47.5,5,9.5,0,0.021053
rand_b36710e1,10,48.4,5,9.68,0,0.020661
rand_d6f866cf,10,45.1,5,9.02,0,0.022173
rand_82d5e40b,10,44.9,5,8.98,0,0.022272
rand_f4752d44,10,50.5,5,10.1,0,0.019802
rand_cc2fd18e,10,46.6,5,9.32,0,0.021459
rand_99b60d55,10,48.5,5,9.7,0,0.020619
rand_0585f6a6,10,47.3,5,9.46,0,0.021142
rand_0e956724,10,49.6,5,9.92,0,0.020161
rand_6d87f0a0,10,48.9,5,9.78,0,0.02045
rand_32622424,10,50.5,5,10.1,0,0.019802
rand_e2c6663f,10,49.4,5,9.88,0,0.020243
rand_4dc9be1f,10,45.6,5,9.12,0,0.02193
rand_be34bbe9,10,48.1,5,9.62,0,0.02079
rand_2edbf174,10,48.4,5,9.68,0,0.020661
rand_f8e44257,10,50.8,5,10.16,0,0.019685
rand_bfc8e904,10,48.3,5,9.66,0,0.020704
rand_75927a72,10,45.2,5,9.04,0,0.022124
rand_8d62d3ec,10,46.1,5,9.22,0,0.021692
rand_7d5c31ca,10,49.7,5,9.94,0,0.020121
rand_1c920ec3,10,48.2,5,9.64,0,0.020747
rand_668e2914,10,47.1,5,9.42,0,0.021231
rand_ea68a41f,10,46.7,5,9.34,0,0.021413
rand_1cfd09ca,10,51.7,5,10.34,0,0.019342
rand_32a4e16b,10,48.6,5,9.72,0,0.020576
rand_8d08b00e,10,49.4,5,9.88,0,0.020243
rand_48411b76,10,47.4,5,9.48,0,0.021097
rand_c3bd31d5,10,47.2,5,9.44,0,0.021186
